source_id,component,status,repository,commit_or_version,path_or_url,pci_applicability,access_date,local_capture,capture_type,license,upstream_blob_sha1,notes
KERNEL-HEAD,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,https://github.com/torvalds/linux/tree/94515f3a7d4256a5062176b7d6ed0471938cd51a,all amdxdna devices; target path resolved below,2026-07-18,,commit metadata,GPL-2.0 family; file-specific SPDX applies,,Research pin; not a statement about target distro kernel.
KERNEL-INITIAL,kernel,[UPSTREAM],torvalds/linux,8c9ff1b181ba3d31d6b4a48606248b52180a7046,https://github.com/torvalds/linux/commit/8c9ff1b181ba3d31d6b4a48606248b52180a7046,initial amdxdna driver landing,2026-07-18,,commit metadata,GPL-2.0,,Initial mainline driver commit.
KERNEL-KCONFIG,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,drivers/accel/amdxdna/Kconfig,amdxdna generally,2026-07-18,sources/raw/kernel/Kconfig,full exact source,GPL-2.0-only,f39d7a87296cda75bc3cf9548b742e4e814ce491,"Depends on AMD_IOMMU, DRM_ACCEL, PCI/HAS_IOMEM, X86_64."
KERNEL-PCI,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,drivers/accel/amdxdna/amdxdna_pci_drv.c,1022:17f0 rev 0x11 -> dev_npu5_info,2026-07-18,sources/excerpts/kernel/amdxdna_pci_drv.c.lines26-139.txt,exact excerpt,GPL-2.0,bb339e6414169f822b6aabffc1897a3e2babca3b,UAPI version 0.10; firmware names; SVA/PASID binding.
KERNEL-NPU5,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,drivers/accel/amdxdna/npu5_regs.c,1022:17f0 rev 0x11; RyzenAI-npu5,2026-07-18,sources/raw/kernel/npu5_regs.c,full exact source,GPL-2.0,306b359d0cd39c9939bc5f08625f822f12e65168,fw_path amdnpu/17f0_11; 16 hardware contexts; KMQ.
KERNEL-DOC,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,Documentation/accel/amdxdna/amdnpu.rst,architecture-level; includes Strix Point examples,2026-07-18,sources/raw/kernel/amdnpu.rst,full exact source,GPL-2.0-only,064973bf489391a198a1b961b8c7a27693267201,"DMA, L2, PASID, scheduling, compiler output, suspend/resume, telemetry."
KERNEL-GEM,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,drivers/accel/amdxdna/amdxdna_gem.c,amdxdna generally,2026-07-18,sources/excerpts/kernel/amdxdna_gem.c.noncoherent-sync.txt,exact excerpt,GPL-2.0,4628a27872656fae56241d889d3074bda0a51a44,Explicitly states NPU is not cache coherent.
KERNEL-AIE2-PCI,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,drivers/accel/amdxdna/aie2_pci.c,AIE2/npu5 path,2026-07-18,sources/excerpts/kernel/aie2_pci.c.suspend-resume-init.txt,exact excerpt,GPL-2.0,22f66c7f534d42927d50ccae8f06ceb736c5d504,Rejects hypervisor and no-IOMMU; firmware candidate order; suspend/resume.
KERNEL-UAPI,kernel,[UPSTREAM],torvalds/linux,94515f3a7d4256a5062176b7d6ed0471938cd51a,include/uapi/drm/amdxdna_accel.h,amdxdna UAPI,2026-07-18,sources/excerpts/kernel/amdxdna_accel.h.qos-bo-sync-telemetry.txt,exact selected declarations,GPL-2.0 WITH Linux-syscall-note,51a507561df6a15ff76d6c236299a8bdc55d2465,"QoS, BO types, sync directions, telemetry and firmware queries."
XDNA-VENDOR,driver/shim/packaging,[VENDOR-ONLY],amd/xdna-driver,0697b1720fc539f57bdc8d5854ddf7c7014ae160,https://github.com/amd/xdna-driver/tree/0697b1720fc539f57bdc8d5854ddf7c7014ae160,includes npu5 / Strix Halo,2026-07-18,sources/excerpts/amd-xdna-driver-README.packaging.md,exact excerpts plus exact small files,mixed: GPL-2.0 kernel; Apache-2.0 shim/build; firmware separate,,Pinned vendor tree reproduced on Strix Halo one day before access.
