name,layer,classification,default,recommended,example,scope,risk,sources
ROCM_PATH,build/runtime,official,/opt/rocm when installed conventionally,Set to the exact unpacked SDK root for a tarball install.,export ROCM_PATH=/opt/rocm-7.14.0,ROCm SDK discovery,A stale value can mix release lines.,AMD-INSTALL-714; LLAMA-HIP-CMAKE-86D86ED
PATH,runtime,official,System path,Prepend or append one ROCm SDK bin directory consistently.,"export PATH=""$ROCM_PATH/bin:$PATH""","hipconfig, rocminfo, compiler tools",Multiple hipconfig binaries can select the wrong SDK.,AMD-INSTALL-714
LD_LIBRARY_PATH,runtime,official-for-tarball,Distribution linker configuration,Use only for nonstandard/tarball installs; prefer a container or ldconfig file for deployment.,"export LD_LIBRARY_PATH=""$ROCM_PATH/lib${LD_LIBRARY_PATH:+:$LD_LIBRARY_PATH}""",ROCm shared-library discovery,Can silently load libraries from the wrong release line.,AMD-INSTALL-714
HIPCXX,build,upstream-recipe,CMake/toolchain-dependent,Resolve from the active ROCm SDK.,"export HIPCXX=""$(hipconfig -l)/clang""",HIP compiler selection,Do not point it to a system Clang from another generation.,LLAMA-ROCM-DOCKER-86D86ED; LLAMA-HIP-CMAKE-86D86ED
HIP_PATH,build,upstream-recipe,ROCm install root,Resolve from active hipconfig.,"export HIP_PATH=""$(hipconfig -R)""",HIP CMake package and runtime discovery,Mismatch with HIPCXX creates a mixed toolchain.,LLAMA-ROCM-DOCKER-86D86ED
CMAKE_HIP_ARCHITECTURES,build,official-upstream,Compiler-selected or project-selected,Set gfx1151 explicitly for a single-target Strix Halo build.,cmake ... -DCMAKE_HIP_ARCHITECTURES=gfx1151,HIP code-object target,Omitting it can produce a larger or wrong-target build; requires CMake >=3.21.,CMAKE-HIP-ARCH; LLAMA-HIP-CMAKE-86D86ED
GPU_TARGETS,build,compatibility-alias,Unset,Use only for projects/ROCm packages that consume it; direct CMAKE_HIP_ARCHITECTURES is clearer in current llama.cpp.,cmake ... -DGPU_TARGETS=gfx1151,ROCm target forwarding,Project-specific behavior.,LLAMA-HIP-CMAKE-86D86ED; ROCMFPX-BUILD-A5605
AMDGPU_TARGETS,build,legacy-compatibility-alias,Unset,Prefer CMAKE_HIP_ARCHITECTURES for current CMake projects.,cmake ... -DAMDGPU_TARGETS=gfx1151,Older project target selection,Can be ignored or translated depending on project version.,LLAMA-HIP-CMAKE-86D86ED
CMAKE_HIP_COMPILER_ROCM_ROOT,build,advanced-upstream,Auto-detected,Set only when a nonstandard SDK layout cannot be auto-discovered.,"cmake ... -DCMAKE_HIP_COMPILER_ROCM_ROOT=""$ROCM_PATH""",CMake HIP compiler resource discovery,Can hide an inconsistent install if used reflexively.,CMAKE-HIP-ARCH; LLAMA-HIP-CMAKE-86D86ED
HIP_VISIBLE_DEVICES,runtime,official,All visible HIP devices,Use for deterministic single-GPU selection.,export HIP_VISIBLE_DEVICES=0,HIP device visibility,Device numbering can differ from other APIs.,HIP-ENV-VARS
ROCR_VISIBLE_DEVICES,runtime,official,All HSA agents,Use when HSA-level filtering is required; avoid contradictory visibility variables.,export ROCR_VISIBLE_DEVICES=0,ROCr/HSA agent visibility,Contradictory HIP and ROCR filters can confuse diagnostics.,HIP-ENV-VARS
HIP_LAUNCH_BLOCKING,diagnostic-runtime,diagnostic,0/asynchronous,Set to 1 only to localize an asynchronous fault.,HIP_LAUNCH_BLOCKING=1 ./build/bin/llama-bench ...,Synchronous kernel launch diagnostics,Severely changes timing and performance.,HIP-ENV-VARS
TORCH_ROCM_AOTRITON_ENABLE_EXPERIMENTAL,application-runtime,official-pytorch-recipe,Unset,"Set to 1 only for the AMD ROCm 7.2.1 PyTorch recipe that documents it; it is not a llama.cpp, HIP, or system-wide requirement.",export TORCH_ROCM_AOTRITON_ENABLE_EXPERIMENTAL=1,PyTorch AOTriton attention kernels,Experimental application behavior; irrelevant to llama.cpp and may change across PyTorch/ROCm release lines.,AMD-PYTORCH-721-AOTRITON
HSA_OVERRIDE_GFX_VERSION,runtime,project-specific-or-unsupported-workaround,Unset,Leave unset on a native current gfx1151 stack. The ROCmFPX fork documents 11.5.1 for its own HIP path.,export HSA_OVERRIDE_GFX_VERSION=11.5.1  # ROCmFPX recipe only,HSA architecture override,11.0.0/11.0.3 spoofing did not fix old-stack failures and can select incompatible code paths.,ROCMFPX-A5605; ROCM-ISSUE-5824
GGML_HIP_ENABLE_UNIFIED_MEMORY,runtime,ROCmFPX-project-specific,Unset,Use only with the pinned ROCmFPX fork recipe that documents it.,export GGML_HIP_ENABLE_UNIFIED_MEMORY=1,Fork unified-memory path,Not an upstream llama.cpp compatibility requirement.,ROCMFPX-A5605
VK_DRIVER_FILES,runtime,official-upstream,Loader discovers all manifests,Set only to force a verified ICD manifest during controlled A/B tests.,export VK_DRIVER_FILES=/usr/share/vulkan/icd.d/radeon_icd.x86_64.json,Vulkan ICD selection,A wrong path makes Vulkan devices disappear; ignored in elevated contexts.,VULKAN-LOADER-ICD
VK_ICD_FILENAMES,runtime,deprecated-upstream,Unset,Use VK_DRIVER_FILES instead for new recipes.,unset VK_ICD_FILENAMES,Legacy Vulkan ICD selection,Stale shell configuration can force AMDVLK or a nonexistent driver unexpectedly.,VULKAN-LOADER-ICD
VK_LOADER_DEBUG,diagnostic-runtime,official-upstream,Unset,Use all for a one-shot loader trace.,VK_LOADER_DEBUG=all vulkaninfo --summary 2>vulkan-loader.log,Vulkan loader diagnostics,Verbose; may expose filesystem paths in logs.,VULKAN-LOADER-ICD
GGML_CUDA_DISABLE_GRAPHS,diagnostic-runtime,related-community-diagnostic,Unset,Not a gfx1151 default; use only when investigating graph-related faults and record the result.,GGML_CUDA_DISABLE_GRAPHS=1 ./llama-cli ...,ggml shared CUDA/HIP graph path,May reduce performance and is sourced from a related RDNA4 report.,LLAMA-ISSUE-24961
HSA_ENABLE_SDMA,diagnostic-runtime,system-specific-community-workaround,1/enabled,Leave enabled on a validated current stack. Set to 0 only for a bounded A/B test or the cited kernel 6.19.x community setup; remove it after diagnosis unless independently reproduced.,HSA_ENABLE_SDMA=0 ./reproducer  # diagnostic or cited 6.19.x setup only,HSA SDMA copy-engine behavior,"Changes transfer paths and performance; can conceal rather than repair a kernel, firmware, or runtime mismatch.",COMM-STRIX-GUIDE-2026
amdgpu.cwsr_enable,kernel-command-line,legacy-workaround,1/enabled,Leave default on current supported stacks; use =0 only to contain the documented legacy ROCm 7.1/MES issue while migrating.,amdgpu.cwsr_enable=0,Compute Wave Save/Restore,Disables a kernel feature and can mask an obsolete stack.,ROCM-ISSUE-5590; ROCM-ISSUE-5724
amd_iommu,kernel-command-line,community-performance-tuning,Distribution/platform default,"Do not disable IOMMU by default when USB4, virtualization, device isolation, or RDMA security matters; benchmark in your threat model.",amd_iommu=off  # community performance profile only,IOMMU and DMA isolation,Disabling IOMMU weakens DMA isolation and may conflict with USB4/RDMA security requirements.,KYUZ0-TOOLBOX-A7C71E9; THUNDERBOLT-IBVERBS-76BA39B
