id,classification,evidence_level,confidence,status,scope,os,kernel,amdgpu_firmware,rocm,hip,llvm_clang,mesa_vulkan,cmake,llama_cpp,rocmfpx,usb4_networking,exact_flags,required_env,known_issues,sources,last_verified
OFF-CORE-714-U2604,official-supported,O1,high,supported-core-sdk,AMD ROCm 7.14 Core SDK; application validation is separate,Ubuntu 26.04,7.0 GA,Distribution/inbox pair for supported OS; do not mix old late-2025 firmware,7.14.0,7.14,23.0.0 (ROCm-bundled),Host-dependent; not part of HIP support claim,>=3.21 for llama.cpp HIP; 3.28.x conservative baseline,Source build candidate; not AMD application-certified by this matrix,Unvalidated against 7.14; fork baseline is 7.2.1,thunderbolt_net available when CONFIG_USB4_NET is enabled,-DGGML_HIP=ON -DCMAKE_HIP_ARCHITECTURES=gfx1151 -DGGML_HIP_ROCWMMA_FATTN=OFF -DGGML_HIP_NO_VMM=ON,ROCM_PATH; PATH; LD_LIBRARY_PATH for tarball install,Do not infer PyTorch/llama.cpp/ROCmFPX application support from Core SDK support alone.,AMD-CORE-714; AMD-INSTALL-714; LLAMA-HIP-CMAKE-86D86ED; LLAMA-GGML-CMAKE-86D86ED,2026-07-17
OFF-CORE-714-U2404-HWE,official-supported,O1,high,supported-core-sdk,AMD ROCm 7.14 Core SDK; application validation is separate,Ubuntu 24.04.4,6.17 HWE,Distribution/inbox pair for supported OS; fixed/current firmware required,7.14.0,7.14,23.0.0 (ROCm-bundled),Host-dependent; not part of HIP support claim,>=3.21 for llama.cpp HIP; Ubuntu 24.04 CMake 3.28.x is conservative,Source build candidate or upstream ROCm 7.2 binary only; do not mix binary runtime lines,Unvalidated against 7.14,thunderbolt_net available when CONFIG_USB4_NET is enabled,-DGGML_HIP=ON -DCMAKE_HIP_ARCHITECTURES=gfx1151 -DGGML_HIP_ROCWMMA_FATTN=OFF -DGGML_HIP_NO_VMM=ON,ROCM_PATH; PATH; LD_LIBRARY_PATH for tarball install,Do not run the b10064 ROCm 7.2 prebuilt against a 7.14-only userspace unless all dynamic dependencies resolve to its intended line.,AMD-CORE-714; AMD-INSTALL-714; LLAMA-RELEASE-B10064,2026-07-17
OFF-RDNA35-ROCM721-723,official-supported,O1,high,stable-on-qualified-kernel,AMD prebuilt ROCm status specifically for RDNA 3.5 / gfx1151,Ubuntu 24.04 or another supported distribution,Ubuntu HWE >=6.17.0-19.19~24.04.2; Ubuntu OEM >=6.14.0-1018; others >=6.18.4,Fixed/current; avoid linux-firmware 20251125 era,"7.2.1, 7.2.2, or 7.2.3",7.2.x,22.0.0.26084 (ROCm-bundled),Independent path; RADV community validation below,>=3.21; 3.28.x preferred reproducible baseline,Current source can be built; upstream b10064 ROCm 7.2 binary is compatible in release scope,7.2.1 is the fork container baseline,Independent of ROCm userspace,-DGGML_HIP=ON -DCMAKE_HIP_ARCHITECTURES=gfx1151 -DGGML_HIP_ROCWMMA_FATTN=OFF,HIPCXX=$(hipconfig -l)/clang; HIP_PATH=$(hipconfig -R),rocWMMA FlashAttention can regress long-context prefill; firmware and kernel are independent gates.,AMD-RDNA35; AMD-CORE-724; LLAMA-ISSUE-24437,2026-07-17
OFF-RYZEN-72-U24043,official-supported,O1,high,supported-or-preliminary-by-application,AMD Radeon/Ryzen 7.2 application-support line,Ubuntu 24.04.3 via documented 24.04.2 installer path,Must also satisfy the RDNA 3.5 fixed-minimum kernel rule,Fixed/current distribution package,7.2 application line,7.2,22.0.0.26084,Not part of AMD HIP app claim,Application-dependent,Listed application/use-case; exact release pin remains upstream-controlled,Not official,Not part of application support claim,Use application recipe; for source build target gfx1151 explicitly,None beyond installed ROCm unless using nonstandard path,“Preliminary” OS support and “production” framework support are distinct labels.,AMD-RYZEN-72; AMD-RYZEN-INDEX; AMD-RDNA35,2026-07-17
UPSTREAM-LLAMA-B10064-ROCM72,official-upstream-current,O2,high,released-binary,"ggml-org binary release, not AMD gfx1151 certification",Ubuntu-compatible Linux userspace,Host must independently meet gfx1151 requirements,Host must independently be fixed/current,ROCm 7.2 runtime line,ROCm 7.2 bundle,Not needed to run; use ROCm 7.2 bundled compiler to rebuild,Separate Vulkan assets/build path,Not needed for prebuilt binary,b10064 / 86d86ed4396b4130922f7b9af26e3d9fc11a591b,Not included,RPC/networking independent,Prebuilt; SHA256 42a00452f42b04598d32db66c5249b3e8855cd99bf9448e22fd2a738aaa89c82,Optional HIP_VISIBLE_DEVICES=0 or ROCR_VISIBLE_DEVICES=0,"Binary release scope does not guarantee host kernel, firmware, or every model path.",LLAMA-RELEASE-B10064; AMD-RDNA35,2026-07-17
SYNTH-LLAMA-B10064-ROCM714,reproducible-candidate,I1+O2,medium,build-candidate-not-hardware-validated-here,Current llama.cpp source built with current official gfx1151 Core SDK,Ubuntu 24.04.4 HWE 6.17 or Ubuntu 26.04 kernel 7.0,Per ROCm 7.14 official matrix,Supported OS inbox/current firmware,7.14.0 gfx1151 TheRock tarball,7.14,23.0.0 bundled with ROCm 7.14,Optional; disable for HIP-only build,3.28.x baseline; >=3.21 required,b10064 / 86d86ed4396b4130922f7b9af26e3d9fc11a591b,Not included,Independent,-DGGML_HIP=ON -DGGML_VULKAN=OFF -DCMAKE_HIP_ARCHITECTURES=gfx1151 -DGGML_HIP_ROCWMMA_FATTN=OFF -DGGML_HIP_NO_VMM=ON,ROCM_PATH=/opt/rocm; HIPCXX=$ROCM_PATH/llvm/bin/clang++; HIP_PATH=$ROCM_PATH,"This is a reasoned pinned build combination, not a published AMD llama.cpp application-validation row.",AMD-CORE-714; AMD-INSTALL-714; LLAMA-RELEASE-B10064; LLAMA-HIP-CMAKE-86D86ED,2026-07-17
COMM-F43-K6189-FW20260110-ROCM724,community-validated,C2,medium-high,maintained-community-known-good,Maintained Strix Halo toolbox baseline,Fedora 42/43,6.18.9-200.fc43.x86_64 reported stable baseline,linux-firmware 20260110,7.2.4 toolbox,7.2.53211,22.0.0.26084,RADV preferred; AMDVLK available with allocation caveat,Container/build-image supplied; host version not authoritative,Toolbox tracks upstream master; pin a commit for reproducibility,Custom rocm-7.2.4-rocmfp4 toolbox exists,Container can pass /dev/infiniband for RDMA-aware builds,Runtime commonly uses -ngl 999 -fa 1 --no-mmap,Container device access to /dev/kfd and /dev/dri,"ROCm 7.2.4 is a general official release and community-validated here, but is not named in AMD’s gfx1151-specific 7.2.1–7.2.3 row.",KYUZ0-TOOLBOX-A7C71E9; AMD-CORE-724; AMD-RDNA35; FEDORA-BUG-2420062,2026-07-17
COMM-RADV-MESA2602-2603,community-validated,C1+C2,medium-high,recommended-community-vulkan-path,llama.cpp Vulkan on gfx1151,Modern Linux distribution,Qualifying gfx1151 kernel; reports include 6.19.4,Fixed/current,Not required for Vulkan,Not required,Host C/C++ compiler only,Mesa RADV 26.0.2 or 26.0.3 community-tested,>=3.14 for Vulkan-only upstream; 3.28.x baseline,Current source; pin b10064 for reproducibility,Fork reports Vulkan acceleration,Independent,-DGGML_VULKAN=ON -DGGML_HIP=OFF -DGGML_CUDA=OFF,Optional VK_DRIVER_FILES=/usr/share/vulkan/icd.d/radeon_icd.x86_64.json,Prompt-processing regressions have occurred between llama.cpp builds; --no-direct-io/--no-mmap can isolate model-load failures.,KYUZ0-TOOLBOX-A7C71E9; LLAMA-ISSUE-24438; LLAMA-ISSUE-22375; LLAMA-ISSUE-18741,2026-07-17
UPSTREAM-MESA-2615-CANDIDATE,official-upstream-current,O2,medium,current-release-not-target-certified,Latest Mesa source release; target validation must be repeated,Linux,Use a qualifying gfx1151 kernel,Fixed/current,Not required for Vulkan,Not required,Mesa build compiler per distribution,Mesa 26.1.5 / RADV,Mesa uses Meson; CMake only for llama.cpp,b10064 pinned build candidate,Vulkan fork build candidate,Independent,meson setup build -Dvulkan-drivers=amd -Dgallium-drivers=radeonsi; llama: -DGGML_VULKAN=ON,VK_DRIVER_FILES only when selecting a non-default ICD,“Latest” is not equivalent to “validated on gfx1151.” Run the included Vulkan smoke and llama-bench gate.,MESA-2615; VULKAN-LOADER-ICD; LLAMA-RELEASE-B10064,2026-07-17
RISK-AMDVLK-LARGE-ALLOC,community-reported-risk,C1+C2,medium-high,conditionally-usable,Vulkan driver selection for large GGUF models,Linux,Qualifying gfx1151 kernel,Fixed/current,Not required,Not required,Not material at runtime,AMDVLK,Any supported llama.cpp build CMake,Vulkan backend,May work for models not hitting allocation limit,Independent,-DGGML_VULKAN=ON,Use VK_DRIVER_FILES to force AMDVLK only for controlled comparison,Approximately 2 GiB single-buffer allocation failures have been reported; prefer RADV for large models.,LLAMA-ISSUE-15054; KYUZ0-TOOLBOX-A7C71E9,2026-07-17
EXP-ROCMFPX-A5605-ROCM721,experimental-community,C2,medium,experimental-validated-by-maintainer,ROCmFPX fork HIP and Vulkan build on Strix Halo,Ubuntu 24.04 container or compatible host,Qualifying gfx1151 host kernel,Fixed/current host firmware,7.2.1 complete container baseline,7.2.1 line,ROCm 7.2 bundled LLVM 22 line,mesa-vulkan-drivers in runtime image; maintainer reports Vulkan and HIP tests,Image package; HIP language must be >=3.21,Fork commit a5605a72768c6562241b248e268e33dc92787394,ROCmFP3/4/6/8 experimental formats,Not intrinsic,-DGGML_HIP=ON -DGGML_VULKAN=ON -DGGML_HIP_ROCWMMA_FATTN=OFF -DGGML_HIP_FORCE_MMQ=ON -DCMAKE_HIP_ARCHITECTURES=gfx1151 -DGPU_TARGETS=gfx1151,Optional project path: HSA_OVERRIDE_GFX_VERSION=11.5.1; GGML_HIP_ENABLE_UNIFIED_MEMORY=1,Fork-specific flags and environment variables must not be generalized to upstream llama.cpp. APIs and formats may change.,ROCMFPX-A5605; ROCMFPX-BUILD-A5605; ROCMFPX-DOCKER-A5605,2026-07-17
OFF-USB4-IP-THUNDERBOLT-NET,official-upstream-supported,O2,high,supported-kernel-component,Standard IP networking over USB4/Thunderbolt,"Linux with USB4, INET, and CONFIG_USB4_NET",Mainline kernel with thunderbolt_net; use gfx1151-qualified kernel for the overall host,"Unrelated to USB4 networking, but still relevant to GPU workloads",Independent,Independent,Independent,Independent,Independent,Use TCP RPC over thunderbolt0 as normal IP networking,Independent,CONFIG_USB4_NET / thunderbolt_net / thunderbolt0,Kernel: CONFIG_USB4=y CONFIG_USB4_NET=m CONFIG_INET=y,None,"Interface naming and authorization depend on firmware, topology, and distribution policy; benchmark each cable/topology.",LINUX-THUNDERBOLT-DOC; LINUX-USB4-NET-KCONFIG; STRIXHALO-WIKI-CLUSTERING,2026-07-17
EXP-USB4-RDMA-76BA39B,experimental-community,C2,medium,research-only-not-production,InfiniBand verbs over USB4/Thunderbolt DMA rings,"Linux; packages for Debian/Ubuntu, Fedora, Arch, and Nix",>=6.14 or project-patched linux-thunderbolt kernel,Independent,Can be exposed into ROCm/vLLM/llama containers,Independent,Kernel module toolchain,Independent,Not primary build system; Make/DKMS/Nix,Potential RDMA-aware distributed transports; project integration required,Independent,thunderbolt_ibverbs + usb4-rdma-provider,modprobe thunderbolt_ibverbs profile=linux_perf bind_services=1 allocate_rings=1 start_rings=1 negotiate_native=1 enable_tunnels=1 register_verbs=1,Container: --device=/dev/infiniband --cap-add=IPC_LOCK --ulimit memlock=-1,"Project explicitly states buggy, insecure, and not for production.",THUNDERBOLT-IBVERBS-76BA39B,2026-07-17
