source_id,title,url,type,repo,ref,blob,accessed,license,reuse_limit,local_capture
SRC-BLOB-GGUF-CACHY,fewtarius/CachyLlama@6be745998f568e379ea197fcf827baec73ff9940:ggml/src/gguf.cpp,https://github.com/fewtarius/CachyLlama/blob/6be745998f568e379ea197fcf827baec73ff9940/ggml/src/gguf.cpp,source-file,fewtarius/CachyLlama,6be745998f568e379ea197fcf827baec73ff9940,5e1986182515b3baadd3ab4c45c7e09038d0b64e,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-GGUF-ROCM,charlie12345/ROCmFPX@61f2f2d7bc4955e9bca821095ef69125837133b5:ggml/src/gguf.cpp,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/ggml/src/gguf.cpp,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,ab3cc9748678ce79ee171a22e426061a4235fa8f,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-GGUF-UPSTREAM,ggml-org/llama.cpp@788e07dc91d266ad3162a1ce9037665656269689:ggml/src/gguf.cpp,https://github.com/ggml-org/llama.cpp/blob/788e07dc91d266ad3162a1ce9037665656269689/ggml/src/gguf.cpp,source-file,ggml-org/llama.cpp,788e07dc91d266ad3162a1ce9037665656269689,7920b8100b61e2f2d903f55e7e0887fc07b65d4b,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-RPC-ROCM,charlie12345/ROCmFPX@61f2f2d7bc4955e9bca821095ef69125837133b5:ggml/src/ggml-rpc/ggml-rpc.cpp,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/ggml/src/ggml-rpc/ggml-rpc.cpp,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,1cb8f563d8583db966c424b7f2fd58f65f8f9c7f,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-RPC-UPSTREAM,ggml-org/llama.cpp@788e07dc91d266ad3162a1ce9037665656269689:ggml/src/ggml-rpc/ggml-rpc.cpp,https://github.com/ggml-org/llama.cpp/blob/788e07dc91d266ad3162a1ce9037665656269689/ggml/src/ggml-rpc/ggml-rpc.cpp,source-file,ggml-org/llama.cpp,788e07dc91d266ad3162a1ce9037665656269689,d38057721834c95f4beda160dd89dc7f0c5ca86a,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-SERVER-TASK-ROCM,charlie12345/ROCmFPX@61f2f2d7bc4955e9bca821095ef69125837133b5:tools/server/server-task.cpp,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/tools/server/server-task.cpp,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,6e0bb85d1080ac57746eeef0aacddfa293d90fd8,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-VOCAB-DEPLOYED,charlie12345/rocmfp4-llama@4860505ee322091f0f61eba77d6ad49be88cf4ea:src/llama-vocab.cpp,https://github.com/charlie12345/rocmfp4-llama/blob/4860505ee322091f0f61eba77d6ad49be88cf4ea/src/llama-vocab.cpp,source-file,charlie12345/rocmfp4-llama,4860505ee322091f0f61eba77d6ad49be88cf4ea,a42cc74bfa6c40cd6a80330a6baa82497237408c,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-VOCAB-ROCM,charlie12345/ROCmFPX@61f2f2d7bc4955e9bca821095ef69125837133b5:src/llama-vocab.cpp,https://github.com/charlie12345/ROCmFPX/blob/61f2f2d7bc4955e9bca821095ef69125837133b5/src/llama-vocab.cpp,source-file,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,bccc4ecb99fae0c0c535c3d5ac65044734864b1e,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-BLOB-VOCAB-UPSTREAM,ggml-org/llama.cpp@788e07dc91d266ad3162a1ce9037665656269689:src/llama-vocab.cpp,https://github.com/ggml-org/llama.cpp/blob/788e07dc91d266ad3162a1ce9037665656269689/src/llama-vocab.cpp,source-file,ggml-org/llama.cpp,788e07dc91d266ad3162a1ce9037665656269689,fdd447147d43daa42ea8d437924240bd02036b01,2026-07-18,MIT,Source excerpt may be reused under MIT with attribution.,
SRC-COMMIT-0728,Legacy GGUF duplicate loop fix,https://github.com/ggml-org/llama.cpp/commit/07283b1a90e1320aae4762c7e03c879043910252,commit,ggml-org/llama.cpp,07283b1a90e1320aae4762c7e03c879043910252,,2026-07-18,MIT source changes,Source diff may be reused under repository MIT license with attribution.,
