provenance_id,repository,commit,path,blob_or_gitlink_sha,import_method,license_expression,notice_required,notice_token,source_url,notes
P-001,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,LICENSE,e7dca554bcb802f98408383a864404e3aa4eacca,repository-root,MIT,yes,MIT,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/LICENSE,Root license
P-002,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,ggml/rocmfp4/rocmfp4.c,bccefcec15daaf38c8aeaeb432945f9806e98a15,local-promoted-history,MIT,yes,ROCmFP4,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/ggml/rocmfp4/rocmfp4.c,No per-file header observed
P-003,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,ggml/rocmfpx/rocmfpx.c,5aa075ef87013181d5eacbd3f013d0814118aa36,local-promoted-history,MIT,yes,ROCmFPX,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/ggml/rocmfpx/rocmfpx.c,Core local implementation
P-004,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,src/models/hyv3.cpp,1c8ebf0b78ba05efb1ff81b65661c7e8642a0e67,local-base-reverse-ported-upstream,MIT,yes,Hy3,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/src/models/hyv3.cpp,Upstream commit 2969d6d names source
P-005,ggml-org/llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,src/models/hy-v3.cpp,47a0beaf217f19219e3e8fb8d5c35664625d7c73,manual-port-from-ROCmFPX,MIT,yes,Hy3,https://github.com/ggml-org/llama.cpp/blob/2969d6d15d67a08e7b83f26164b15350c79c5248/src/models/hy-v3.cpp,Commit message preserves source/coauthors
P-006,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,ggml/src/ggml-hexagon/htp/hmx-matmul-ops.c,5c37f24ff0049a0c8e67c19b2e712ce8b834102b,exact-blob-snapshot-d2c67959,MIT,yes,Hexagon snapshot,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/ggml/src/ggml-hexagon/htp/hmx-matmul-ops.c,Exact upstream blob; SDK separate
P-007,ggml-org/llama.cpp,d2c67959b32cc49e43de2256b7381feb9130a17a,ggml/src/ggml-hexagon/htp/hmx-matmul-ops.c,5c37f24ff0049a0c8e67c19b2e712ce8b834102b,upstream-source,MIT,yes,Hexagon snapshot,https://github.com/ggml-org/llama.cpp/blob/d2c67959b32cc49e43de2256b7381feb9130a17a/ggml/src/ggml-hexagon/htp/hmx-matmul-ops.c,Source of exact ROCmFPX blob
P-008,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,ggml/src/ggml-sycl/common.hpp,96bc1c98bd97c6a0e5574c164bc803d9d19ab619,inherited-backend,MIT AND (Apache-2.0 WITH LLVM-exception),yes,SYCL LLVM exception,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/ggml/src/ggml-sycl/common.hpp,File header; exact connector-reported blob
P-009,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,ggml/src/ggml-openvino/openvino/frontend.h,f1c6f0c3e3ce3eaebb8afbcbc91a01b236778f1b,inherited-backend,Apache-2.0,yes,OpenVINO Apache,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/ggml/src/ggml-openvino/openvino/frontend.h,File header; exact connector-reported blob
P-010,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,examples/gguf-hash/deps/xxhash/xxhash.h,c0fafe20d54ad017425e636c2f3e754494648053,vendored-third-party,BSD-2-Clause,yes,xxHash,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/examples/gguf-hash/deps/xxhash/xxhash.h,Binary notice required; exact connector-reported blob
