component,official_current,official_min_gfx1151,community_validated,known_bad_or_risky,sources
Linux kernel,Ubuntu 26.04 kernel 7.0 or Ubuntu 24.04.4 HWE 6.17 for ROCm 7.14,HWE >=6.17.0-19.19~24.04.2; OEM >=6.14.0-1018; other distros >=6.18.4,Fedora 43 kernel 6.18.9,Below distro-specific fixed minimum,AMD-CORE-714; AMD-RDNA35; KYUZ0-TOOLBOX-A7C71E9
amdgpu firmware,Use supported OS inbox/distribution pair,No single cross-distro package version stated; fixed firmware required,Fedora linux-firmware 20260110,linux-firmware 20251125 / MES 0x83 era,AMD-CORE-714; FEDORA-BUG-2420062; ROCM-ISSUE-5724
ROCm,7.14 Core SDK,7.2.1-7.2.3 stable in RDNA3.5 prebuilt table on qualifying kernels,7.2.4 toolbox on Fedora 42/43,7.1.x and 6.4.x unsupported in current RDNA3.5 table,AMD-CORE-714; AMD-RDNA35; KYUZ0-TOOLBOX-A7C71E9
HIP,7.14,llama.cpp source requires HIP >=6.1; use supported ROCm line,7.2.1 and 7.2.4 paths,Mixed HIP runtime/compiler generations,AMD-CORE-714; AMD-CORE-724; LLAMA-HIP-CMAKE-86D86ED
LLVM/Clang,23.0.0 with ROCm 7.14,Use compiler bundled with selected ROCm SDK,22.0.0.26084 with ROCm 7.2.4,System Clang or LLVM from another ROCm generation,AMD-CORE-714; AMD-CORE-724
Mesa/RADV,Mesa 26.1.5 upstream,No Mesa project hardware-support certification claim captured,Mesa 26.0.2/26.0.3 on gfx1151 llama.cpp reports; RADV recommended by toolbox,Upgrade regressions must be benchmark-gated,MESA-2615; LLAMA-ISSUE-22375; LLAMA-ISSUE-24438; KYUZ0-TOOLBOX-A7C71E9
AMDVLK,Driver release independent of this matrix,Not asserted,Works for selected models,Reported ~2 GiB single-buffer allocation limit for large models,LLAMA-ISSUE-15054; KYUZ0-TOOLBOX-A7C71E9
CMake,4.3.4,3.21 for native HIP language and CMAKE_HIP_ARCHITECTURES,Ubuntu 24.04 3.28.x conservative baseline,Latest CMake not assumed validated with every old ROCm package,CMAKE-RELEASE-434; CMAKE-HIP-ARCH; LLAMA-HIP-CMAKE-86D86ED
llama.cpp,b10064 / 86d86ed on 2026-07-17,Upstream binary is ROCm 7.2; host support external,HIP and Vulkan on gfx1151; workload-dependent winner,rocWMMA FA long-context regression; commit-to-commit RADV pp regression,LLAMA-RELEASE-B10064; LLAMA-ISSUE-24437; LLAMA-ISSUE-24438; LLAMA-ISSUE-22375
ROCmFPX,Not AMD/upstream llama official,N/A,"a5605a7 with ROCm 7.2.1 container, HIP and Vulkan","Experimental APIs, formats, tuning and fork-only flags",ROCMFPX-A5605; ROCMFPX-BUILD-A5605; ROCMFPX-DOCKER-A5605
USB4 IP networking,CONFIG_USB4_NET / thunderbolt_net,Kernel component independent of gfx ISA,Linux-to-Linux clustering; ~9 Gbit/s/link reported on specific systems,Cable/topology/authorization/MTU variability,LINUX-THUNDERBOLT-DOC; LINUX-USB4-NET-KCONFIG; STRIXHALO-WIKI-CLUSTERING
USB4 RDMA verbs,No upstream production support claim,N/A,"thunderbolt-ibverbs 76ba39b, Linux >=6.14","Explicitly buggy, insecure, research-only",THUNDERBOLT-IBVERBS-76BA39B
