threat_id,threat,fscrypt_v2,dmcrypt_luks2,object_aead,operational_controls,residual_risk
T01,"Stolen or decommissioned rank-local drive, mapping closed",Mitigates protected-tree content/filename disclosure if keys absent,Primary volume-level mitigation if volume key absent,Mitigates payload disclosure if object keys absent,KMS separation; no plaintext keys on cache media; media inventory,"Visible metadata, sizes, headers, backups, keys elsewhere, weak unlock credentials"
T02,Offline modification or ciphertext substitution,Does not authenticate ordinary file ciphertext,XTS does not authenticate; dm-integrity AEAD may detect block tampering,Detects payload/AAD substitution; wrong tag => miss,Immutable objects; manifest authentication; quarantine evidence,Replay of an older valid object without trusted freshness state
T03,Online co-tenant reads another tenant cache entry,Helps only with correct directory-key and OS access separation,Shared unlocked volume does not separate tenants,Per-scope key and AAD principal binding deny wrong-tenant authentication,Authoritative principal mapping; per-request authorization; service isolation,"Compromised cache service, kernel, or authority mapping"
T04,Compromised root/kernel/hypervisor while cache is live,Outside intended protected-at-rest boundary,Outside intended protected-at-rest boundary,Keys/plaintext accessible to compromised trusted computing base,"Host hardening, measured boot, MAC, least privilege, separate key broker, rapid drain",Cryptography cannot make live plaintext unavailable to an authorized computation path
T05,Object copied between ranks or peers,No native rank semantic binding,No native rank semantic binding,Rank and epoch in KDF/AAD make copied object fail authentication,Rank identity assigned by authority; peer protocol mutually authenticated,Incorrect authority assignment or shared rank key
T06,"Wrong key epoch, tenant, project, prefix, codec, or manifest",May fail access but not normalized semantically,Volume mapping only,AAD/key mismatch causes AEAD FAIL; normalize to miss,Single miss path; rate-limited structured diagnostics,Diagnostic side channels if error classes leak to callers
T07,AEAD nonce reuse after crash or state rollback,Not application-managed,Sector-IV semantics separate,Can catastrophically weaken GCM/ChaCha20-Poly1305,Per-rank epoch keys; crash-safe allocator; epoch rollover on uncertainty; invocation ceilings,Implementation error or restored counter snapshot without epoch change
T08,Replay of an old but valid object or manifest,No replay control,No replay control,Authenticates replayed object as valid unless freshness is checked,"Trusted epoch floor, generation, expiration, source version, monotonic manifest state",Rollback of the trusted freshness store itself
T09,Torn write or power loss during object/manifest commit,Filesystem-dependent,Filesystem and optional dm-integrity journal dependent,Incomplete object fails bounds/tag/digest; unpublished temp file is not indexed,"Write-temp, fsync file, atomic rename, fsync directory, publish manifest last",Filesystems/storage that do not honor assumed durability semantics
T10,Backup theft or unauthorized snapshot restore,Protection depends on whether backup is ciphertext and keys are separate,Raw encrypted volume helps; header backups and unlock material remain sensitive,Ciphertext remains confidential; wrapped epoch roots and manifests are key dependencies,No cache backup by default; independent backup KEK; access logging; retention inventory,"Escrow, replicated KMS, stale credentials, provider snapshots"
T11,Cross-tenant content-confirmation through global dedup,Does not define logical dedup scope,Does not define logical dedup scope,Keyed scope-specific CID prevents public raw digest lookup,No cross-tenant private index; admission padding/rate controls; separate public namespace,Timing/size/access leakage and equality inside approved scope
T12,Malicious or corrupt public/system-prefix object,No publisher identity binding,No publisher identity binding,Authority/prefix/publication metadata authenticated; optionally signed manifest,Separate publisher role; immutable release; rollback controls; read-only tenants,Compromised system publisher or signing key; semantic poisoning in valid content
T13,Key compromise for one tenant/project/rank/epoch,Blast radius follows policy/master key,Blast radius follows volume key,Hierarchy limits blast radius to derived scope if roots are separated,New epoch; revoke broker authorization; invalidate manifests; recompute,Parent authority-root compromise or copied plaintext/keys
T14,"Revocation while files, mappings, or processes are busy",Open files may retain per-file keys,Mapping cannot close until users drain; deferred close waits,Process memory and decrypted buffers persist until wiped/terminated,Stop admission; drain; close descriptors; unmount; close mapping; revoke; verify; restart,"Unobservable copies, kernel caches, crash dumps, swap, DMA, hardware state"
T15,Logical tenant/project deletion request,Remove namespace/key references but open files and backups remain,Volume key destruction may be over-broad; keyslot deletion may be reversible via backups,Delete manifests/indexes and object/wrapped-key records; tombstone scope,Retention policy; garbage collection; backup expiry; audit evidence,"Shared objects, logs, snapshots, and delayed replicas"
T16,Claimed cryptographic erasure,Conditional on all key copies/derived uses and busy files,"Conditional on all unlock paths, headers, backups, escrow, snapshots",Conditional on independently destroyable DEK/epoch key and all copies,"Key inventory, destroy operation, verification, validation, documented scope",Unknown copies or future cryptanalytic/implementation failure; not physical zeroization
T17,Physical media retirement or reuse,"Encryption is one input, not complete sanitization evidence",Encryption/CE may support policy if all conditions met,Does not itself issue device sanitize commands,"Media-specific NIST SP 800-88r2 procedure; verify, validate, document; destroy where required","Device remapping, inaccessible cells, provider limitations, failed sanitize implementation"
T18,"Any unknown, malformed, corrupt, unauthenticated, mismatched object",Not sufficient to classify application object,Not sufficient to classify application object,All checks collapse to MISS_RECOMPUTE; optional quarantine,"Constant-shaped response, bounded parsing, rate limits, metrics, recompute authority",Denial-of-service through repeated forced misses or expensive recomputation
