domain,interface,correctable,uncorrectable,fatal_or_recovery,strix_halo_status,proof_required,coverage_gap,source_id
PCIe hierarchy/link,Linux AER sysfs + kernel log,[SUPPORTED_IF_PRESENT] Correctable counters/log warnings,[SUPPORTED_IF_PRESENT] Non-fatal/fatal counters and recovery path,Driver callbacks; reset required for fatal link errors,[UNKNOWN] until AER capability and ACPI _OSC ownership proven,lspci -vv; /sys/bus/pci/devices/*/aer_*; boot log _OSC/AER/DPC; kernel config,Does not include device-internal errors,KERNEL-PCIE-AER
CPU core/cache/fabric MCA,"x86 machine-check records, rasdaemon/journal/trace",[SUPPORTED_IF_PRESENT] Corrected events can be logged,"[SUPPORTED_IF_PRESENT] May produce MCE, SIGBUS, panic or reboot",CPU/bank/severity specific,[UNKNOWN] exact banks/decoding/firmware routing,CPUID; kernel config; journal; tracefs; rasdaemon; GHES/APEI inventory,Bank meanings CPU-specific; corrected logging can be disabled,KERNEL-X86-MCA
System memory EDAC,/sys/devices/system/edac/mc and rasdaemon,[SUPPORTED_IF_PRESENT] EDAC corrected events,[SUPPORTED_IF_PRESENT] uncorrected/deferred/fatal types,Driver/controller/OS policy dependent,[UNKNOWN] LPDDR5 ECC and amd64_edac exposure unproven,"EDAC sysfs instances, driver bind, ECC-enable status, decoded events",No target-specific public guarantee; absence of counters is not absence of faults,KERNEL-EDAC-DOC; KERNEL-SOURCE-AMD64-EDAC
AMDGPU hardware RAS,/sys/class/drm/card*/device/ras/*_err_count and ras/features,[SUPPORTED_IF_PRESENT] `ce` per supported block,[SUPPORTED_IF_PRESENT] `ue` and poison per supported block,GPU reset; optional auto reboot for unrecoverable errors,[UNKNOWN] ASIC/IP/PSP/VBIOS/ras_mask gated,"amdgpu IP discovery, MP0/UMC/NBIO versions, ras_mask, features, err_count files, dmesg RAS init",gfx1151 does not prove any RAS block; missing interface may mean unsupported/gated,KERNEL-AMDGPU-RAS-DOC; KERNEL-SOURCE-AMDGPU-RAS
AMDGPU operational failures,DRM scheduler/reset/VM fault logs,Not an ECC CE counter,"Can reveal hangs, resets, page faults, firmware faults",GPU reset/rebind/reboot depending failure,[SUPPORTED_IF_PRESENT] operational telemetry,journalctl -k; pstore; amdgpu debug info,"Detects symptoms, not silent corruption or complete RAS coverage",KERNEL-AMDGPU-RAS-DOC
NVMe controller health,NVMe SMART / health log,Vendor/generic fields may report corrected/internal events; semantics vary,Media/data-integrity error and critical-warning fields where implemented,"Controller reset, namespace offline, read-only, replacement",[SUPPORTED_IF_PRESENT] for installed P310 controller,nvme smart-log -H; id-ctrl; smartctl -x; baseline and trend,Does not prove NAND/controller internal ECC observability or host-memory integrity,CRUCIAL-STORAGE-EXECUTIVE-FAQ
NVMe command/error history,NVMe error log,No standardized CE taxonomy equivalent to EDAC,Command/status error entries; may reveal media/transport faults,Controller/device-specific,[SUPPORTED_IF_PRESENT],nvme error-log with entry count and timestamps/context,Ring buffer may wrap; zero entries is not proof of no latent faults,CRUCIAL-P310-SUPPORT
SSD firmware update state,NVMe Firmware Slot Information log,N/A,N/A,Shows active/next slot and slot capabilities when implemented,[UNKNOWN] for VACR001,nvme fw-log; id-ctrl FRMW fields; vendor statement,Slot presence does not prove downgrade or image authentication,CRUCIAL-P310-SUPPORT
USB4/Thunderbolt NVM authentication,nvm_version and nvm_authenticate; fwupd history,N/A,Authentication failure code and safe-mode state,Valid image may recover safe mode; unsuitable image can require special tools,[OPEN: LOCAL_ID_REQUIRED],sysfs identity/NVM fields; fwupd device JSON/history; exact OEM image,Authentication result is not CE/UE link telemetry and does not prove rollback,KERNEL-USB4-THUNDERBOLT
USB4 DMA/security policy,"security level, authorization, IOMMU DMA protection",N/A,N/A,Authorization/tunnel policy,[OPEN: LOCAL_ID_REQUIRED],"boltctl, sysfs security/iommu_dma_protection, IOMMU boot logs",Policy protects DMA exposure; does not detect hardware bit errors,KERNEL-USB4-THUNDERBOLT
USB4 tunnel events,kernel KOBJ_CHANGE events and logs,No generic CE counter documented for every topology,Disconnect/low/insufficient-bandwidth symptoms may be emitted,Tunnel teardown/re-enumeration,[SUPPORTED_IF_PRESENT] operational telemetry,"udev monitor, journal, topology capture",Not an errata or hardware-RAS substitute,KERNEL-USB4-THUNDERBOLT
DDR5 Rowhammer mitigation,OEM BIOS/PI configuration evidence,No target CE counter documented,No public target counter tied to mitigation efficacy,"Mitigation configuration, not telemetry",[OPEN] affected family; exact PI/settings unpublished,"OEM release notes, setup variable evidence, AMD/OEM statement",Cannot validate Mixed Refresh Mode from generic EDAC/AER alone,AMD-SB-7048
Firmware update provenance,fwupd Jcat/checksum/signature + device history,N/A,N/A,Repository trust and update result,[OPEN] exact device GUIDs/payloads,fwupdmgr get-devices/get-updates/get-history; CAB/Jcat hashes,LVFS origin trust is separate from vendor payload signature and anti-rollback,FWUPD-ONLYTRUSTED; LVFS-UPLOAD-SIGNING
End-to-end data integrity,Filesystem/database/application checksums and scrubs,Can detect and sometimes repair when redundant copy exists,Detects mismatch/corruption at protected layer,Restore from verified replica/backup,Candidate compensating control,"Documented checksum scope, scrub cadence, repair source, alert tests",Does not cover all transient CPU/GPU/memory execution corruption,[LOCAL_CONTROL]
