CAPTURE_TYPE: normalized rendered model-card option table
CLAIM_LABEL: [CONVERTER]
ACCESS_DATE: 2026-07-18
REPOSITORY: unsloth/NVIDIA-Nemotron-3-Ultra-550B-A55B-GGUF
REVISION: 05c80881664d32be9b26bab9d0360be00230ade4
IMMUTABLE_URL: https://huggingface.co/unsloth/NVIDIA-Nemotron-3-Ultra-550B-A55B-GGUF/blob/05c80881664d32be9b26bab9d0360be00230ade4/README.md
SIZE_SEMANTICS: rounded converter UI values; not exact bytes
SELECTED: UD-IQ3_XXS

QUANTIZATION	DISPLAY_SIZE	SELECTED
UD-IQ1_M	188 GB	FALSE
UD-IQ2_XXS	194 GB	FALSE
UD-IQ2_M	194 GB	FALSE
UD-Q2_K_XL	202 GB	FALSE
UD-IQ3_XXS	223 GB	TRUE
UD-IQ3_S	251 GB	FALSE
UD-Q3_K_M	274 GB	FALSE
UD-Q3_K_XL	274 GB	FALSE
UD-IQ4_XS	286 GB	FALSE
UD-Q4_K_S	328 GB	FALSE
MXFP4_MOE	352 GB	FALSE
UD-IQ4_NL	294 GB	FALSE
UD-Q4_K_M	359 GB	FALSE
UD-Q4_K_XL	360 GB	FALSE
UD-Q5_K_S	392 GB	FALSE
UD-Q5_K_M	427 GB	FALSE
UD-Q5_K_XL	427 GB	FALSE
UD-Q6_K	461 GB	FALSE
UD-Q6_K_XL	523 GB	FALSE
Q8_0	584 GB	FALSE
UD-Q8_K_XL	595 GB	FALSE
BF16	1.1 TB	FALSE

NOTE: Availability in the converter repository is not evidence of target-machine loadability, operator correctness, quality, or performance.
