id,category,feature,behavior,implementation_files,source_repositories,source_commits,dependencies,license,maturity,evidence,evidence_urls,decision,portability,target_overlap,rationale,risks,confidence
F-001,Persistent SSD-backed KV cache,Process-restart-persistent sequence cache,"Reopens a configured cache root, scans stored checkpoints, and rebuilds the index so target sequence state can be reused after server restart.",common/kv-ssd-cache.h | common/kv-ssd-cache.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,C++17 filesystem | llama per-sequence state API | POSIX-style file I/O,MIT,M2,E-030 | E-031 | E-068,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h,REDESIGN,High,"ROCmFPX has disk prompt-cache spill, but its owned namespace is deliberately removed on shutdown.",Add an explicit persistent mode to the existing ROCmFPX cache engine rather than replacing its tested run-scoped mode.,"Crash consistency, stale format detection, tenant confidentiality, and restart index integrity.",High
F-002,Persistent SSD-backed KV cache,Hot/warm/cold checkpoint tiers,"Classifies checkpoints by recency and moves them through hot, warm, and cold tiers after turns.",common/kv-ssd-cache.h | common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,turn counter | tier RAM budgets | checkpoint metadata,MIT,M2,E-030 | E-037 | E-039,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,REDESIGN,Medium,"ROCmFPX currently has RAM plus bounded disk entries, not the same three-tier policy.","Preserve the policy objective but implement one budgeted cache with explicit residency state, pressure feedback, and testable promotion/demotion.",Source defaults and parent overrides disagree; auto budgeting is not cgroup-aware.,High
F-003,Persistent SSD-backed KV cache,Target + draft + speculative state record,"Stores target-model state, optional draft-model state, and speculative-decoder metadata as one logical checkpoint.",common/kv-ssd-cache.h | tools/server/server-context-ssd-cache.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,target llama_context | optional draft context | speculative decoder state,MIT,M2,E-030 | E-063 | E-067,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp,RETAIN,High,ROCmFPX already persists target/draft pairs and stateful MTP metadata.,Unify record metadata and validation with ROCmFPX's existing target/draft/state_spec representation.,Partial component restores must never be treated as a complete hit.,High
F-004,Persistent SSD-backed KV cache,Bounded chunk I/O,Reads and writes large state blobs in 64 MiB chunks instead of requiring a single giant host operation.,common/kv-ssd-cache.cpp | common/kv-ssd-posix.h,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,pread/pwrite or platform equivalents | bounded temporary buffers,MIT,M2,E-032 | E-033,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h,RETAIN,High,ROCmFPX has robust file commit handling but can reuse a bounded transfer helper where its serialization path benefits.,Port the chunk-loop concept behind the target's current I/O abstraction and preserve its fault injection.,Short reads/writes and cancellation paths require tests.,High
F-005,Persistent SSD-backed KV cache,Optional fsync durability,Can force checkpoint data to stable storage unless no-fsync is selected.,common/kv-ssd-cache.h | common/kv-ssd-cache.cpp | common/arg.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,fsync | cache configuration,MIT,M2,E-023 | E-034,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,REDESIGN,High,ROCmFPX already flushes files and directories in its tested commit path.,Represent durability as an explicit strict/relaxed policy and retain ROCmFPX's atomic pair commit.,"CachyLlama writes directly to final names, so fsync alone does not make metadata publication atomic.",High
F-006,Persistent SSD-backed KV cache,Checkpoint compatibility fingerprint,Rejects state whose model/cache compatibility hash differs from the active context.,common/kv-ssd-cache.h | common/kv-ssd-cache.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,model metadata fingerprint | state-format version,MIT,M2,E-038 | E-040 | E-060,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h,RETAIN,High,ROCmFPX already validates state shape and file integrity but needs a stable restart-persistence namespace key.,"Define a versioned fingerprint covering model identity, context layout, KV types, backend-relevant serialization version, and draft/MTP shape.",Under-specified fingerprints can load semantically incompatible state.,High
F-007,Persistent SSD-backed KV cache,Checkpoint token-prefix metadata,Persists a bounded token prefix with checkpoint metadata for restart-time prefix matching.,common/kv-ssd-cache.h | common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,llama_token representation | metadata serialization,MIT,M2,E-030 | E-040,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h,RETAIN,High,ROCmFPX's in-memory disk index already tracks complete prompt token vectors for the current run.,"Persist a compact, versioned token index or manifest in persistent mode; verify candidate tokens against the loaded file before accepting.",A 4096-token metadata prefix cannot prove equality for longer prompts by itself.,High
F-008,Persistent SSD-backed KV cache,Cold checkpoint count limit,Bounds the number of cold checkpoints and evicts old entries from a cold ring.,common/kv-ssd-cache.h | common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,LRU/ring metadata | filesystem delete,MIT,M2,E-037 | E-037,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,RETAIN,High,ROCmFPX already enforces a byte limit and LRU eviction.,Retain count as a secondary guard only; use byte quotas as the primary policy.,Count-only limits behave poorly across models with very different state sizes.,High
F-009,Persistent SSD-backed KV cache,Automatic hot/warm RAM sizing,Derives tier capacities from reported free RAM and allocates most of the calculated budget to the hot tier.,common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,Linux sysinfo or platform memory query | host RAM,MIT,M1,E-039,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,REDESIGN,Medium,ROCmFPX already has an explicit RAM cache limit.,Keep explicit limits authoritative; optional auto mode must use MemAvailable/cgroup limits and reserve headroom for model/runtime pressure.,Current free-RAM calculation can overcommit and is not container-aware.,High
F-010,Persistent SSD-backed KV cache,Platform read-ahead/prefetch,Issues read-ahead hints for a likely checkpoint before the restore is required.,common/kv-ssd-cache.cpp | common/kv-ssd-posix.h,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,posix_fadvise or platform equivalent | continuation prediction,MIT,M2,E-033 | E-042,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp,RETAIN,Medium,ROCmFPX has no documented persistent prefetch layer.,Add as an optional optimization after correctness and persistence land; measure hit rate and I/O amplification.,Prefetch may evict useful page cache or waste I/O on low-confidence candidates.,High
