capability,area,fork_implementation,upstream_status,decision,action,sources
"GGUF/GGML type IDs 100–107 for ROCmFP4, ROCmFPX, TurboQuant, and Q2",Quantization formats,Fork-only enum extension plus GGUF Python constants and quantizer mappings.,Current upstream enum ends at its own Q2_0 family and does not define ROCmFPX/Turbo type IDs.,RETAIN,Preserve stable on-disk IDs and block ABI; re-register them in current upstream without renumbering.,S-QT-ENUM-FORK;S-QT-ENUM-UP;S-GGUF-CONSTANTS
ROCmFP4 standard and FAST 32-weight blocks,Quantization formats,Dual-scale 18-byte block and single-scale 17-byte FAST block.,No equivalent upstream weight format.,RETAIN,"Treat block size, scale coding, and bit order as immutable file-format contracts.",S-ROCMFP4-H;S-ROCMFP4-C
ROCmFPX Q3/Q6/Q8 blocks,Quantization formats,32-weight blocks with 14/26/33-byte storage and fork-specific scale/codebook semantics.,No equivalent upstream formats.,RETAIN,Preserve CPU reference and exhaustive cross-backend conformance tests.,S-ROCMFPX-H;S-ROCMFPX-C;S-ROCMFPX-README
ROCmFPX Q2 and Phase-1 ROCmFP2 reference,Quantization formats,"10-byte, 32-weight Q2 format plus deterministic MORD/MSM reference probes.",Upstream has a different Q2_0 type and no ROCmFP2 codebook contract.,RETAIN,Keep the frozen byte format and reference oracle; do not equate it with upstream Q2_0.,S-ROCMFP2-H;S-ROCMFP2-C;S-ROCMFP2-TEST;S-QT-ENUM-UP
"CPU quantize/dequantize, GET_ROWS, OUT_PROD, and type traits",CPU / ggml,Reference functions and shared CPU dispatch entries for ROCmFPX formats.,Upstream shared files have evolved but cannot replace fork-only format semantics.,REFRESH,"Start from current upstream CPU/ggml files, then re-port type traits and operation cases with oracle tests.",S-ROCMFP4-C;S-ROCMFPX-C;S-CPU-REG;S-CPU-OPS;S-C-D45;S-C-A8B
HIP/ROCm MMVQ and MMQ kernels,ROCm/HIP kernels,"ROCmFPX dequant/dot-product paths, MMVQ/MMQ dispatch, Q2 template instantiation, and wave32 tuning.",Shared CUDA/HIP backend has newer generic implementation but no ROCmFPX formats.,REFRESH,"Rebase shared backend wholesale; re-port only format-specialized templates, dispatch, and validated fixes.",S-MMVQ;S-MMQ;S-MMQ-H;S-VECDOT;S-DEQUANT;S-CUDA-DISPATCH
ROCm 7.2 exact negative-infinity behavior,ROCm/HIP kernels,"Bit-exact negative-infinity helper used by reductions, softmax, and MoE top-k.",A generic backend correctness fix rather than a ROCmFPX format capability.,REFRESH,Use the current upstream implementation if equivalent; otherwise retain a narrowly scoped regression test and minimal patch.,S-C-DF3;S-UP-HEAD
Vulkan packed FP6 host/device coherency,Vulkan kernels,Host-packed 26-byte FP6 blocks are expanded on device; unaligned async chunks preserve surrounding bytes.,No upstream ROCmFPX FP6 storage transform.,RETAIN,Preserve transformation semantics and unaligned copy tests while rebasing the surrounding Vulkan backend.,S-C-62F;S-VULKAN;S-VULKAN-FP6
"Vulkan ROCmFPX dequant, matvec/matmul, copy, and FlashAttention hooks",Vulkan kernels,Custom shader types and backend capability/dispatch entries.,No ROCmFPX formats; current Vulkan infrastructure is newer.,REFRESH,Port only ROCmFPX shader primitives and dispatch into current upstream shader generation.,S-VULKAN;S-VULKAN-TYPES;S-PR27-FILES;S-PR32-FILES
Strix Halo gfx1151 build target and wave32 decode knobs,Strix Halo,"gfx1151 CMake/HIP target, Vulkan+HIP build, RDNA3.5 warp/row/batch tuning, and benchmark scripts.",AMD documents Strix Halo as gfx1151/RDNA 3.5; generic upstream does not encode fork-specific tuned defaults.,RETAIN,"Keep the profile and scripts, but convert hard-coded defaults into benchmarked presets with per-release gates.",S-BUILD-STRIX;S-CMAKE-PRESETS;S-TUNE-FLAGS;S-MMVQ;S-AMD-STRIX
rocWMMA path for Strix Halo,Strix Halo,Optional local rocWMMA headers/build path.,Current official rocWMMA architecture list does not name gfx1151.,RETIRE,Do not make rocWMMA the default for gfx1151; retain only as an opt-in experiment behind explicit detection and benchmarks.,S-BUILD-STRIX;S-AMD-ROCWMMA
TurboQuant KV-cache formats,KV cache / quantization,"Turbo3/Turbo4 type handling across quant traits, KV cache, HIP/Vulkan dequant/copy/FA, and tests.",No identical fork format; upstream KV-cache and FlashAttention internals have moved.,REFRESH,Preserve format ABI and quality tests; re-integrate against current KV-cache/FA APIs.,S-QT-ENUM-FORK;S-PR27-FILES;S-CPU-REG;S-CUDA-DISPATCH;S-VULKAN
Base HY3 model architecture,Graph / model,src/models/hyv3.cpp and converter/template integration.,"Upstream PR #25395 merged a current HY3 implementation, explicitly ported from ROCmFPX.",RETIRE,Delete the fork model port and adopt upstream src/models/hy-v3.cpp and current converter metadata.,S-HYV3-FORK;S-UP-PR25395;S-UP-HY3-MERGE;S-HYV3-UP
Generic HY3 MTP/NextN graph and split export,Graph / model,"Extra MTP decoder blocks, shared-head fallback, target/draft context split, and converter export.",Merged upstream HY3 MTP plus separate upstream split-export support.,RETIRE,"Use upstream graph, private API, context split, and converter; carry only independently tested fork deltas.",S-C-630;S-C-F961;S-UP-PR25395;S-UP-SPLIT-MTP;S-HYV3-UP
Fork private MTP graph API,Graph / model,embeddings_pre_norm and fork-specific MTP source/setter hooks.,"Current upstream exposes embeddings_nextn, nextn layer offset, and other-context APIs.",RETIRE,Replace the private fork API with current upstream llama-ext.h contracts.,S-EXT-FORK;S-EXT-UP
Generic speculative draft-MTP engine,MTP / speculative decoding,Fork copy with additional sentinel/truncation/state handling.,Current upstream has a newer draft-MTP engine and model/context initialization flow.,REFRESH,Use upstream speculative.cpp as the base and port only proven state/verification deltas.,S-SPEC-FORK;S-SPEC-UP;S-C-EFF
