id,repository,commit,path,locator,claim_supported,kind,caveat,url
E-001,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,(commit),commit metadata,The assessed llama-ai revision is the exact parent commit pin.,commit,,https://github.com/fewtarius/llama-ai/commit/1017f3dfdce3ca2b06aa9007b23295db3bb35722
E-002,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,.gitmodules,submodule stanza for CachyLlama,llama-ai declares CachyLlama as a Git submodule and tracks its upstream repository.,manifest,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/.gitmodules
E-003,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,LICENSE,full license text,llama-ai is distributed under GNU GPL v3.,license,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/LICENSE
E-004,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,README.md,license/documentation section,The parent README distinguishes software licensing from documentation licensing.,documentation,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/README.md
E-005,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,default variables and command assembly,"The runner sets model/server defaults, builds the llama-server command, and exposes profile-dependent cache options.",source,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
E-006,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,SSD cache defaults and --cache-ssd* arguments,"The runner overrides CachyLlama SSD defaults, including hot window, checkpoint count, cold count, system prompt count, retention, and fsync behavior.",source,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
E-007,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,GGUF metadata inspection and model profile selection,"The runner examines GGUF metadata to distinguish dense, MoE, and recurrent/SSM model profiles.",source,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
E-008,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,Hugging Face repository discovery and split download branches,"The runner can resolve and download local or Hugging Face GGUF models, including split files.",source,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
E-009,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,llama-run.sh,cleanup_existing_servers / process termination branches,The runner forcefully removes existing llama-server instances and port holders before launch.,source,Operationally effective but too destructive for a shared service host.,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh
E-010,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/rebuild.sh,backend selection and CMake command construction,"The build helper supports Vulkan, ROCm/HIP, and Metal-oriented builds and backend-specific CMake flags.",source,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/rebuild.sh
E-011,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/detect-gpu.sh,"PCI mapping, gfx target, hardware tier, and memory guidance",Hardware detection recognizes Strix Halo gfx1151 and derives tier/profile variables.,source,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/detect-gpu.sh
E-012,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,scripts/apply-ttm-kernel-params.sh,"amd-smi, systemd-boot, and GRUB mutation paths",The deployment helper can alter APU GTT/TTM settings at runtime or through bootloader configuration.,source,Privileged host mutation; unsuitable as an embedded library feature.,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/apply-ttm-kernel-params.sh
E-013,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,systemd/llama-server.service,"unit paths, restart policy, hardening directives, ExecStart",A systemd unit is supplied for automatic restart and service hardening.,source,The pinned unit contains host-specific paths and an option that has drifted from the runner.,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/systemd/llama-server.service
E-014,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,AGENTS.md,repository layout and workflow notes,The parent repository treats CachyLlama as the inference component and the shell layer as deployment orchestration.,documentation,,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/AGENTS.md
E-020,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,(commit),commit metadata,The assessed CachyLlama revision is the exact gitlink selected by the parent.,commit,,https://github.com/fewtarius/CachyLLama/commit/6be745998f568e379ea197fcf827baec73ff9940
E-021,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,LICENSE,full license text,CachyLlama source is MIT licensed.,license,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/LICENSE
E-022,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/common.h,common_params server/cache fields,"Source defaults define SSD path, checkpoint count, hot/warm windows, cold limit, page size, conversation limit, system cache retention, and per-user concurrency.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h
E-023,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/arg.cpp,server cache and isolation argument registrations,"CLI options and environment variables expose SSD cache, system cache, checkpoint, and per-user concurrency controls.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp
E-024,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/README.md,server-specific parameters and user-isolation section,"Server documentation lists prompt cache, checkpoint, metrics, slots, router, and user-isolation interfaces.",documentation,Several documented defaults or anonymous-cap statements conflict with source behavior.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md
E-025,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/CMakeLists.txt,common library source list,The primary SSD cache and system-prompt cache units are linked into the common library.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/CMakeLists.txt
E-026,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/CMakeLists.txt,llama-server source list,The server-specific page manager and SSD cache adapter are compiled into llama-server.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/CMakeLists.txt
E-030,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,"kv_ssd_cache_config, metadata, stats, and public methods","The component defines hot/warm/cold tiers, persistent checkpoint metadata, target/draft/spec blobs, matching, continuation, turn, and prefetch APIs.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
E-031,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"init(), directory scan, index load, and checkpoint reconstruction","Initialization scans an existing directory and reconstructs checkpoint state, enabling process-restart persistence.",source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-032,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,read/write helpers and 64 MiB chunk loop,State files are transferred in bounded chunks and use platform I/O helpers.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-033,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-posix.h,POSIX open/pread/pwrite/fsync/fadvise wrappers,The SSD implementation isolates POSIX-specific file and read-ahead operations behind a helper layer.,source,,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
E-034,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"checkpoint store path, optional fsync, failure cleanup","Checkpoint writes can fsync and delete incomplete files on failure, but write directly to final names.",source,No temp-file plus atomic-rename commit protocol was found.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
E-035,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,find_match() longest-common-prefix ranking,Cache matching computes token LCP and ranks matches by prefix length with recency/token-count tie breakers.,source,Any positive prefix is eligible at this layer; stronger thresholds are applied by the server page manager.,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
