claim_id,source_id,relationship
CLM-0001,SRC-DSV31-PUBLISHER,supports
CLM-0002,SRC-DSV31-PUBLISHER,supports
CLM-0003,SRC-DSV31-PUBLISHER,supports
CLM-0004,SRC-DSV31-PUBLISHER,supports
CLM-0005,SRC-DSV31-PUBLISHER,supports
CLM-0006,SRC-DSV31-PUBLISHER,supports
CLM-0007,SRC-DSV31-PUBLISHER,supports
CLM-0008,SRC-DSV31-CONVERSION,supports
CLM-0009,SRC-DSV31-CONVERSION,supports
CLM-0010,SRC-DSV31-CONVERSION,supports
CLM-0011,SRC-LLAMACPP-COMMIT,supports
CLM-0011,SRC-LLAMACPP-ARCH,supports
CLM-0011,SRC-LLAMACPP-MODELS,supports
CLM-0012,SRC-ROCMFPX-COMMIT,supports
CLM-0012,SRC-ROCMFPX-OPS,supports
CLM-0014,SRC-DSV31-PUBLISHER,supports
CLM-0014,SRC-DSV31-CONFIG,supports
CLM-0014,SRC-DSV31-CONVERSION,supports
CLM-0014,SRC-LLAMACPP-MODELS,supports
CLM-0014,SRC-ROCMFPX-OPS,supports
CLM-0015,SRC-GLM47-PUBLISHER,supports
CLM-0016,SRC-GLM47-PUBLISHER,supports
CLM-0017,SRC-GLM47-PUBLISHER,supports
CLM-0018,SRC-GLM47-PUBLISHER,supports
CLM-0019,SRC-GLM47-PUBLISHER,supports
CLM-0020,SRC-GLM47-PUBLISHER,supports
CLM-0021,SRC-GLM47-PUBLISHER,supports
CLM-0022,SRC-GLM47-CONVERSION,supports
CLM-0023,SRC-GLM47-CONVERSION,supports
CLM-0024,SRC-GLM47-CONVERSION,supports
CLM-0025,SRC-LLAMACPP-COMMIT,supports
CLM-0025,SRC-LLAMACPP-ARCH,supports
CLM-0025,SRC-LLAMACPP-MODELS,supports
CLM-0026,SRC-ROCMFPX-COMMIT,supports
CLM-0026,SRC-ROCMFPX-OPS,supports
CLM-0028,SRC-GLM47-PUBLISHER,supports
CLM-0028,SRC-GLM47-CONVERSION,supports
CLM-0028,SRC-LLAMACPP-MODELS,supports
CLM-0028,SRC-ROCMFPX-OPS,supports
CLM-0029,SRC-QWEN35-PUBLISHER,supports
CLM-0030,SRC-QWEN35-PUBLISHER,supports
CLM-0031,SRC-QWEN35-PUBLISHER,supports
CLM-0032,SRC-QWEN35-PUBLISHER,supports
CLM-0033,SRC-QWEN35-PUBLISHER,supports
CLM-0034,SRC-QWEN35-PUBLISHER,supports
CLM-0035,SRC-QWEN35-PUBLISHER,supports
CLM-0036,SRC-QWEN35-CONVERSION,supports
CLM-0037,SRC-QWEN35-CONVERSION,supports
CLM-0038,SRC-QWEN35-CONVERSION,supports
CLM-0039,SRC-LLAMACPP-COMMIT,supports
CLM-0039,SRC-LLAMACPP-ARCH,supports
CLM-0039,SRC-LLAMACPP-MODELS,supports
CLM-0040,SRC-ROCMFPX-COMMIT,supports
CLM-0040,SRC-ROCMFPX-OPS,supports
CLM-0042,SRC-QWEN35-PUBLISHER,supports
CLM-0042,SRC-QWEN35-CONVERSION,supports
CLM-0042,SRC-LLAMACPP-MODELS,supports
CLM-0042,SRC-ROCMFPX-OPS,supports
CLM-0043,SRC-NEMOTRON-PUBLISHER,supports
CLM-0044,SRC-NEMOTRON-PUBLISHER,supports
CLM-0045,SRC-NEMOTRON-PUBLISHER,supports
CLM-0046,SRC-NEMOTRON-PUBLISHER,supports
CLM-0047,SRC-NEMOTRON-PUBLISHER,supports
CLM-0048,SRC-NEMOTRON-PUBLISHER,supports
CLM-0049,SRC-NEMOTRON-PUBLISHER,supports
CLM-0049,SRC-OPENMDW,supports
CLM-0050,SRC-NEMOTRON-CONVERSION,supports
CLM-0051,SRC-NEMOTRON-CONVERSION,supports
CLM-0052,SRC-NEMOTRON-CONVERSION,supports
CLM-0053,SRC-LLAMACPP-COMMIT,supports
CLM-0053,SRC-LLAMACPP-ARCH,supports
CLM-0053,SRC-LLAMACPP-MODELS,supports
CLM-0054,SRC-ROCMFPX-COMMIT,supports
CLM-0054,SRC-ROCMFPX-OPS,supports
CLM-0056,SRC-NEMOTRON-PUBLISHER,supports
CLM-0056,SRC-NEMOTRON-CONVERSION,supports
CLM-0056,SRC-OPENMDW,supports
CLM-0056,SRC-LLAMACPP-MODELS,supports
CLM-0056,SRC-ROCMFPX-OPS,supports
CLM-0057,SRC-DSR1-PUBLISHER,supports
CLM-0058,SRC-DSR1-PUBLISHER,supports
CLM-0059,SRC-DSR1-PUBLISHER,supports
CLM-0060,SRC-DSR1-PUBLISHER,supports
CLM-0061,SRC-DSR1-PUBLISHER,supports
