id,component,measured_identity,authority,advisory_or_source,covered_product,issue_or_scope,official_floor_or_status,release_date,applicability,confidence,target_state,decision,source_id
A-001,OEM system BIOS,NIMO Mini PC board v1.0; BIOS 3.05 (2025-10-11),NIMO,AI 395 Mini PC support page,Nimo AI 395 Minipc,Public update channel,No exact board BIOS package listed,,[FAMILY_APPLIES] [NO_PUBLIC_PACKAGE],High for page contents; Low exact board,[OPEN],"[HOLD] Require exact board/revision package, release notes, PI contents, signature and recovery proof",OEM-NIMO-SUPPORT-AI395
A-002,CPU/PI firmware,Ryzen AI MAX+ 395 / Strix Halo,AMD Product Security,AMD-SB-7033 / CVE-2024-36347,Ryzen AI Max+ / Strix Halo,CPU microcode signature verification,StrixHaloPI-FP11 1.0.0.1,2025-03-20,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[OPEN] BIOS PI not disclosed,Verify OEM BIOS contains at least this PI; superseded by later 1.0.0.2b floor for watch-list purposes,AMD-SB-7033
A-003,CPU/PI firmware,Ryzen AI MAX+ 395 / BIOS 3.05,AMD Product Security,AMD-SB-4013 / CVE-2024-36310,Ryzen AI Max 300 Series,SMM communications-buffer validation,StrixHaloPI-FP11_1.0.0.1,2025-03-20,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[OPEN],Do not infer inclusion from BIOS date/version; require PI disclosure,AMD-SB-4013
A-004,CPU/PI firmware,Ryzen AI MAX+ 395 / BIOS 3.05,AMD Product Security,AMD-SB-4013 / CVE-2025-54514,Ryzen AI Max 300 Series,SoC shared-resource isolation,StrixHaloPI-FP11_1.0.0.1c,2025-08-18,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,"[OPEN] measured BIOS date is later, but PI content unknown",Require OEM PI manifest; date ordering alone is not proof,AMD-SB-4013
A-005,Attestation/signing service,Ryzen AI MAX+ 395,AMD Product Security,AMD-SB-4013 / CVE-2025-52533,Ryzen AI Max 300 Series,On-chip debug / nonce defense in depth,Key Distribution Server control,N/A,[EXPLICITLY_APPLIES],High for bulletin; Low deployment state,[OPEN],Track KDS/enrollment separately from BIOS; obtain platform attestation design evidence,AMD-SB-4013
A-006,CPU/PI firmware,Ryzen AI MAX+ 395 / BIOS dated 2025-10-11,AMD Product Security,"AMD-SB-4017 / CVE-2024-36345, CVE-2024-36343",AMD Ryzen AI MAX / Strix Halo,AOD SMM OOB read; SMM communications-buffer OOB read/write,StrixHaloPI-FP11_1.0.0.2b,2025-12-29,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[INFERRED] measured BIOS date predates AMD OEM release,[HOLD] Treat 1.0.0.2b as current public PI floor until OEM proves equivalent/newer integration,AMD-SB-4017
A-007,CPU/PI firmware,Ryzen AI MAX+ 395 / BIOS dated 2025-10-11,AMD Product Security,AMD-SB-4017 / CVE-2026-0438,Ryzen AI Max 300 Series,SMM handler callout to untrusted memory,StrixHaloPI-FP11_1.0.0.2a,2025-11-25,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[INFERRED] measured BIOS date predates AMD OEM release,[HOLD] Require board-specific BIOS integrating 1.0.0.2a or later,AMD-SB-4017
A-008,Memory module / PI policy,Ryzen AI MAX+ 395 with DDR5-class memory,AMD Product Security,AMD-SB-4017 / CVE-2025-48516,Ryzen AI Max 300 Series,Unprotected DDR5 PMIC interface; permanent DoS or integrity impact,No fix planned; hardware changes targeted for future platforms,N/A,[EXPLICITLY_APPLIES],High,Residual risk,Persistent watch item; enforce physical/local privilege controls and service threshold; firmware update cannot close it,AMD-SB-4017
A-009,DRAM/PI policy,Ryzen AI MAX+ 395 / LPDDR5-class platform,AMD Product Security,AMD-SB-7048,Ryzen AI Max 300 Series,DDR5 Rowhammer / Mixed Refresh Mode,Updated PI enables Mixed Refresh Mode; exact Strix Halo version not published in captured table,[OPEN],[EXPLICITLY_APPLIES],High affected-family; Medium mitigation package,[OPEN],[HOLD] Require OEM confirmation that target BIOS exposes/enables mitigation and documents performance/coverage,AMD-SB-7048
A-010,CPU/PI firmware,Ryzen AI MAX+ 395 / BIOS dated 2025-10-11,AMD Product Security,AMD-SB-7054 / CVE-2025-54502,Ryzen AI Max 300 Series,EFI LocateProtocol misuse in SMI handler,StrixHaloPI-FP11_1.0.0.2a,2025-11-25,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[INFERRED] measured BIOS date predates release,[HOLD] Same board-specific 1.0.0.2a-or-later requirement,AMD-SB-7054
A-011,CPU/PI firmware / software RNG,Ryzen AI MAX+ 395 / Zen 5,AMD Product Security,AMD-SB-7055 / CVE-2025-62626,Ryzen AI Max 300 Series,16/32-bit RDSEED may return incorrect zero/success behavior,StrixHaloPI-FP11_1.0.0.2a,2025-11-25,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[INFERRED] BIOS date predates release,[HOLD] Update PI; audit code for 16/32-bit forms and apply documented software workaround until proven,AMD-SB-7055
A-012,Windows chipset driver,Strix Halo,AMD Product Security,AMD-SB-4015,Ryzen AI Max 300 “Strix Halo”,Chipset driver vulnerabilities,8.01.20.513 current listed floor; prior issue-specific floors 7.06.02.123 / 7.04.09.545 / 7.02.13.148,2026-02-16,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High for Windows,[OPEN] installed OS/driver unknown,Inventory exact Windows driver/component versions before deployment,AMD-SB-4015
A-013,GPU driver,gfx1151 / Ryzen AI Max 300 iGPU,AMD Product Security,AMD-SB-6024,Ryzen AI Max 300 -> RX 7000 / PRO W7000 tables,Multiple graphics-driver CVEs,Adrenalin 25.6.1 and 25.5.1 issue-dependent; PRO 25.Q2; Linux 25.10.1/25.10.2 issue-dependent,2025-05 to 2025-07,[FAMILY_APPLIES] [FIX_AVAILABLE],High mapping; Medium installed stack,[OPEN],Inventory OS-specific driver branch; do not compare distro kernel versions directly to Radeon package numbers,AMD-SB-6024
A-014,GPU driver,Ryzen AI Max+,AMD Product Security,AMD-SB-6027 / CVE-2025-0044,AMD Ryzen AI Max+,Graphics driver vulnerability,Adrenalin 24.7.1 / PRO 24.Q2,2024-07-19,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,[OPEN],Verify installed driver is above floor,AMD-SB-6027
A-015,GPU process isolation,Ryzen AI Max 300 iGPU,AMD Product Security,AMD-SB-6010 / CVE-2023-4969,RX 7000 / PRO W7000 mapped family,GPU memory information disclosure,Adrenalin 26.1.1 / PRO 26.Q1 plus non-default isolation mode,Captured current bulletin state,[FAMILY_APPLIES] [FIX_AVAILABLE],Medium,[OPEN] isolation mode unknown,Security/performance acceptance required; version alone may not enable isolation,AMD-SB-6010
