file_id,component_id,repository,commit,path,git_blob,evidence_kind,declared_license,concluded_license,claim_label,capture_path,promotion_status,reviewer_action
f-001,"rocmfpx-a5605a7,rocmfpx-61f2f2d",charlie12345/ROCmFPX,a5605a7 and 61f2f2d,LICENSE,e7dca554bcb802f98408383a864404e3aa4eacca,full license text,MIT,MIT for repository assertion,PRIMARY-REPO-LICENSE-TEXT,raw/github/ROCmFPX/LICENSE.blob-e7dca554bcb802f98408383a864404e3aa4eacca.txt,CANDIDATE-WITH-NOTICE,Do not use as a substitute for exception scan.
f-002,"rocmfpx-a5605a7,rocmfpx-61f2f2d",charlie12345/ROCmFPX,a5605a7 and 61f2f2d,THIRD_PARTY_NOTICES.md,4b2f877fe5011ac7eca70b5409a1cb7b032109ea,notice register,MIT components listed,Incomplete notice inventory,PRIMARY-FILE-NOTICE,raw/github/ROCmFPX/THIRD_PARTY_NOTICES.blob-4b2f877fe5011ac7eca70b5409a1cb7b032109ea.md,RETAIN-AND-SUPPLEMENT,Add backend exceptions and exact release dependencies.
f-003,"rocmfpx-a5605a7,rocmfpx-61f2f2d",charlie12345/ROCmFPX,a5605a7 and 61f2f2d,README.md,2a446c96ecb2bf7fc8510c09c325141bd0152061,repository provenance assertion,MIT credit to llama.cpp,Repository assertion only,PRIMARY-REPOSITORY-ASSERTION,raw/github/ROCmFPX/README.blob-2a446c96ecb2bf7fc8510c09c325141bd0152061.md,REFERENCE-EVIDENCE,Verify specific donor files against history.
f-004,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,docs/UPSTREAM-ATTRIBUTION.md,1870f3bbdb04432b0ec56d2d74a2fe2895d3cdfc,maintainer attribution register,n/a,"Provenance assertion, not independent conclusion",PRIMARY-UPSTREAM-ATTRIBUTION-ASSERTION,raw/github/ROCmFPX/UPSTREAM-ATTRIBUTION.blob-1870f3bbdb04432b0ec56d2d74a2fe2895d3cdfc.capture.md,REFERENCE-EVIDENCE,Trace every cited commit and compare proposed files.
f-005,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,vendor/cpp-httplib/LICENSE,3e5ed359a2bb16f52c383745c25f14bb7a81c9e4,bundled license text,MIT,MIT,PRIMARY-REPO-LICENSE-TEXT,not byte-captured; exact blob recorded,CANDIDATE-WITH-NOTICE,Include copyright and text.
f-006,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,licenses/LICENSE-jsonhpp,b5a10275c1cdff6d2d1b4d84f51922d42499dec5,bundled license text,MIT,MIT,PRIMARY-REPO-LICENSE-TEXT,not byte-captured; exact blob recorded,CANDIDATE-WITH-NOTICE,Include copyright and text.
f-007,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,gguf-py/LICENSE,76f67efdc6470081b512a8db5bf2b1d4962d9c3c,bundled license text,MIT,MIT,PRIMARY-REPO-LICENSE-TEXT,not byte-captured; exact blob recorded,CANDIDATE-WITH-NOTICE,Include copyright and text.
f-008,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,ggml/src/ggml-sycl/common.cpp,ae08abad81bb8cbeffea19a90afa189f648653aa,file SPDX and embedded notice,MIT and Apache-2.0 WITH LLVM-exception sections,Mixed within file,PRIMARY-FILE-SPDX,raw/github/ROCmFPX/file-level-exceptions.capture.md,CANDIDATE-WITH-EXCEPTION-NOTICE,Preserve applicable notices/exception text; inspect full file boundaries.
f-009,"rocmfpx-61f2f2d,cachyllama-6be7459",both,exact commits,ggml/src/ggml-cpu/kleidiai/kleidiai.h,38eac58f7c207ded2a74db705c75f92e6e6eb66c,file header,MIT,MIT,PRIMARY-FILE-SPDX,raw/github/ROCmFPX/file-level-exceptions.capture.md,CANDIDATE-WITH-NOTICE,Preserve Arm copyright.
f-010,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d...,ggml/src/ggml-openvino/openvino/frontend.h,f1c6f0c3e3ce3eaebb8afbcbc91a01b236778f1b,file SPDX,Apache-2.0,Apache-2.0,PRIMARY-FILE-SPDX,raw/github/ROCmFPX/file-level-exceptions.capture.md,CANDIDATE-WITH-APACHE-NOTICE,Include Apache text and any NOTICE if present upstream.
f-011,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d...,common/base64.hpp,563247a6e5f7dba837c07a509026d8b36e61387c,file dedication,Unlicense,Unlicense/public-domain dedication,PRIMARY-FILE-NOTICE,raw/github/ROCmFPX/file-level-exceptions.capture.md,CANDIDATE-WITH-TEXT,Retain dedication/Unlicense text.
f-012,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d...,examples/gguf-hash/deps/sha256/sha256.c,a7a87aeb20032c7f9e87491af927b9074037202a,file public-domain notice,Public domain,Public-domain notices as stated,PRIMARY-FILE-NOTICE,raw/github/ROCmFPX/file-level-exceptions.capture.md,CANDIDATE-WITH-NOTICE,Retain provenance notice.
f-013,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d...,ggml/src/ggml-hip/fattn-kv-batched.cu,0aa5ddb57f295df482ebbf4603641fc072b419b3,unheadered added source,Root MIT assertion only,NOASSERTION pending origin/history review,UNRESOLVED-ORIGIN,raw/github/ROCmFPX/61f-delta-new-HIP-files.capture.md,HUMAN-REVIEW-REQUIRED,Trace authorship/source; add accurate SPDX only after confirmation.
f-014,rocmfpx-61f2f2d,charlie12345/ROCmFPX,61f2f2d...,ggml/src/ggml-hip/fattn-vec-turbo-mixed.cu,5bb0577b1a2b0154b7bde487dc5b7fd21ff2ee78,unheadered added source,Root MIT assertion only,NOASSERTION pending origin/history review,UNRESOLVED-ORIGIN,raw/github/ROCmFPX/61f-delta-new-HIP-files.capture.md,HUMAN-REVIEW-REQUIRED,Trace authorship/source; add accurate SPDX only after confirmation.
f-015,cachyllama-6be7459,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,LICENSE,e7dca554bcb802f98408383a864404e3aa4eacca,full license text,MIT,MIT repository assertion,PRIMARY-REPO-LICENSE-TEXT,raw/github/CachyLLama/LICENSE.blob-e7dca554bcb802f98408383a864404e3aa4eacca.txt,CANDIDATE-WITH-GENERATED-NOTICE,Full-tree exception scan required.
f-016,cachyllama-6be7459,fewtarius/CachyLLama,6be745...,README.md,2a19230f301821314d4b061a1ae9dfd00c0254e1,repository assertion,"MIT, additions same unless noted",Repository assertion only,PRIMARY-REPOSITORY-ASSERTION,raw/github/CachyLLama/README.blob-2a19230f301821314d4b061a1ae9dfd00c0254e1.md,REFERENCE-EVIDENCE,Do not infer absence of exceptions.
f-017,cachyllama-6be7459,fewtarius/CachyLLama,6be745...,THIRD_PARTY_NOTICES.md,ABSENT,absence at exact path,n/a,Notice gap,UNRESOLVED-NOTICE-GAP,raw/github/CachyLLama/file-level-exceptions.capture.md,GENERATE-BEFORE-RELEASE,Create notice inventory from exact tree and upstream sources.
f-018,cachyllama-6be7459,fewtarius/CachyLLama,6be745...,ggml/src/ggml-sycl/common.cpp,e1b6db13eb41575a57a1c60b3ed1a2a42bef3afd,file SPDX and embedded notice,MIT and Apache-2.0 WITH LLVM-exception sections,Mixed within file,PRIMARY-FILE-SPDX,raw/github/CachyLLama/file-level-exceptions.capture.md,CANDIDATE-WITH-EXCEPTION-NOTICE,Preserve notices and exception text.
f-019,cachyllama-6be7459,fewtarius/CachyLLama,6be745...,ggml/src/ggml-openvino/openvino/frontend.h,72134a3e8cf2980729fbb0d73c71c5160af4dc30,file SPDX,Apache-2.0,Apache-2.0,PRIMARY-FILE-SPDX,raw/github/CachyLLama/file-level-exceptions.capture.md,CANDIDATE-WITH-APACHE-NOTICE,Include Apache text and upstream notice if applicable.
f-020,llama-ai-code-1017f3d,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,LICENSE,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7,full license text,GPL-3.0,GPL-3.0-or-later scope asserted by README/SPDX headers,PRIMARY-REPO-LICENSE-TEXT,raw/github/llama-ai/LICENSE.blob-f288702d2fa16d3cdf0035b15a9fcbc552cd88e7.txt,GPL-RELEASE-MODEL-HUMAN-DECISION,Determine exact covered work and corresponding-source delivery.
f-021,"llama-ai-code-1017f3d,llama-ai-docs-1017f3d",fewtarius/llama-ai,1017f3d...,README.md,cb8f9dee239db6df865ee08d0b7008eb5f8b71be,scope statement,GPL-3.0-or-later code; CC-BY-NC-SA-4.0 documentation,Separate code/documentation scopes asserted,PRIMARY-REPOSITORY-ASSERTION,raw/github/llama-ai/README.blob-cb8f9dee239db6df865ee08d0b7008eb5f8b71be.md,SPLIT-SCOPE,Classify each proposed file; do not merge terms.
f-022,llama-ai-gitlink-cachyllama,fewtarius/llama-ai,1017f3d...,.gitmodules,c73a9ad6ca6261b42aea9c2d5107fd24298066bb,submodule config,none,Technical repository boundary only,PRIMARY-GITLINK-CONFIG,raw/github/llama-ai/.gitmodules.blob-c73a9ad6ca6261b42aea9c2d5107fd24298066bb,SEPARATE-COMPONENT-RECORD-REQUIRED,Package child source/license separately and map binary interaction.
f-023,llama-ai-code-1017f3d,fewtarius/llama-ai,1017f3d...,llama-run.sh,3684a299361b3ca45ff57656a43073f8b9629047,file SPDX,GPL-3.0-or-later,GPL-3.0-or-later,PRIMARY-FILE-SPDX,raw/github/llama-ai/gpl-file-headers.capture.md,GPL-SOURCE-OR-CORRESPONDING-SOURCE,Retain SPDX/copyright; include modified-source notices if changed.
