unresolved_id,subject,category,reason,blocking_status,required_evidence
U-001,Exact locally proposed twelve-package tree,scope,Not provided and expressly out of scope,BLOCKED,"Full file inventory, hashes, symlinks, submodules, generated files, binaries, package metadata."
U-002,ROCmFPX newly added HIP files,origin/SPDX,No file header; only root MIT assertion,HUMAN-REVIEW,"git history, author/source statement, donor comparison, accurate SPDX/copyright."
U-003,ROCmFPX full file-license exceptions,license inventory,Representative exceptions found; no complete scan performed,BLOCKED FOR RELEASE,Exact-tree ScanCode/ORT/FOSSology or equivalent plus human review.
U-004,CachyLLama third-party notices,notice gap,No root notice file; mixed backend licenses found,BLOCKED FOR BINARY RELEASE,"Complete exception inventory, license texts, attribution/NOTICE."
U-005,llama-ai exact documentation scope,separate license scope,README labels documentation CC-BY-NC-SA but per-file map not exhaustive,HUMAN-REVIEW,File-by-file docs classification and intended commercial/noncommercial distribution decision.
U-006,GPL covered-work/aggregate determination,release model,"Depends on exact packaging, linking, scripts, interfaces, and distribution",HUMAN LEGAL DECISION,"Binary composition, dynamic/static links, process boundaries, source delivery plan."
U-007,Corresponding Source completeness,GPL release evidence,No concrete binary/source release supplied,BLOCKED,"Build scripts, interface definitions, modified sources, dependency sources as applicable, installation information analysis."
U-008,Qwen3-0.6B Q4_K_M fixture bytes,model/quantization,Local filename does not identify quantizer repository/revision,BLOCKED,"Publisher and quantizer, exact repo commit, model card/license, file SHA256, notices, chain from base model."
U-009,DeepSeek-V4-Flash-180B fixture,model,Current official V4-Flash card is 284B; local 180B path unresolved,BLOCKED,"Exact artifact identity, publisher, revision, license, file hashes, transformation chain."
U-010,Tencent Hy3 chat template,template,Checked-in template lacks source revision/header; Hy3 licensing changed across versions,REFERENCE ONLY,"Exact tokenizer_config revision, source license, extracted-value hash, generator hash."
U-011,Tokenizer snapshots and ggml-vocab fixtures,tokenizer/generated data,External source revisions and licenses not captured,BLOCKED,"Repo revision, all source file hashes/licenses, conversion command/tool version, output hashes."
U-012,Project Gutenberg cached text,test corpus,Script does not pin served bytes or bundle terms/jurisdiction record,REFERENCE OR REACQUIRE,"Exact bytes/hash, edition metadata, terms capture, trademark handling, jurisdiction approval."
U-013,Web UI full transitive dependency inventory,Web UI/SBOM,Direct dependencies extracted; complete transitive license texts/notice review not performed,BLOCKED FOR EMBEDDED BUNDLE,"npm-ci exact install, full CycloneDX/SPDX, package tarball integrities, license files, bundle composition."
U-014,Web UI mutable bucket latest artifacts,generated binaries,Mutable source and optional checksum handling; no notice acquisition,BLOCKED,"Immutable revision/URL, exact hashes, source correspondence, notices, builder provenance."
U-015,Web UI authored fixture content,test content,ai-tutorial.ts is substantial authored-looking content without source header,HUMAN-REVIEW,"Origin, author permission, repository history, applicable license."
U-016,ROCm SDK/toolchains/runtime packages,distribution dependencies,Per-component/package licenses not captured,BLOCKED IF DISTRIBUTED,"Exact package names/versions/files, installed license texts, shared-library mapping, SBOM."
U-017,Generated source/header/binary mapping,source-to-binary,No concrete release artifacts supplied,BLOCKED,"Compiler/linker commands, object/archive map, embedded asset map, hashes, reproducible build/provenance."
U-018,Clean-room role separation,process,No human roles/access records supplied,HUMAN DECISION,"Approved protocol, role assignments, access logs, dated requirements, independent implementation records."
