source_id,claim_id
S001,C001
S001,C002
S002,C002
S005,C002
S003,C003
S004,C003
S003,C004
S004,C004
S011,C004
S012,C004
S006,C005
S007,C005
S005,C006
S008,C006
S009,C006
S005,C007
S009,C007
S005,C008
S009,C008
S005,C009
S009,C009
S005,C010
S005,C011
S005,C012
S005,C013
S005,C014
S005,C015
S005,C016
S005,C017
S005,C018
S005,C019
S005,C020
S005,C021
S005,C022
S005,C023
S013,C023
S013,C024
S013,C025
S005,C026
S005,C027
S005,C028
S005,C029
S005,C030
S005,C031
S021,C031
S023,C031
S031,C031
S010,C032
S012,C032
S014,C033
S014,C034
S014,C035
S005,C036
S014,C036
S014,C037
S014,C038
S014,C039
S014,C040
S014,C041
S015,C042
S016,C042
S017,C042
S015,C043
S016,C043
S019,C043
S015,C044
S017,C044
S015,C045
S017,C045
S015,C046
S016,C046
S016,C047
S019,C047
S016,C048
S019,C048
S016,C049
S019,C049
S017,C050
S017,C051
S015,C052
S018,C052
S019,C053
S020,C054
S021,C055
S021,C056
S022,C057
S024,C058
S023,C059
S025,C060
S026,C060
S029,C061
S025,C062
S026,C062
S028,C062
S029,C062
S027,C063
S001,C063
S025,C064
S026,C064
S027,C064
S029,C064
S005,C065
S014,C065
S021,C065
S024,C065
S001,C066
S002,C067
S005,C067
S013,C067
S025,C068
S026,C068
S028,C068
S029,C068
S030,C069
S013,C069
S005,C070
S021,C070
S022,C070
S024,C070
S031,C070
