source_id,authority,title,url,access_date,source_type,capture_path,applicability,confidence,reuse
OEM-NIMO-SUPPORT-AI395,NIMO official support,Nimo AI 395 Minipc Manual & Driver Downloads,https://support.nimopc.com/hc/en-us/articles/55128906923033-Nimo-AI-395-Minipc-Manual-Driver-Downloads,2026-07-18,Official OEM support article,01_oem_nimo/sources/OEM-NIMO-SUPPORT-AI395.md,[FAMILY_APPLIES],High for page contents; Low for exact MME3L/board-v1.0 mapping,NIMO page content; no affirmative reuse license located. Store this normalized factual extract with attribution and source URL.
OEM-NIMO-PRODUCT-AI395,NIMO official product page,NIMO AMD Ryzen AI MAX+ 395 Mini PC product page,https://www.nimopc.com/products/nimos-smallest-office-gaming-ai-pc-amd-ryzen-ai-max-395-up-to-5-1-ghz-128gb-lpddr5-8000mhz-16gb-8-2tb-4tb-ssd-with-3-performance-modes-up-to-120w,2026-07-18,Official OEM product page,01_oem_nimo/sources/OEM-NIMO-PRODUCT-AI395.md,[FAMILY_APPLIES],Medium,NIMO page content; no affirmative reuse license located. Normalized factual extract only.
AMD-PSIRT-SCOPE,AMD Product Security,AMD Product Security bulletin scope and disclosure boundary,https://www.amd.com/en/resources/product-security.html,2026-07-18,Official vendor security program page and bulletin disclaimer,02_amd_product_security/sources/AMD-PSIRT-SCOPE.md,[OFFICIAL] [DISCLOSURE_LIMITED],High,Copyright AMD. No license grant inferred; short factual summary and identifiers retained for security tracking.
AMD-SB-7033,AMD Product Security,AMD-SB-7033 — CPU Microcode Signature Verification Vulnerability,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-7033.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-7033.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-4013,AMD Product Security,"AMD-SB-4013 — AMD Athlon and Ryzen Processor Vulnerabilities, February 2026",https://www.amd.com/en/resources/product-security/bulletin/amd-sb-4013.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-4013.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-4017,AMD Product Security,"AMD-SB-4017 — Ryzen Processor Vulnerabilities, May 2026",https://www.amd.com/en/resources/product-security/bulletin/amd-sb-4017.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-4017.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-7048,AMD Product Security,AMD-SB-7048 — Phoenix: Rowhammer Attacks on DDR5 Memory,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-7048.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-7048.md,[EXPLICITLY_APPLIES],High for affected-family listing; Medium for mitigation package,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-7054,AMD Product Security,AMD-SB-7054 — Incorrect EFI LocateProtocol use in SMI handler,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-7054.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-7054.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-7055,AMD Product Security,AMD-SB-7055 — RDSEED Failure on AMD Zen 5 Processors,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-7055.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-7055.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High,Copyright AMD; normalized factual extract. No reuse license grant inferred.
AMD-SB-4015,AMD Product Security,AMD-SB-4015 — AMD Chipset Driver Vulnerabilities,https://www.amd.com/en/resources/product-security/bulletin/amd-sb-4015.html,2026-07-18,Official security bulletin,02_amd_product_security/sources/AMD-SB-4015.md,[EXPLICITLY_APPLIES] [FIX_AVAILABLE],High for Windows driver scope,Copyright AMD; normalized factual extract. No reuse license grant inferred.
