CAPTURE_TYPE: normalized rendered model-card option table
CLAIM_LABEL: [CONVERTER]
ACCESS_DATE: 2026-07-18
REPOSITORY: unsloth/DeepSeek-V3.1-GGUF
REVISION: f69aacf1ee1e4f66737daebc7e71fa527dfda1bd
IMMUTABLE_URL: https://huggingface.co/unsloth/DeepSeek-V3.1-GGUF/blob/f69aacf1ee1e4f66737daebc7e71fa527dfda1bd/README.md
SIZE_SEMANTICS: rounded converter UI values; not exact bytes
SELECTED: UD-IQ2_XXS

QUANTIZATION	DISPLAY_SIZE	SELECTED
UD-IQ1_S	192 GB	FALSE
UD-TQ1_0	170 GB	FALSE
UD-IQ1_M	207 GB	FALSE
UD-IQ2_XXS	226 GB	TRUE
Q2_K	246 GB	FALSE
UD-IQ2_M	236 GB	FALSE
Q2_K_L	246 GB	FALSE
UD-Q2_K_XL	256 GB	FALSE
UD-IQ3_XXS	280 GB	FALSE
Q3_K_S	290 GB	FALSE
Q3_K_M	320 GB	FALSE
UD-Q3_K_XL	300 GB	FALSE
IQ4_XS	358 GB	FALSE
Q4_K_S	381 GB	FALSE
IQ4_NL	379 GB	FALSE
Q4_0	380 GB	FALSE
Q4_1	421 GB	FALSE
Q4_K_M	405 GB	FALSE
UD-Q4_K_XL	387 GB	FALSE
Q5_K_S	463 GB	FALSE
Q5_K_M	476 GB	FALSE
UD-Q5_K_XL	485 GB	FALSE
Q6_K	551 GB	FALSE
UD-Q6_K_XL	574 GB	FALSE
Q8_0	713 GB	FALSE
UD-Q8_K_XL	781 GB	FALSE
BF16	1.34 TB	FALSE

NOTE: Availability in the converter repository is not evidence of target-machine loadability, operator correctness, quality, or performance.
