section_id,category_id,category_title,title,target_path,focus
01,01,Wiki Governance,"Wiki Architecture, Navigation, and Root Manifest",01_Wiki_Governance/01_Wiki_Architecture_Navigation_and_Root_Manifest,"Define the complete wiki information architecture, directory tree, root index, stable section IDs, cross-linking rules, ownership fields, status fields, archive policy, and how Codex should discover authoritative material. Include a proposed root manifest schema and rules that prevent duplicate or contradictory pages."
02,01,Wiki Governance,"Evidence, Citation, and Source Policy",01_Wiki_Governance/02_Evidence_Citation_and_Source_Policy,"Specify the evidence hierarchy for source code, official documentation, standards, research papers, issue threads, benchmarks, and community reports. Define claim-level citations, access dates, commit hashes, version applicability, quotation limits, confidence labels, source deprecation, and how to handle conflicting sources."
03,01,Wiki Governance,"Glossary, Naming, and Stable Identifiers",01_Wiki_Governance/03_Glossary_Naming_and_Stable_Identifiers,"Create the controlled vocabulary for HaloFPX, ROCmFPX, CachyLLama, llama-ai, llama.cpp, ranks, nodes, execution modes, caches, transports, model formats, performance metrics, and hardware components. Define naming conventions, abbreviations, aliases, filename rules, and stable identifiers used across code, logs, manifests, tests, and wiki pages."
04,01,Wiki Governance,"Assumption, Open-Question, and Decision Ledgers",01_Wiki_Governance/04_Assumption_Open_Question_and_Decision_Ledgers,"Design the ledgers for project assumptions, unresolved questions, research tasks, decisions, rejected alternatives, and superseded conclusions. Define fields for owner, confidence, evidence, impact, due condition, validation method, status, and links to ADRs, experiments, issues, and affected wiki sections."
05,01,Wiki Governance,Research Data and Benchmark Artifact Conventions,01_Wiki_Governance/05_Research_Data_and_Benchmark_Artifact_Conventions,"Define how raw measurements, processed results, plots, logs, environment snapshots, commands, prompts, model hashes, and experiment metadata are stored. Establish schemas, units, naming, checksums, provenance, retention, comparison rules, and requirements for reproducibility without committing impractically large artifacts."
06,02,Project Definition,"Project Charter, Vision, and Intended Outcomes",02_Project_Definition/06_Project_Charter_Vision_and_Intended_Outcomes,"Document the product vision for the fastest practical local inference stack on two AMD Strix Halo machines, the problem statement, strategic rationale, intended users, expected outcomes, constraints, sponsorship assumptions, and measurable definitions of project success."
07,02,Project Definition,"Users, Workloads, Personas, and Use Cases",02_Project_Definition/07_Users_Workloads_Personas_and_Use_Cases,"Characterize target users and real workloads: interactive chat, coding agents, tool-calling agents, long-lived conversations, long-context retrieval, batch jobs, multi-user service, model experimentation, and offline operation. Capture prompt length, turn count, concurrency, latency sensitivity, durability needs, privacy needs, and model mix."
08,02,Project Definition,"Scope, Non-Goals, Boundaries, and External Dependencies",02_Project_Definition/08_Scope_Non_Goals_Boundaries_and_External_Dependencies,"Define included capabilities, explicit non-goals, operating-system scope, hardware scope, supported deployment shapes, upstream dependencies, optional features, prohibited assumptions, and boundaries between HaloFPX, llama.cpp, ROCmFPX, the kernel, model tooling, storage, and client applications."
09,02,Project Definition,"Functional Requirements, SLOs, and Acceptance Criteria",02_Project_Definition/09_Functional_Requirements_SLOs_and_Acceptance_Criteria,"Produce a numbered requirements catalog covering APIs, models, execution modes, caching, recovery, observability, installation, security, compatibility, and administration. Define measurable SLOs for TTFT, inter-token latency, throughput, startup, cache restore, availability, and degradation, with testable acceptance criteria."
10,02,Project Definition,Architecture Principles and Tradeoff Framework,02_Project_Definition/10_Architecture_Principles_and_Tradeoff_Framework,"Define the principles used to make engineering decisions: measurement before optimization, correctness before speed, rank-local state, graceful fallback, explicit compatibility, reproducibility, minimal token-path work, upstreamability, and model-specific tuning. Provide a decision framework for latency, throughput, capacity, complexity, reliability, and maintenance tradeoffs."
