CAPTURE_TYPE: normalized rendered model-card option table
CLAIM_LABEL: [CONVERTER]
ACCESS_DATE: 2026-07-18
REPOSITORY: unsloth/DeepSeek-R1-GGUF
REVISION: 4dab99fdb3fea560e5a402b49c6ef11e025321a8
IMMUTABLE_URL: https://huggingface.co/unsloth/DeepSeek-R1-GGUF/blob/4dab99fdb3fea560e5a402b49c6ef11e025321a8/README.md
SIZE_SEMANTICS: rounded converter UI values; not exact bytes
SELECTED: Q2_K_XS

QUANTIZATION	DISPLAY_SIZE	SELECTED
UD-IQ1_S	140 GB	FALSE
UD-IQ1_M	169 GB	FALSE
UD-IQ2_XXS	196 GB	FALSE
Q2_K_XS	221 GB	TRUE
Q2_K	244 GB	FALSE
Q2_K_L	244 GB	FALSE
UD-Q2_K_XL	227 GB	FALSE
Q3_K_M	319 GB	FALSE
Q4_K_M	404 GB	FALSE
Q5_K_M	475 GB	FALSE
Q6_K	551 GB	FALSE
Q8_0	713 GB	FALSE
BF16	1.34 TB	FALSE

NOTE: Availability in the converter repository is not evidence of target-machine loadability, operator correctness, quality, or performance.
