claim_id,source_id
CLM-DECISION-001,SRC-SECURITY-POLICY
CLM-DECISION-001,SRC-ROCM-RELEASE-WORKFLOW
CLM-DECISION-001,SRC-ROCM-SERVER-HTTP
CLM-SOURCE-001,SRC-LLAMA-SEC-LIST
CLM-SOURCE-001,SRC-BLOB-GGUF-ROCM
CLM-SOURCE-001,SRC-BLOB-RPC-ROCM
CLM-SOURCE-001,SRC-BLOB-VOCAB-ROCM
CLM-RPC-001,SRC-SECURITY-POLICY
CLM-RPC-002,SRC-ROCM-RELEASE-WORKFLOW
CLM-RPC-002,SRC-ROCM-GGML-CMAKE
CLM-RPC-002,SRC-ROCM-TOOLS-CMAKE
CLM-HTTP-001,SRC-ROCM-COMMON-H
CLM-HTTP-001,SRC-ROCM-SERVER-HTTP
CLM-STATE-001,SRC-ROCM-LLAMA-CONTEXT
CLM-STATE-001,SRC-ROCM-SERVER-CONTEXT
CLM-STATE-001,SRC-ROCM-COMMON-CPP
CLM-BINARY-001,SRC-SNAP-DEPLOYED-SOURCE
CLM-LLAMAAI-001,SRC-SNAP-LLAMA-AI
CLM-LLAMAAI-001,SRC-SNAP-CACHY
CLM-DEPS-001,SRC-CPP-SEC-LIST
CLM-DEPS-001,SRC-ROCM-VENDOR-SYNC
CLM-DEPS-002,SRC-CPP-SEC-LIST
CLM-LLAMA-ADV-01,SRC-LLAMA-GHSA-3P4R
CLM-LLAMA-ADV-01,SRC-COMMIT-418DEA
CLM-LLAMA-ADV-01,SRC-BLOB-GGUF-ROCM
CLM-LLAMA-ADV-01,SRC-BLOB-GGUF-UPSTREAM
CLM-LLAMA-ADV-01,SRC-BLOB-GGUF-CACHY
CLM-LLAMA-ADV-02,SRC-LLAMA-GHSA-J8RJ
CLM-LLAMA-ADV-02,SRC-COMMIT-39BF
CLM-LLAMA-ADV-02,SRC-COMMIT-BA38
CLM-LLAMA-ADV-02,SRC-BLOB-RPC-ROCM
CLM-LLAMA-ADV-02,SRC-BLOB-RPC-UPSTREAM
CLM-LLAMA-ADV-02,SRC-SECURITY-POLICY
CLM-LLAMA-ADV-03,SRC-LLAMA-GHSA-96JG
CLM-LLAMA-ADV-03,SRC-COMMIT-4E5B
CLM-LLAMA-ADV-03,SRC-BLOB-GGUF-ROCM
CLM-LLAMA-ADV-03,SRC-BLOB-GGUF-UPSTREAM
CLM-LLAMA-ADV-04,SRC-LLAMA-GHSA-8947
CLM-LLAMA-ADV-04,SRC-COMMIT-C78F
CLM-LLAMA-ADV-04,SRC-BLOB-SERVER-TASK-ROCM
CLM-LLAMA-ADV-04,SRC-LAUNCHER-ROCM
CLM-LLAMA-ADV-05,SRC-LLAMA-GHSA-VGG9
CLM-LLAMA-ADV-05,SRC-COMMIT-26A48
CLM-LLAMA-ADV-05,SRC-BLOB-GGUF-ROCM
CLM-LLAMA-ADV-06,SRC-LLAMA-GHSA-7RXV
CLM-LLAMA-ADV-06,SRC-COMMIT-DD6E
CLM-LLAMA-ADV-06,SRC-BLOB-VOCAB-ROCM
CLM-LLAMA-ADV-06,SRC-BLOB-VOCAB-UPSTREAM
CLM-LLAMA-ADV-06,SRC-BLOB-VOCAB-DEPLOYED
CLM-LLAMA-ADV-07,SRC-LLAMA-GHSA-G4CC
CLM-LLAMA-ADV-07,SRC-COMMIT-C33F
CLM-LLAMA-ADV-07,SRC-BLOB-VOCAB-ROCM
CLM-LLAMA-ADV-08,SRC-LLAMA-GHSA-8WWF
CLM-LLAMA-ADV-08,SRC-COMMIT-3CFB
CLM-LLAMA-ADV-08,SRC-COMMIT-FB85
CLM-LLAMA-ADV-08,SRC-BLOB-VOCAB-ROCM
CLM-LLAMA-ADV-09,SRC-LLAMA-GHSA-WCR5
CLM-LLAMA-ADV-09,SRC-COMMIT-B729
CLM-LLAMA-ADV-09,SRC-BLOB-RPC-ROCM
CLM-LLAMA-ADV-10,SRC-LLAMA-GHSA-5VM9
CLM-LLAMA-ADV-10,SRC-COMMIT-B729
CLM-LLAMA-ADV-10,SRC-BLOB-RPC-ROCM
CLM-LLAMA-ADV-11,SRC-LLAMA-GHSA-MQP6
CLM-LLAMA-ADV-11,SRC-COMMIT-B729
CLM-LLAMA-ADV-11,SRC-COMMIT-2BCD
