id,title,kind,authority,version,date,accessed,url,license,access,capture,capture_sha256,capture_size
S001,Kernel.org current release index,release-index,Linux Kernel Archives,mainline 7.2-rc3; stable 7.1.3,2026-07-12 / 2026-07-04,2026-07-18,https://www.kernel.org/,Website terms; release artifacts GPL-2.0-only,public,raw/kernel/release-index.txt,721928e6ad965fe4b4b5eaf5b8e99b9329e0dce823032e041d2885323adfc39a,198
S002,Linux v7.2-rc3 tag metadata,git-tag,torvalds/linux,tag object 1137d8b5df06137fb49513cc923b3b24d94cb809; commit a13c140cc289c0b7b3770bce5b3ad42ab35074aa,2026-07-12,2026-07-18,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tag/?h=v7.2-rc3,GPL-2.0-only source tree,public,raw/kernel/v7.2-rc3/tag-metadata.txt,af47bb76b7ed667cd462e536d97632beb7183f9257dbaae5cb9432b5ac1b52fe,163
S003,Thunderbolt v7.2 signed subsystem tag,git-tag,westeri/thunderbolt,tag aa1565cc3d6aa4bd75fce5dcf9338d763906c077; target c1bef05763c94ae284ee2881c03bf0753f8d213a,2026-06-11,2026-07-18,https://kernel.googlesource.com/pub/scm/linux/kernel/git/westeri/thunderbolt/+/refs/tags/thunderbolt-for-v7.2-rc1,GPL-2.0-only source tree,public,raw/kernel/v7.2-rc3/thunderbolt-signed-tag.txt,a95820e3a9689456ea397b63890975b4228f2840f9bee094db92ca78b91960c2,437
S004,Linus USB 7.2 merge commit,git-commit,torvalds/linux,364f4a55c661641c02c86a849f0608d8fc3c0006; merged usb-7.2-rc1 tip 1c2b66a7d7257d2652aa41f9a860ecb96dde27dd,2026-06-22,2026-07-18,https://kernel.googlesource.com/pub/scm/linux/kernel/git/gregkh/char-misc/+/364f4a55c661641c02c86a849f0608d8fc3c0006,GPL-2.0-only source tree,public,raw/kernel/v7.2-rc3/usb-merge.txt,ee33c9250657dc1229d32170c6b3dcd139e97b5bc035cfe30d7bfb2fd17ee93d,337
S005,USB4STREAM implementation source,source-file,torvalds/linux,v7.2-rc3 blob c1f5c55583d069c811d25df95f4e90136255d585,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/drivers/thunderbolt/stream.c,GPL-2.0,public,raw/kernel/v7.2-rc3/drivers-thunderbolt-stream.c,191a6d7d1df9b5a85052c28fa64f2d6792810825fe3be2b5cca1afc75efebdc8,42591
S006,USB4/USB4STREAM Kconfig,source-file,torvalds/linux,v7.2-rc3-equivalent blob 294b3227a54582536433cbb391057b99bb9df352,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/drivers/thunderbolt/Kconfig,GPL-2.0-only,public,raw/kernel/v7.2-rc3/drivers-thunderbolt-Kconfig,e9217e080dd7e3ec3f33a0225d6134581de9a2c2fd4799527c7cba6dc4dc7004,2642
S007,Thunderbolt module Makefile,source-file,torvalds/linux,v7.2-rc3-equivalent blob beb054c3126b1445d26b4c14de039d23367a5100,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/drivers/thunderbolt/Makefile,GPL-2.0-only,public,raw/kernel/v7.2-rc3/drivers-thunderbolt-Makefile,1d60c749300e1fa36cd4079eb47171208c4b73fcb7924386dfd0f23fd42a6305,773
S008,Thunderbolt ConfigFS support,source-file,torvalds/linux,v7.2-rc3-equivalent blob dc6bc363dfe8052d7f94c6e3dca3efe9fe9771be,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/drivers/thunderbolt/configfs.c,GPL-2.0,public,raw/kernel/v7.2-rc3/drivers-thunderbolt-configfs.c,9fed531a2746927b980a780bd08e5862d61af96363fef0bd7594506404a315b0,1410
S009,USB4STREAM ConfigFS ABI documentation,abi-documentation,torvalds/linux,v7.2 source; new-file blob 7abc6b7…,metadata says Sep 2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/Documentation/ABI/testing/configfs-thunderbolt_stream,GPL-2.0-only documentation tree,public,raw/kernel/v7.2-rc3/configfs-thunderbolt_stream.txt,a247b729a21509c2776bd12d89198df9d6cf6398f1a9b26374d473c30cf5a007,684
S010,Thunderbolt administrator guide — USB4STREAM section,documentation,torvalds/linux,v7.2-rc3,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/Documentation/admin-guide/thunderbolt.rst,GPL-2.0-only documentation tree,public,raw/kernel/v7.2-rc3/admin-guide-thunderbolt-usb4stream.txt,98593603185edc1d8429748131c9b0c435bd8edac519482d7c0077117e9aa08d,516
S011,USB4STREAM v1 cover letter,mailing-list,lore.kernel.org/linux-usb,Message-ID 20260428072209.3084930-1-mika.westerberg@linux.intel.com,2026-04-28,2026-07-18,https://lore.kernel.org/linux-usb/20260428072209.3084930-1-mika.westerberg@linux.intel.com/,mail author copyright; quoted/excerpted for research,public,raw/mail/usb4stream-v1-cover.txt,99977379c7246fe9efdffec398ff05b9650c21525125f7ce3e1b1a4094d6eed8,359
S012,USB4STREAM v2 cover letter,mailing-list,lore.kernel.org/linux-usb,Message-ID 20260511102744.1867485-1-mika.westerberg@linux.intel.com,2026-05-11,2026-07-18,https://lore.kernel.org/linux-usb/20260511102744.1867485-1-mika.westerberg@linux.intel.com/,mail author copyright; quoted/excerpted for research,public,raw/mail/usb4stream-v2-cover.txt,14bac45d9f10e24f759bca3bce1d4540adfb0d8f6755c64ff03cd9095523f05d,381
S013,USB4STREAM DMA unmap-size fix proposal and acceptance,mailing-list/patch,Patchew mirror of kernel mail,blob delta c1f5c55583d0..4cc86d8d6491; fixes branch head observed db79679595326fd3f6bd1e6fd0cefc3ba016039a,2026-06-11,2026-07-18,https://patchew.org/linux/BCAED571E6DC370E%2B20260611064530.3495292-1-raoxu%40uniontech.com/,GPL-2.0 patch; mail author copyright,public,raw/kernel/thunderbolt-fixes/unmap-mapped-size.patch,0c46c871839c0ab8d4240ebbf15ff8ecc38a1a02b1770f4c2e339b8d27e22e31,1063
S014,thunderbolt-net implementation source audit capture,source-excerpt,torvalds/linux,v7.2-rc3 blob 02a91650561ab1556d28c4945cae7f62a704b1f3,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/drivers/net/thunderbolt/main.c,GPL-2.0,public,raw/kernel/v7.2-rc3/thunderbolt-net-source-audit.txt,e6cd9f4138472dc9acaaf544c68c4c12627898fc87ca8e0e0b9c25d76bdbb9d5,1223
S015,MPTCP sysctl documentation,documentation,torvalds/linux,v7.2-rc3 blob b9b5f58e…,2026,2026-07-18,https://github.com/torvalds/linux/blob/v7.2-rc3/Documentation/networking/mptcp-sysctl.rst,GPL-2.0-only documentation tree,public,raw/kernel/v7.2-rc3/mptcp-sysctl.txt,dd96b931e16d9bc1bbedeb2054b7ea0b573b8361747b16c5d544b68f1707e54a,429
S016,MPTCP control defaults and close handling,source-excerpt,torvalds/linux,v7.2-rc3 net/mptcp/ctrl.c and protocol.c,2026,2026-07-18,https://github.com/torvalds/linux/tree/v7.2-rc3/net/mptcp,GPL-2.0-only,public,raw/kernel/v7.2-rc3/mptcp-control-source-audit.txt,db1f66dae0b236eff8c54c03a50453655525305b301036771939ef97e8a10e90,806
S017,MPTCP scheduler and stale-subflow source audit,source-excerpt,torvalds/linux,v7.2-rc3 net/mptcp/sched.c and protocol.c,2026,2026-07-18,https://github.com/torvalds/linux/tree/v7.2-rc3/net/mptcp,GPL-2.0-only,public,raw/kernel/v7.2-rc3/mptcp-scheduler-source-audit.txt,abe737f6cbad9d9989b4f4cee5c07d46464b56c86b4eacbf5674fe0fe900fbff,786
S018,MPTCP path-manager generic-netlink specification,uapi-documentation,Linux kernel documentation,mptcp_pm family,current at access,2026-07-18,https://docs.kernel.org/networking/netlink_spec/mptcp_pm.html,GPL-2.0-only documentation tree,public,raw/kernel/v7.2-rc3/mptcp-pm-netlink.txt,925345c6543f84c7c7fddd4fd18c00bad74b39835d78fe952d85b0cb81faf836,276
S019,RFC 8684 — TCP Extensions for Multipath Operation,standard,IETF,RFC 8684; obsoletes RFC 6824,2020-03,2026-07-18,https://www.rfc-editor.org/rfc/rfc8684.html,IETF Trust legal provisions,public,raw/specs/rfc8684-metadata.txt,a4c12093667311c60837c099396c54d3884875e5d0b9e0269de5b66cca66477d,327
S020,RFC 8684 verified technical erratum,erratum,RFC Editor,Errata ID 6609,verified,2026-07-18,https://www.rfc-editor.org/errata/eid6609,IETF Trust legal provisions,public,raw/specs/rfc8684-erratum-6609.txt,cc2a48ecfe29c37d1976a70f963468adc9a363764a3348b4c69b3510783f18af,203
S021,USB4 Specification v2.0 public download metadata,standard-metadata,USB-IF,USB4 Specification November 2025 package; page updated 2026-04-02,2025-11 / 2026-04-02,2026-07-18,https://www.usb.org/document-library/usb4r-specification-v20,USB-IF limited specification license; redistribution constraints,public-download-with-license,raw/specs/usb4-v2.0-metadata.txt,70f8583aed6d124251b66651d113292bb986f299d6de3a478f703e4f969fa0e0,446
S022,USB Type-C Cable and Connector Specification,standard-metadata,USB-IF,Release 2.5,2026-04-08,2026-07-18,https://www.usb.org/document-library/usb-type-cr-cable-and-connector-specification-release-25,USB-IF limited specification license; redistribution constraints,public-download-with-license,raw/specs/type-c-2.5-metadata.txt,48505a3c265728ab4241cf3a6218548c1b8d560370de5313e5106f33bb7d2147,310
S023,Windows USB4 connection-manager and USB4NET documentation,platform-documentation,Microsoft Learn,current at access,current at access,2026-07-18,https://learn.microsoft.com/windows-hardware/design/component-guidelines/usb4,Microsoft documentation terms,public,raw/specs/windows-usb4net.txt,13486c27864821e92b4eb6148ab4ad6f13194c1303b916aaefdddd44b86fcbc4,296
S024,PCI Express Base Specification public overview/access record,standard-metadata,PCI-SIG,PCI Express Base Specification Revision 7.0,2025-06-11,2026-07-18,https://pcisig.com/specifications,PCI-SIG member/license terms,member-only-normative,raw/specs/pcie-7.0-access-gap.txt,f7fd240184a4f01543c6d3df3f3351583350638adbbf9f52704cdf617162549d,315
S025,CachyOS linux-cachyos-rc package — x86_64_v3,package-record,CachyOS package repository,7.2.rc3-1; SHA256 8d65e3132b24f28120cabcae34103949676c46fdcde20542aa1e0f427b413554,built 2026-07-13 17:06,2026-07-18,https://packages.cachyos.org/package/cachyos-v3/x86_64_v3/linux-cachyos-rc,GPL-2.0-only,public,raw/distro/cachyos-linux-cachyos-rc-v3.txt,5ed88bfbbe1c17216a08d8a911be51fe25e5c439fc59ce35fcc64ff6e36eeec4,272
S026,CachyOS linux-cachyos-rc package — x86_64_v4,package-record,CachyOS package repository,7.2.rc3-1; SHA256 042a202c5508044e126b89268607016a39ccf6175038576e0d799228287e5774,built 2026-07-13 17:44,2026-07-18,https://packages.cachyos.org/package/cachyos-v4/x86_64_v4/linux-cachyos-rc,GPL-2.0-only,public,raw/distro/cachyos-linux-cachyos-rc-v4.txt,33a6b04bd76d3fb25e4d9c262f120628036eece2419de154a8c3d84579c04e6c,273
S027,CachyOS stable package record,package-record,CachyOS package repository,linux-cachyos 7.1.3-2; x86_64 SHA256 6c63efb0b639ab91ac3a69fc0efbf1303afac16c33e557073fe0806ee6430a47,built 2026-07-09,2026-07-18,https://packages.cachyos.org/package/cachyos/x86_64/linux-cachyos,GPL-2.0-only,public,raw/distro/cachyos-linux-cachyos-stable.txt,8dc9627c2282b2d01a54c6ac96e2d78297afc0fd1194e1ffb8bb1916933bc4bf,361
S028,CachyOS RC PKGBUILD moving snapshot,package-source,CachyOS/linux-cachyos,blob dd4c9a88224b44c3dadb47d7c4db52aeee10cc38; indexed repository commit 5aeec554010d57edf03e7cad83c174fd945da8b9,accessed snapshot,2026-07-18,https://github.com/CachyOS/linux-cachyos/blob/5aeec554010d57edf03e7cad83c174fd945da8b9/linux-cachyos-rc/PKGBUILD,GPL-2.0-only package recipe,public,raw/distro/cachyos-rc-pkgbuild-snapshot.txt,cd1e8ee9b93252a6cd5c29a07cc80b405820ff284b8d30d368ac277c2d70938d,456
S029,CachyOS RC kernel config symbol evidence,package-config,CachyOS/linux-cachyos,config blob 69d62dfb8752dfc550e3e31011acd05bda1ae039 at repository commit 5aeec554010d57edf03e7cad83c174fd945da8b9,accessed snapshot,2026-07-18,https://github.com/CachyOS/linux-cachyos/blob/5aeec554010d57edf03e7cad83c174fd945da8b9/linux-cachyos-rc/config,GPL-2.0-only configuration,public,raw/distro/cachyos-rc-config-symbols.txt,3034f5bd582c77f8a4bf2aa70a17ce4bcdab81f58d78cfe5856024fb99e42e7d,406
S030,linux-next integration record,integration-tree,linux-next,next-20260717,2026-07-17,2026-07-18,https://git.kernel.org/pub/scm/linux/kernel/git/next/linux-next.git/,GPL-2.0-only source tree,public,raw/kernel/linux-next/next-20260717.txt,d00fdd2993d9eb4ea5d5155cecb4a6bf150dd370c0d126d8ee61a64eb96bc91f,254
S031,Public USB4 interoperability and compatibility material index,test-spec-metadata,USB-IF,USB4 interoperability procedures v1.06 (2025-10-09); Thunderbolt 3 compatibility requirements rev 1.0 (2021-08-18),2025-10-09 / 2021-08-18,2026-07-18,https://www.usb.org/documents,USB-IF document terms,public-metadata/mixed-download,raw/specs/usb4-interoperability-index.txt,816dc7a9bfc9a2de0f91af96649b751ef917e8c4fe7bbb0ad5c59a89e7d0e8d4,314
