claim_id,label,claim,scope
CLM-DECISION-001,[RECOMMENDATION],"HOLD the standard security release until RPC is absent from the standard artifact, HTTP is fail-closed by listener/auth policy, and local binary/listener/library evidence passes.",release
CLM-SOURCE-001,[MEASURED],No unpatched published llama.cpp advisory was identified in the ROCmFPX candidate source; residual P0 risk is primarily build/runtime exposure and unproven deployed-binary equivalence.,candidate-source
CLM-RPC-001,[VERIFIED],"Upstream explicitly says not to use the RPC backend, ggml-rpc-server, or llama-server on untrusted networks.",policy
CLM-RPC-002,[MEASURED],ROCmFPX and predecessor release workflows explicitly enable both server and RPC even though GGML_RPC defaults off in generic source configuration.,build
CLM-HTTP-001,[MEASURED],The candidate defaults HTTP to loopback but leaves API keys empty and slots enabled; an empty key set bypasses authentication for non-public routes.,http
CLM-STATE-001,[MEASURED],"The candidate state/cache paths implement magic/version/capacity/exact-read checks and owner-scoped prompt-cache controls, but exhaustive nested parser and symlink-race safety remains local evidence.",state-cache
CLM-BINARY-001,[OPEN],"No remote source review can prove the deployed executable, compile flags, initialized submodules, loaded libraries, listener bindings, or negative reachability.",deployment
CLM-LLAMAAI-001,[VERIFIED],llama-ai@1017f3dfdce3ca2b06aa9007b23295db3bb35722 selects exactly CachyLlama@6be745998f568e379ea197fcf827baec73ff9940 as its submodule pointer.,source-selection
CLM-DEPS-001,[MEASURED],"The candidate vendors cpp-httplib 0.47.0, which is at or above the patched version for all 18 captured public cpp-httplib advisories; the newest TLS advisory is also MbedTLS/wolfSSL-specific while the candidate enables OpenSSL.",dependencies
CLM-DEPS-002,[OPEN],The cpp-httplib security/quality counter and enumerable public advisory list differ by one item.,dependencies
CLM-LLAMA-ADV-01,[MEASURED],GHSA-3p4r-fq3f-q74v: All requested core snapshots inspected contain the overflow/representability guard family; blobs diverge but semantics match.,advisory-applicability
CLM-LLAMA-ADV-02,[MEASURED],GHSA-j8rj-fmpv-wcxw: All requested core snapshots inspected contain the corrected client data-zeroing and server buffer==nullptr/data!=nullptr rejection semantics. ROCm lineage and upstream/Cachy use different blobs.,advisory-applicability
CLM-LLAMA-ADV-03,[MEASURED],GHSA-96jg-mvhq-q7q7: All requested core snapshots inspected contain tensor-size representability checks.,advisory-applicability
