dimension,fscrypt_v2,dmcrypt_luks2,object_aead,decision
Control granularity,Per encrypted directory tree / inode policy; file and filename encryption,Whole block mapping or volume,Per object/chunk/envelope and manifest,Use object AEAD as semantic enforcement; layer fscrypt/LUKS where operationally justified.
Primary threat boundary,Offline filesystem access without installed policy key,Offline block-device or volume access without active volume key,"Unauthorized, wrong-domain, corrupt, substituted, or tampered cache object","These boundaries are complementary, not interchangeable."
At-rest payload confidentiality,Native for file contents and filenames within protected trees,Native for mapped blocks while mapping is closed; common XTS mode,Native for each encrypted payload,Require object AEAD; prefer at least one lower storage layer for stolen-media defense.
Cryptographic authenticity,Absent for ordinary file-content modes,"Absent for ordinary XTS; possible with dm-integrity authenticated modes, selected stack marks experimental",Native tag verification over ciphertext and AAD,Only object AEAD supplies required object-semantic authentication in the minimum profile.
Tenant/project/principal binding,Indirect key-domain separation only; no HaloKV principal fields,Volume unlock identity only; no HaloKV principal fields,Explicit canonical principal/scope fields in AAD and KDF context,"Bind authoritative principal IDs in AAD and authorization, not display names or mutable OS labels."
Wrong key / wrong tenant behavior,May appear as unavailable names/content; not a HaloKV miss contract,Mapping activation failure or garbage/I/O behavior depending mode,AEAD FAIL normalized to MISS_RECOMPUTE,One external miss class; precise reason only in access-controlled telemetry.
Unknown/corrupt object,Filesystem/application-dependent,May produce I/O errors only with supporting integrity; otherwise corruption may pass upward,Envelope parse bounds + tag + identifier + manifest checks; any failure is miss,Fail closed before decompression/deserialization.
Replay / rollback protection,None,None by default,Not supplied by AEAD alone; can bind epoch/generation but needs trusted freshness state,Maintain trusted epoch floors and manifest generations where freshness is required.
Online privileged compromise,Does not protect after keys are installed against privileged live compromise,Does not protect after mapping is active,Keys/plaintext available to authorized process; does not defeat compromised process/kernel,"Out of cryptographic at-rest scope; use OS isolation, least privilege, attestation only as separate controls."
Online co-tenant separation,Possible directory-key separation plus OS access controls,Weak if tenants share one unlocked mapping,Strongest native cryptographic tenant/project binding if keys and AAD are separated,Object AEAD mandatory for shared multi-user cache.
Peer/rank separation,Possible separate directory policies but operationally coarse,Separate volumes/mappings are coarse,Per-rank derived key within epoch; rank ID in AAD,Use rank-local AEAD key domain and rank-local nonce state.
Nonce/IV lifecycle,Kernel/filesystem mode-specific; application does not manage object nonce,Sector-IV mode managed by mapping configuration,Explicit 96-bit nonce allocation and per-key uniqueness; epoch rollover on uncertain state,Persist monotonic allocation safely or use randomly generated nonces under strict limits; never reuse intentionally.
Key storage and unlock,Filesystem master keys installed through fscrypt key APIs/keyrings,LUKS2 keyslots/tokens unwrap volume key; boot via crypttab or orchestrator,KMS/HSM/wrapped epoch roots; rank keys delivered to least-privileged service memory,No plaintext long-lived rank key on cache media; record authority and key owner.
Boot behavior,Mount may proceed while protected names remain inaccessible until key installation,"Mapping may block, fail, or be optional depending crypttab/orchestrator policy",Cache starts cold/read-disabled until key authorization; compute path remains authoritative,Boot must fail closed for cache serving but should degrade to recomputation rather than plaintext cache.
Busy-file/mapping revocation,Open/in-use files can retain per-file keys after master-key removal,Mapping close can fail while busy; deferred close is not immediate,Process-held keys and already decrypted buffers survive until drained/wiped/terminated,"Drain, close/unmap, revoke, verify absence, then destroy key references; document incomplete eviction."
Rotation,New policy/key usually means migration/rewrite or new tree,Credential/keyslot rotation differs from payload reencryption; reencryption has recovery modes,New epoch for writes; old epoch read-only during bounded transition; lazy recompute preferred,Prefer epoch rollover and cache recomputation over bulk in-place transformation.
Revocation blast radius,Directory-tree policy key,Entire volume key / all data on mapping,Tenant/project/prefix/rank/epoch scope; per-object with independent DEKs if required,Choose hierarchy granularity according to deletion and incident requirements.
Crash recovery,Filesystem crash behavior; no application authenticity/freshness semantics,Filesystem plus mapping; dm-integrity journal and LUKS reencryption resilience matter,Immutable object write + atomic manifest publish; nonce state and epoch recovery are explicit,Treat uncertain nonce counters or partially published manifests as miss/new epoch.
Backup/restore,Backup needs keys/policies and may expose names/metadata depending tool,Raw volume plus protected LUKS header/key dependencies; header backups are sensitive,"Coherent ciphertext, authenticated manifests, format version, wrapped epochs, policy metadata",No cache backup by default; quarantine and validate any restore.
Content addressing and dedup,Filesystem block/file dedup interactions are filesystem-specific and can leak equality,Below-filesystem encryption usually disrupts physical ciphertext dedup and reveals allocation via discard,Scoped keyed CID enables authorized logical dedup; randomized ciphertext itself is not the stable key,Private dedup ≤ tenant/project sharing scope; public/system namespace separate.
Cryptographic erasure,Potentially tree-scoped only if all master/derived copies become inaccessible; busy files complicate,"Volume-scoped if all volume-key unlock paths, headers, backups, escrow, and snapshots are eliminated",Epoch- or object-scoped depending independent key wrapping; all copies and backups still matter,State scope and evidence; never claim physical zeroization.
Discard and physical sanitization,Filesystem discard behavior separate from encryption,Pass-through discard leaks allocation and does not prove erase,Logical deletion/key destruction does not command media sanitization by itself,Use NIST SP 800-88r2-aligned media-specific procedure with verification/validation.
Operational complexity,Moderate; policy inheritance/keyring/busy-file caveats,"Moderate; boot dependencies, mappings, header backup, reencryption","Highest implementation responsibility; envelope, canonicalization, nonce state, key authority, telemetry",Complexity is justified because semantic tenant/object binding cannot be delegated to lower layers.
Recommended HaloKV role,Optional/conditional defense-in-depth for per-tenant or service directory isolation,Recommended host-volume baseline where operationally supported,Required minimum multi-user persistent-cache control,Profile: object AEAD + optional fscrypt v2 + LUKS2/dm-crypt at host-volume layer.
