risk_id,residual_risk,affected_decision,impact,likelihood,control_or_treatment,owner_decision,claim_basis
RR01,Privileged live compromise can read keys or plaintext from an authorized process or kernel.,All options,High,Environment-dependent,"Host isolation, least privilege, MAC, separate broker, rapid drain, incident response.",Accept host trust boundary or require stronger execution isolation.,"PFIR07-C004,C075"
RR02,"Principal authority may map a user, service, tenant, or project incorrectly.",Tenant identity,High,Governance-dependent,"Immutable authority IDs, signed authorization assertions, audit trail, separation of duties.",Select principal authority and lifecycle.,"PFIR07-C027,C051"
RR03,Sharing policy may authorize a dedup scope broader than users expect.,Dedup scope,High,Policy-dependent,Explicit sharing class in AAD/manifests; default private; review public promotion.,Approve tenant/project/public sharing policy.,"PFIR07-C052,C053,C078"
RR04,"Parent key ownership, escrow, or recovery authority can expand access and defeat erasure.",Key hierarchy,High,Governance-dependent,"Document owner/custodian, quorum, escrow, backup KEK, destroy authority, audit.",Assign key ownership and escrow policy.,"PFIR07-C042,C054"
RR05,Restored or rolled-back nonce allocator state can cause nonce reuse.,AEAD nonce,Critical,Implementation-dependent,Per-rank epoch; crash-safe reservation; restored state always receives new epoch/key.,Approve allocator and persistence implementation.,"PFIR07-C031-C033,C055"
RR06,Randomly generated nonces retain a non-zero collision probability and invocation bound.,AEAD nonce,High,Low under bounded use,"96-bit nonces from approved RNG, per-key invocation cap well below source limit, rotate early.",Select deterministic reservation or bounded random strategy.,"PFIR07-C032,C035"
RR07,AEAD accepts an old valid object unless trusted freshness is checked.,Replay,Medium/High,Threat-dependent,"Epoch floor, manifest generation, expiration, source revision, monotonic publish record.",Define freshness and rollback tolerance.,"PFIR07-C060,C076"
RR08,Keyed identifiers reveal equality within their authorized dedup scope.,Identifiers/dedup,Medium,Expected,Minimize scope; rotate identifier epochs only with migration plan; avoid exposing index.,Accept within-scope equality leakage.,"PFIR07-C056,C062,C077"
RR09,"Ciphertext length, object count, access pattern, allocation, and timing remain observable.",Privacy,Medium/High,Expected,"Length buckets/padding where justified, scheduler isolation, per-tenant indexes, batching, rate limits.",Choose performance/privacy trade-off.,"PFIR07-C015,C062"
RR10,Shared cache timing can reveal a hit/miss or cross-tenant activity even when errors are normalized.,Timing leakage,Medium,Architecture-dependent,"Tenant-local lookup path, equalized error classes, jitter/batching only if measured, quota isolation.",Set side-channel objective and performance budget.,"PFIR07-C058,C062"
RR11,fscrypt master-key removal leaves keys for open/in-use files.,fscrypt revocation,High,Expected under load,"Drain processes, close files, change cwd/root references, verify removal status, restart if necessary.",Set revocation SLA that accounts for drain.,"PFIR07-C005,C074"
RR12,An active dm-crypt mapping retains the volume key while busy or deferred.,LUKS revocation,High,Expected under load,"Stop I/O, unmount, close mapping, verify device-mapper state, avoid treating deferred close as completion.",Set maintenance and emergency availability policy.,"PFIR07-C019,C020,C074"
RR13,"Keys/plaintext can remain in process memory, VFS caches, swap, crash dumps, registers, or hardware buffers.",Process retention,High,Environment-dependent,"mlock where appropriate, no core dumps, encrypted swap, short-lived workers, explicit zeroization, process exit, dump controls.",Accept limits of software memory erasure.,"PFIR07-C006,C007,C043"
