source_id,title,url,publisher,authority,access_date,capture_ref,raw_path,scope
S001,ROCm 7.14.0 compatibility matrix,https://rocm.docs.amd.com/en/docs-7.14.0/compatibility/compatibility-matrix.html,AMD,official documentation,2026-07-18,turn800020view0,raw/official/amd-docs/S001-rocm-7.14-compatibility.txt,"gfx1151 devices, supported Ubuntu/kernel, Core SDK component versions"
S002,Transition guide from legacy ROCm release stream,https://rocm.docs.amd.com/en/latest/about/transition-guide-TheRock.html,AMD,official documentation,2026-07-18,turn921834view4; turn628835view0,raw/official/amd-docs/S002-transition-guide.txt,"preview statement, paths, package mapping, ABI/API compatibility"
S003,Install AMD ROCm 7.14.0,https://rocm.docs.amd.com/en/docs-7.14.0/install/rocm.html,AMD,official documentation,2026-07-18,turn619120view2; turn619120view3; turn921834view5; turn921834view6,raw/official/amd-docs/S003-install-rocm-7.14.txt,"artifact URL, package repository signing, prerequisites, install/uninstall"
S004,ROCm Core SDK 7.14.0 release notes,https://rocm.docs.amd.com/en/docs-7.14.0/about/release-notes.html,AMD,official documentation,2026-07-18,turn890393view0; turn890393view1; turn890393view2; turn890393view3,raw/official/amd-docs/S004-release-notes-7.14.txt,"hardware additions, component applicability, known issues, firmware/driver notes"
S005,ROCm 7.2 Ryzen native Linux support matrix,https://rocm.docs.amd.com/projects/radeon-ryzen/en/docs-7.2/docs/compatibility/compatibilityryz/native_linux/native_linux_compatibility.html,AMD,official documentation,2026-07-18,turn619120view0,raw/official/amd-docs/S005-ryzen-linux-7.2-matrix.txt,"Ubuntu 24.04.3, gfx1151, PyTorch 2.9, FP16 validation"
S006,ROCm 7.2.4 release notes,https://rocm.docs.amd.com/en/docs-7.2.4/about/release-notes.html,AMD,official documentation,2026-07-18,turn619120view5,raw/official/amd-docs/S006-release-notes-7.2.4.txt,"patch release purpose, inherited component versions, known issues/deprecations"
S007,ROCm/TheRock tag therock-7.14,https://github.com/ROCm/TheRock/tree/therock-7.14,AMD / GitHub,official source repository,2026-07-18,turn744481view0; turn18file0; turn50file0; turn53file0; turn54file0,raw/official/github/S007-TheRock-tag.txt,"tag commit, top-level gitlinks including LLVM/HIPIFY/SPIR-V, early-preview status, build entry point"
S008,TheRock SUPPORTED_GPUS.md at therock-7.14,https://github.com/ROCm/TheRock/blob/therock-7.14/SUPPORTED_GPUS.md,AMD / GitHub,official source repository,2026-07-18,turn15file0,raw/official/github/S008-SUPPORTED_GPUS.txt,gfx1151 build/sanity/release-ready status and project-status warning
S009,TheRock RELEASES.md at therock-7.14,https://github.com/ROCm/TheRock/blob/therock-7.14/RELEASES.md,AMD / GitHub,official source repository,2026-07-18,turn20file0 through turn24file0,raw/official/github/S009-RELEASES.txt,"tarball layout, .kpack, source manifest, native package signing warning"
S010,TheRock .gitmodules at therock-7.14,https://github.com/ROCm/TheRock/blob/therock-7.14/.gitmodules,AMD / GitHub,official source repository,2026-07-18,turn19file0,raw/official/github/S010-gitmodules.txt,authoritative source repository mapping
S011,TheRock manifest generator,https://github.com/ROCm/TheRock/blob/therock-7.14/build_tools/generate_therock_manifest.py,AMD / GitHub,official source repository,2026-07-18,turn27file0,raw/official/github/S011-manifest-generator.txt,embedded source-pin manifest semantics
S012,TheRock Linux package mapping,https://github.com/ROCm/TheRock/blob/therock-7.14/build_tools/packaging/linux/package.json,AMD / GitHub,official source repository,2026-07-18,turn42file0; turn44file0,raw/official/github/S012-package-json.txt,"RCCL package names, dependencies, components, declared licenses"
S013,TheRock root LICENSE at therock-7.14,https://github.com/ROCm/TheRock/blob/therock-7.14/LICENSE,AMD / GitHub,official source repository,2026-07-18,turn40file0,raw/official/github/S013-TheRock-LICENSE.txt,TheRock build-system license
S014,ROCm/ROCm default.xml at rocm-7.2.4,https://github.com/ROCm/ROCm/blob/rocm-7.2.4/default.xml,AMD / GitHub,official source repository,2026-07-18,turn31file0,raw/official/github/S014-rocm-7.2.4-default-xml.txt,legacy source-manifest caveat: default revision remains rocm-7.2.0
S015,Linux Kernel Archives release index,https://www.kernel.org/,Linux Kernel Organization,official release index,2026-07-18,turn398973view0,raw/official/kernel/S015-kernel-org-release-index.txt,"7.1.3 stable, 7.2-rc3 mainline, linux-next next-20260717"
