Fault,Injection or trigger,Detection,Required protocol response,Safety property,Availability impact,Transfer behavior,Single-node continuation
Rank process crashes before any durable write,kill before temp creation,heartbeat/communicator failure; no Prepared,abort open checkpoint; fence old instance; restart/reuse prior commit,no partial commit,session pauses,none; prior verified pages retained,No
Rank crashes during page write,kill after partial writes,temp/incomplete file; no valid digest,ignore/remove temp after grace; rebuild page,no torn object referenced,session pauses or checkpoint aborts,only missing page later written/fetched,No
Rank crashes after file fsync before rename,kill at publication boundary,temp durable but object name absent,restart may verify and publish idempotently or GC,immutable publication,checkpoint delayed,no transfer if local temp safely resumed,No
Rank crashes after rename before directory fsync,power-loss simulation,object may or may not survive depending filesystem,recover by inventory/digest; do not claim Prepared without durable record,durability claim honesty,checkpoint abort/retry,recreate only absent object,No
Rank crashes after Prepared sent,kill after send/record,coordinator may have preparation; rank offline,do not commit unless durability class still satisfied and both ranks valid; replace/fence,global completeness and durability,session pauses,fetch only failed rank if needed,No
Coordinator crashes before certificate CAS,kill coordinator,authority state OPEN/PARTIAL,new coordinator acquires epoch and queries operation; commit or abort by policy,one terminal outcome,checkpoint delayed,no page transfer solely for coordinator loss,No
Coordinator crashes after CAS before response/notices,drop response then kill,authority has certificate; ranks may think Prepared,query authority; return identical committed result,commit linearization at authority,brief reconciliation,no cache transfer,No
Cancel races with commit,concurrent CAS,authority revision/order,one CAS wins; return ALREADY_COMMITTED or ABORTED,terminal immutability,none beyond caller result,orphan cleanup only,No
Delayed old Prepared after epoch bump,queue/reorder message,message epoch below persisted high-water,reject stale without side effects,epoch fence,none,none,No
Peer claims future epoch,mutate epoch upward,no valid authority grant/revision,reject UNPROVEN_FUTURE_EPOCH,authority-only epoch issuance,none,none,No
Network partition between execution nodes,bidirectional/asymmetric drop,collective/heartbeat/deadline failure,stop decode; authority fences stale side; no self-election,no split-brain execution/commit,session unavailable,preserve local pages; replacement fetches missing rank only,No
Authority unavailable,drop authority calls,lease/query/CAS failure,no new epoch or commit; conservative pause or bounded existing lease policy,no ambiguous ownership,degraded/unavailable by policy,no bulk transfer,No
Independent blob store unavailable,fail reads/writes,storage errors and durability proof failure,do not claim host-failure durability; optionally process-durable mode if policy permits,durability honesty,inference may continue on two ranks,local reuse only; later delta offload,No
Disk full during snapshot,ENOSPC/quota,write/fsync failure; watermark,abort uncommitted operation; preserve referenced commits; apply backpressure,no false Prepared,persistence lag/pause,none until space recovered,No
Slow consumer/data receiver,throttle reads,credit exhaustion/queue watermark,stop grants; bounded buffers; control channel remains live,bounded resources,checkpoint/recovery slower,stream resumes from verified offset,No
Duplicate frames/retries,duplicate every message,transfer/op IDs and offsets,deduplicate; verify existing content; return prior result,idempotency,minimal,no duplicate logical bytes,No
Reordered/overlapping chunks,shuffle/inject overlaps,range map and checked offsets,accept canonical non-overlap only; reject conflicting bytes,object integrity,transfer retries/fails,resume missing ranges only,No
Page bit flip at rest,storage shim corruption,object digest/frame checksum/read scrub,reject before GPU; quarantine; repair independently,no corrupt read,session recovery required,fetch/recompute only corrupt page/rank,No
Manifest corruption or rank swap,mutate rank IDs/digests,manifest digest/MAC and topology/shard checks,reject whole checkpoint; never mix rank versions,global completeness/integrity,fallback/rebuild,fetch valid manifest/pages only,No
Wrong-but-self-consistent producer bytes,bug hashes wrong tensor,semantic canary/replay/differential test,quarantine producer build/checkpoint; rebuild independently,numerical correctness beyond digest,possible outage,recompute rather than trust transfer,No
Topology changes on reconnect,new fingerprint/shard map,handshake exact fingerprint mismatch,RECONFIGURE/REBUILD/RESET; no closest-match reuse,topology compatibility,recovery delay,compact replay preferred; verified converter optional,Conditional only with full model and supported one-node topology
Duplicate active instance for one rank,old and new connections,boot nonce + authority lease/identity,fence old instance; accept only authoritative attachment,single writer per rank/epoch,brief pause,old immutable pages may be imported after verification,No
Host loss with PROCESS_DURABLE checkpoint,destroy one local store,missing required rank objects,fall back to off-host/older checkpoint or replay; do not claim recoverable checkpoint,durability class semantics,session unavailable until rebuild,recover missing rank only where possible,No
Host loss with HOST_FAILURE_DURABLE checkpoint,destroy execution host,authority manifest and off-host objects remain,replace rank; fetch its objects; attach at barrier,committed durability,recovery delay,only failed rank/missing objects fetched,No while one node executes
Client sends compression bomb/huge manifest,malicious RPC,declared/uncompressed limits; parser budget; quota,reject before expansion/allocation; rate-limit identity,bounded resources,attacker scoped,none,No
Authority backup rollback,restore old revision,monotonic external revision/audit mismatch,halt; operator reconciliation; never accept lower revision automatically,anti-rollback,control plane unavailable,none,No
