feature_id,feature,decision,evidence_id,repository,commit,path,locator,kind,url
F-001,Process-restart-persistent sequence cache,REDESIGN,E-030,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,"kv_ssd_cache_config, metadata, stats, and public methods",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-001,Process-restart-persistent sequence cache,REDESIGN,E-031,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"init(), directory scan, index load, and checkpoint reconstruction",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-001,Process-restart-persistent sequence cache,REDESIGN,E-068,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,include/llama.h,llama_state_seq_*_ext and llama_memory_seq_rm_attn_only declarations,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
F-002,Hot/warm/cold checkpoint tiers,REDESIGN,E-030,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,"kv_ssd_cache_config, metadata, stats, and public methods",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-002,Hot/warm/cold checkpoint tiers,REDESIGN,E-037,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,"tier transition, on_turn_complete(), and cold-ring eviction",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-002,Hot/warm/cold checkpoint tiers,REDESIGN,E-039,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,automatic hot/warm RAM budget calculation,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-003,Target + draft + speculative state record,RETAIN,E-030,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.h,"kv_ssd_cache_config, metadata, stats, and public methods",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-003,Target + draft + speculative state record,RETAIN,E-063,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-page-manager.cpp,"store_checkpoint/load_checkpoint target, draft, and spec state",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp
F-003,Target + draft + speculative state record,RETAIN,E-067,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,tools/server/server-context-ssd-cache.cpp,"save/restore target, draft, and speculative components",source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp
F-004,Bounded chunk I/O,RETAIN,E-032,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,common/kv-ssd-cache.cpp,read/write helpers and 64 MiB chunk loop,source,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
