claim_id,label,claim,candidate,confidence,source_ids,notes
C001,[RELEASED],Linux 7.1.3 is the current stable release as of 2026-07-18 and does not contain USB4STREAM.,v7.1.3,high,S001,
C002,[RELEASED],Linux 7.2-rc3 is the current mainline prepatch as of 2026-07-18 and contains USB4STREAM.,v7.2-rc3,high,S001;S002;S005,
C003,[RELEASED],USB4STREAM entered Linus’s tree through the signed thunderbolt-for-v7.2-rc1 tag and usb-7.2-rc1 merge.,v7.2-rc3,high,S003;S004,
C004,[EVIDENCE-GAP],"The exact object IDs of each of the ten individual USB4STREAM series commits were not independently recovered; the signed tag target, merge commit, message IDs and exact subjects are pinned.",source lineage,medium,S003;S004;S011;S012,
C005,[RELEASED],CONFIG_USB4_STREAM is a tristate depending on USB4_CONFIGFS and builds thunderbolt_stream.ko.,v7.2-rc3,high,S006;S007,
C006,[RELEASED],The public ABI is ConfigFS plus a misc character device /dev/tbstreamX; no ioctl UAPI is implemented.,v7.2-rc3,high,S005;S008;S009,
C007,[RELEASED],"Each configured stream exposes index, in_hopid, out_hopid, ring_size and throttling attributes.",v7.2-rc3,high,S005;S009,
C008,[RELEASED],HopIDs start at 8; -1 requests automatic allocation; 0 deallocates while the stream is idle; unavailable explicit IDs return -EBUSY.,v7.2-rc3,high,S005;S009,
C009,[RELEASED],The ring-size range is 32..4096 with default 256; throttling defaults to 8192 ns and accepts 0..16776960 ns.,v7.2-rc3,high,S005;S009,
C010,[RELEASED],"USB4STREAM creates TX and RX rings together, enables both tunnel directions, and mandates end-to-end flow control.",v7.2-rc3,high,S005,
C011,[RELEASED],"USB4STREAM uses tunneled START PDF 1, DATA PDF 2 and CLOSE PDF 3; DATA is at most 4096 bytes and CLOSE allocates 256 bytes.",v7.2-rc3,high,S005,
C012,[RELEASED],"The driver allocates one kernel page per ring slot, DMA-maps it, and copies to/from userspace with iov_iter page-copy helpers.",v7.2-rc3,high,S005,
C013,[RELEASED],Blocking open waits for a matching stream service; O_NONBLOCK open without one returns -ENXIO; invalid HopIDs return -EINVAL.,v7.2-rc3,high,S005,
C014,[RELEASED],Multiple opens share one stream and one pair of rings; readers compete for bytes and writers serialize under the same device lock.,v7.2-rc3,high,S005,
C015,[RELEASED],"read_iter blocks for data, returns -EAGAIN in nonblocking mode, permits partial-frame reads and coalescing, and returns EOF after CLOSE or removal is observed.",v7.2-rc3,high,S005,
C016,[RELEASED],"write_iter blocks for TX availability, returns -EAGAIN in nonblocking mode, chunks at 4096 bytes, and may return a positive short write when ring space is exhausted.",v7.2-rc3,high,S005,
C017,[RELEASED],poll reports readable/writable ring availability and reports HUP|ERR only when tbstream_dev_valid() fails; it does not directly test closed or removed flags.,v7.2-rc3,high,S005,
C018,[EVIDENCE-GAP],Durable poll/epoll readiness after peer CLOSE or ConfigFS removal requires machine qualification because the wakeup key and returned poll mask are not the same condition.,v7.2-rc3,medium,S005,
C019,[RELEASED],RX CRC and buffer-overrun flags are logged; the callback does not expose a userspace status structure or errno and does not wake readers on the errored frame.,v7.2-rc3,high,S005,
C020,[RELEASED],"The final close sends one CLOSE request, ignores its return value, flushes TX and RX for up to 500 ms each, disables paths and frees rings.",v7.2-rc3,high,S005,
C021,[RELEASED],"Peer detach wakes waiters and preserves ConfigFS objects; a future matching service can attach, while suspend stops open streams and resume attempts to restart them.",v7.2-rc3,high,S005,
C022,[EVIDENCE-GAP],"Reconnect continuity, byte loss and ordering across detach/re-attach or suspend/resume are not guaranteed by documentation and were not machine-tested.",v7.2-rc3,medium,S005,
C023,[RELEASED],v7.2-rc3 maps each stream buffer with TB_MAX_FRAME_SIZE but unmaps using the current frame payload size.,v7.2-rc3,high,S005;S013,
C024,[BACKPORTED],The accepted fixes-branch patch changes stream DMA unmap size to TB_MAX_FRAME_SIZE.,v7.2-rc3 + fix,high,S013,
C025,[EVIDENCE-GAP],"The individual fixes-branch commit object ID was not independently recovered; the patch, blob delta, acceptance and fixes-branch head are pinned.",v7.2-rc3 + fix,medium,S013,
C026,[UNSUPPORTED],USB4STREAM does not implement registered userspace buffers.,v7.2-rc3,high,S005,
C027,[UNSUPPORTED],USB4STREAM does not implement a driver mmap file operation.,v7.2-rc3,high,S005,
C028,[UNSUPPORTED],"USB4STREAM does not implement driver splice methods, dma-buf import/export, uring_cmd or a native zero-copy UAPI.",v7.2-rc3,high,S005,
C029,[UNSUPPORTED],USB4STREAM does not implement GPU-direct or peer-to-peer GPU memory registration.,v7.2-rc3,high,S005,
C030,[UNSUPPORTED],USB4STREAM does not expose a directional-stream preference; each opened stream provisions both directions.,v7.2-rc3,high,S005,
C031,[EVIDENCE-GAP],No public evidence was found for USB4STREAM interoperability with a non-Linux implementation.,interoperability,medium,S005;S021;S023;S031,
C032,[RELEASED],USB4STREAM and thunderbolt-net can coexist and use distinct service/ring resources.,v7.2-rc3,high,S010;S012,
C033,[RELEASED],thunderbolt-net exposes an Ethernet netdevice and fragments packets into 4096-byte DMA frames with a 12-byte header and 4084-byte payload.,v7.2-rc3,high,S014,
C034,[RELEASED],thunderbolt-net supports MTU 68..65522 and a 64 KiB protocol-frame ceiling.,v7.2-rc3,high,S014,
C035,[RELEASED],"thunderbolt-net uses 256-entry rings, NAPI receive processing, GRO on completed reassembly, and TSO/SG/checksum feature advertisement.",v7.2-rc3,high,S014,
C036,[RELEASED],"thunderbolt-net end-to-end flow control is enabled by default but negotiated with the peer, unlike USB4STREAM where E2E is mandatory.",v7.2-rc3,high,S005;S014,
C037,[RELEASED],"thunderbolt-net records CRC, overrun, length, missed and aggregate RX/TX errors through netdevice statistics paths.",v7.2-rc3,high,S014,
C038,[RELEASED],thunderbolt-net statistic units are asymmetric: TX packet accounting is skb-oriented while RX packet accounting advances per accepted USB4NET DMA frame.,v7.2-rc3,high,S014,
C039,[EVIDENCE-GAP],The return values of some receive replenish/poll support calls are not surfaced as a dedicated user-visible error channel; operational impact requires fault injection.,v7.2-rc3,medium,S014,
C040,[RELEASED],"thunderbolt-net login/logout, carrier, queue, workqueue, NAPI and ring teardown are serialized through its connection lifecycle; suspend detaches and tears down a running netdevice.",v7.2-rc3,high,S014,
C041,[PROPOSED],A 2026 mailing-list proposal to enlarge thunderbolt-net rings/NAPI behavior is not part of v7.2-rc3 released behavior.,proposal history,medium,S014,
C042,[RELEASED],"Linux MPTCP defaults to enabled=1, path_manager=kernel and scheduler=default.",v7.2-rc3,high,S015;S016;S017,
C043,[RELEASED],MPTCP close_timeout defaults to 60 seconds and bounds the MPTCP-level make-after-break interval after the last subflow disappears.,v7.2-rc3,high,S015;S016;S019,
C044,[RELEASED],"MPTCP stale_loss_cnt defaults to 4; because the implementation tests stale_count > limit, stale transition can occur on the fifth counted no-progress retransmission interval when another active subflow is healthier.",v7.2-rc3,high,S015;S017,
C045,[RELEASED],stale_loss_cnt=0 disables the stale-subflow transition.,v7.2-rc3,high,S015;S017,
C046,[RELEASED],syn_retrans_before_tcp_fallback defaults to 2; the initial MP_CAPABLE SYN and two retransmissions retain MPTCP before a subsequent plain-TCP attempt is allowed.,v7.2-rc3,high,S015;S016,
C047,[RELEASED],An MPTCP listener can accept a peer that does not negotiate MP_CAPABLE as ordinary TCP.,v7.2-rc3,high,S016;S019,
C048,[RELEASED],Failure of an additional subflow is a path-level failure and does not itself convert an established MPTCP connection to ordinary TCP.,v7.2-rc3,high,S016;S019,
C049,[RELEASED],"Established fallback or reset depends on specific MP_CAPABLE, DSS/mapping and protocol-error conditions.",v7.2-rc3,high,S016;S019,
C050,[RELEASED],"The default scheduler prefers eligible active subflows over backup subflows and considers queued data, pacing, window, memory and burst constraints.",v7.2-rc3,high,S017,
C051,[RELEASED],The fallback scheduler uses the first subflow.,v7.2-rc3,high,S017,
C052,[RELEASED],The kernel path manager and userspace path manager are distinct modes exposed through MPTCP controls and the mptcp_pm generic-netlink family.,v7.2-rc3,high,S015;S018,
C053,[NORMATIVE],RFC 8684 is the standards-track MPTCP baseline and obsoletes RFC 6824.,MPTCP,high,S019,
C054,[NORMATIVE],RFC 8684 verified erratum 6609 is part of the normative evidence set.,MPTCP,high,S020,
C055,[NORMATIVE],USB4 v2.0 November 2025 is the selected public USB4 specification package metadata baseline.,USB4,high,S021,
C056,[EVIDENCE-GAP],The USB4 normative package is not redistributed because of USB-IF license constraints; exact proprietary clause mapping is incomplete.,USB4,high,S021,
C057,[NORMATIVE],USB Type-C Release 2.5 is the selected cable/connector baseline metadata.,USB4 cable,high,S022,
C058,[EVIDENCE-GAP],PCIe Base Specification 7.0 normative text is member/license controlled; only public overview and errata/ECN metadata were accessible.,PCIe tunneling,high,S024,
C059,[RELEASED],"Microsoft documents USB4NET support, providing evidence for non-Linux USB4NET interoperability, but not for USB4STREAM.",USB4NET interoperability,high,S023,
C060,[PACKAGED],CachyOS publishes linux-cachyos-rc 7.2.rc3-1 for x86_64_v3 and x86_64_v4 with pinned package SHA256 values.,CachyOS rc3,high,S025;S026,
C061,[PACKAGED],The captured moving CachyOS RC config enables CONFIG_USB4_STREAM=m and CONFIG_MPTCP=y.,CachyOS moving RC source,high,S029,
C062,[EVIDENCE-GAP],The exact frozen PKGBUILD/config/source tag for the published 7.2.rc3-1 binaries was not exposed by the package page; its source link resolves to a later moving snapshot.,CachyOS rc3,high,S025;S026;S028;S029,
C063,[PACKAGED],"CachyOS stable linux-cachyos 7.1.3-2 is packaged, but its upstream base lacks USB4STREAM and no public CachyOS backport was found.",CachyOS stable,high,S027;S001,
C064,[EVIDENCE-GAP],Package-file inspection and booted-kernel verification were not performed; package records and source/config records are not substitutes for module-content testing.,CachyOS,high,S025;S026;S027;S029,
C065,[RELEASED],"No application goodput, latency or GPU-direct behavior is established by link rate, source presence, MTU, ring size or ethtool speed.",all,high,S005;S014;S021;S024,
C066,[EVIDENCE-GAP],No claim in this dossier is machine-tested.,all,high,S001,The [MACHINE-TESTED] label is intentionally absent from the claims ledger.
C067,[BACKPORTED],"A narrowly sourced v7.2-rc3 plus the accepted one-line unmap correction is sufficiently evidenced to enter reversible machine qualification, provided the patch object/content and build config are frozen locally.",candidate C3,high,S002;S005;S013,
C068,[EVIDENCE-GAP],The published CachyOS 7.2.rc3-1 binary is not yet sufficiently provenance-pinned for an externally supportable selection claim; it can enter package-content qualification by exact package hash.,candidate C5,high,S025;S026;S028;S029,
C069,[RELEASED],"linux-next next-20260717 includes the fixes integration lane but also unrelated churn, so it is not equivalent to a minimal v7.2-rc3 backport candidate.",linux-next,high,S030;S013,
C070,[EVIDENCE-GAP],"USB4/Thunderbolt peer trust, controller authorization, cable identity, reset/retrain and tunnel arbitration include connection-manager and normative layers outside stream.c; exact cross-vendor behavior requires local hardware tests and restricted specifications.",standards map,high,S005;S021;S022;S024;S031,
