source_id,license_or_terms,access,redistributed
S001,Website terms; release artifacts GPL-2.0-only,public,capture included
S002,GPL-2.0-only source tree,public,capture included
S003,GPL-2.0-only source tree,public,capture included
S004,GPL-2.0-only source tree,public,capture included
S005,GPL-2.0,public,capture included
S006,GPL-2.0-only,public,capture included
S007,GPL-2.0-only,public,capture included
S008,GPL-2.0,public,capture included
S009,GPL-2.0-only documentation tree,public,capture included
S010,GPL-2.0-only documentation tree,public,capture included
S011,mail author copyright; quoted/excerpted for research,public,metadata/excerpt only
S012,mail author copyright; quoted/excerpted for research,public,metadata/excerpt only
S013,GPL-2.0 patch; mail author copyright,public,metadata/excerpt only
S014,GPL-2.0,public,capture included
S015,GPL-2.0-only documentation tree,public,capture included
S016,GPL-2.0-only,public,capture included
S017,GPL-2.0-only,public,capture included
S018,GPL-2.0-only documentation tree,public,capture included
S019,IETF Trust legal provisions,public,metadata/excerpt only
S020,IETF Trust legal provisions,public,metadata/excerpt only
S021,USB-IF limited specification license; redistribution constraints,public-download-with-license,metadata/excerpt only
S022,USB-IF limited specification license; redistribution constraints,public-download-with-license,metadata/excerpt only
S023,Microsoft documentation terms,public,capture included
S024,PCI-SIG member/license terms,member-only-normative,metadata/excerpt only
S025,GPL-2.0-only,public,capture included
S026,GPL-2.0-only,public,capture included
S027,GPL-2.0-only,public,capture included
S028,GPL-2.0-only package recipe,public,capture included
S029,GPL-2.0-only configuration,public,capture included
S030,GPL-2.0-only source tree,public,capture included
S031,USB-IF document terms,public-metadata/mixed-download,metadata/excerpt only
