model_key,model,metric,value,unit,human_binary,one_link_nominal_floor_ms,two_link_nominal_floor_ms,evidence,notes
llama31-8b,Llama 3.1 8B,boundary_bytes_per_token,8192.0,B,8.000 KiB,0.0016384000000000001,0.0008192000000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-8b,Llama 3.1 8B,kv_bytes_per_token,131072.0,B,128.00 KiB,0.026214400000000002,0.013107200000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-8b,Llama 3.1 8B,tp_prefill_per_rank_sent_4096,2147483648.0,B,2.000 GiB,429.49672960000004,214.74836480000002,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-8b,Llama 3.1 8B,tp_decode_per_rank_sent_Q1,524288.0,B/token-step,512.00 KiB,0.10485760000000001,0.052428800000000005,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-8b,Llama 3.1 8B,layer_cut_prefill_A_to_B_4096,33554432.0,B,32.00 MiB,6.710886400000001,3.3554432000000003,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-8b,Llama 3.1 8B,layer_cut_decode_A_to_B_Q1,8192.0,B/token-step,8.000 KiB,0.0016384000000000001,0.0008192000000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-8b,Llama 3.1 8B,ideal_q4_weight_lower_bound,4000000000.0,B,3.725 GiB,800.0,400.0,CALCULATED LOWER BOUND,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,boundary_bytes_per_token,32768.0,B,32.00 KiB,0.006553600000000001,0.0032768000000000003,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,kv_bytes_per_token,516096.0,B,504.00 KiB,0.1032192,0.0516096,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,tp_prefill_per_rank_sent_4096,33822867456.0,B,31.50 GiB,6764.5734912,3382.2867456,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,tp_decode_per_rank_sent_Q1,8257536.0,B/token-step,7.875 MiB,1.6515072,0.8257536,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,layer_cut_prefill_A_to_B_4096,134217728.0,B,128.00 MiB,26.843545600000002,13.421772800000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,layer_cut_decode_A_to_B_Q1,32768.0,B/token-step,32.00 KiB,0.006553600000000001,0.0032768000000000003,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
llama31-405b,Llama 3.1 405B,ideal_q4_weight_lower_bound,202500000000.0,B,188.59 GiB,40500.0,20250.0,CALCULATED LOWER BOUND,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,boundary_bytes_per_token,8192.0,B,8.000 KiB,0.0016384000000000001,0.0008192000000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,kv_bytes_per_token,131072.0,B,128.00 KiB,0.026214400000000002,0.013107200000000001,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,tp_prefill_per_rank_sent_4096,2147483648.0,B,2.000 GiB,429.49672960000004,214.74836480000002,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,tp_decode_per_rank_sent_Q1,524288.0,B/token-step,512.00 KiB,0.10485760000000001,0.052428800000000005,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
mixtral-8x7b,Mixtral 8x7B,layer_cut_prefill_A_to_B_4096,33554432.0,B,32.00 MiB,6.710886400000001,3.3554432000000003,CALCULATED,Payload-only floor at nominal 40 Gb/s/link; excludes all overhead and latency.
