component_id,name,version_or_commit,component_type,repository,root_license_assertion,license_conclusion,primary_license_blob,notice_blob,promotion_status,boundary_note
rocmfpx-a5605a7,ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,source-repository-snapshot,https://github.com/charlie12345/ROCmFPX,MIT,NOASSERTION (mixed file-level exceptions; exact proposed tree not scanned here),e7dca554bcb802f98408383a864404e3aa4eacca,4b2f877fe5011ac7eca70b5409a1cb7b032109ea,CANDIDATE-WITH-NOTICE-AND-FULL-TREE-SCAN,"Repository source only; models, generated GGUFs, Web UI bundles, toolchains, and downloaded assets are separate."
rocmfpx-61f2f2d,ROCmFPX,61f2f2d7bc4955e9bca821095ef69125837133b5,source-repository-snapshot,https://github.com/charlie12345/ROCmFPX,MIT,NOASSERTION (mixed exceptions and two newly added unheadered HIP files),e7dca554bcb802f98408383a864404e3aa4eacca,4b2f877fe5011ac7eca70b5409a1cb7b032109ea,CANDIDATE-WITH-NOTICE-AND-FULL-TREE-SCAN,One commit after a560; changed-file origin/SPDX review required.
cachyllama-6be7459,CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,source-repository-snapshot,https://github.com/fewtarius/CachyLLama,MIT,NOASSERTION (file-level exceptions; no root third-party notice file at commit),e7dca554bcb802f98408383a864404e3aa4eacca,ABSENT,CANDIDATE-WITH-GENERATED-NOTICE-AND-FULL-TREE-SCAN,Independent repository pinned by parent gitlink.
llama-ai-code-1017f3d,llama-ai operational code,1017f3dfdce3ca2b06aa9007b23295db3bb35722,source-repository-code-scope,https://github.com/fewtarius/llama-ai,GPL-3.0-or-later,GPL-3.0-or-later for sampled operational code; exact file-scope scan still required,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7,README scope statement + file SPDX headers,GPL-RELEASE-MODEL-HUMAN-DECISION,Do not relabel as MIT because it builds or invokes an MIT submodule.
llama-ai-docs-1017f3d,llama-ai documentation,1017f3dfdce3ca2b06aa9007b23295db3bb35722,repository-documentation-scope,https://github.com/fewtarius/llama-ai,CC-BY-NC-SA-4.0 (README statement),CC-BY-NC-SA-4.0 for documentation as asserted; per-file scope not exhaustively scanned,README cb8f9dee239db6df865ee08d0b7008eb5f8b71be,README license section,REFERENCE-ONLY-BY-DEFAULT,NonCommercial and ShareAlike terms are separate from code licensing.
llama-ai-gitlink-cachyllama,llama-ai/CachyLLama gitlink,6be745998f568e379ea197fcf827baec73ff9940,gitlink-submodule-boundary,git@github.com:fewtarius/CachyLLama.git,NOASSERTION at gitlink; child repository separately asserts MIT,Technical pin only; combination/distribution analysis is release-model dependent,gitlink object; .gitmodules c73a9ad6ca6261b42aea9c2d5107fd24298066bb,none at boundary,SEPARATE-COMPONENT-RECORD-REQUIRED,Superproject does not contain child file blobs in its tree; release archives may materialize them.
rocmfpx-webui,ROCmFPX server Web UI source and generated bundle,61f2f2d7bc4955e9bca821095ef69125837133b5,source-plus-generated-embedded-assets,ROCmFPX/tools/server/webui,Repository MIT assertion plus npm package-specific licenses,NOASSERTION until full npm inventory/license texts and exact bundle hash map are captured,package-lock bf23307b82c2489a680e9da3f11efed455149246,not generated by upstream workflow,INDEPENDENT-REGENERATION-CANDIDATE,Mutable bucket/latest output is blocked; local pinned rebuild is preferred.
model-and-tokenizer-assets,"Models, GGUFs, tokenizers, chat templates, generated vocab fixtures",various/unpinned,data-model-generated-assets,Hugging Face/local paths,publisher/model/repository specific,NOASSERTION,not captured for exact local bytes,not captured,BLOCKED-PENDING-EXACT-PROVENANCE-AND-PERMISSION,Base model license evidence does not prove a third-party quantized artifact or extracted template.
gutenberg-pg1184,Project Gutenberg ebook 1184 benchmark text,served file unpinned by script,test-corpus-reference,Project Gutenberg,Project Gutenberg public-domain/terms framework; jurisdiction-sensitive,NOASSERTION for a redistributed local cache until exact bytes and terms record are captured,none,Project Gutenberg terms must be reviewed with exact edition,REFERENCE-OR-INDEPENDENT-REACQUISITION,Do not ship the unrecorded cached copy merely because the script labels it public domain.
rocm-toolchains-and-runtime,"ROCm SDK, compiler, runtime, Vulkan loader, system packages",release-environment-specific,distribution-dependencies,AMD/distro/vendor packages,per component/package,NOASSERTION,must be collected from exact installed/shipped packages,must be collected,BLOCKED-UNTIL-RELEASE-SBOM,Parent repository licenses do not relicense externally downloaded toolchains.
