edge_id,repository,child_commit,parent_index,parent_commit,relationship,claim_label,evidence_url,notes
A-001,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,1,25c71fc6e12d73bb3804127e032d29fb8976ae40,PR #32 first parent,VERIFIED,https://api.github.com/repos/charlie12345/ROCmFPX/compare/a5605a72768c6562241b248e268e33dc92787394%5E1...a5605a72768c6562241b248e268e33dc92787394,PR base
A-002,charlie12345/ROCmFPX,a5605a72768c6562241b248e268e33dc92787394,2,a8b5fa906ccd13c6a8ca06d55aa287854c376868,PR #32 second parent,VERIFIED,https://api.github.com/repos/charlie12345/ROCmFPX/compare/a5605a72768c6562241b248e268e33dc92787394%5E2...a5605a72768c6562241b248e268e33dc92787394,Topic head
A-003,charlie12345/ROCmFPX,c2845bf86a5c1842d33bd9e990b2bcaf75779251,1,5b3956605309dd3e6beed49c8f3a41423ba71d25,PR #27 first parent,VERIFIED,https://api.github.com/repos/charlie12345/ROCmFPX/compare/c2845bf86a5c1842d33bd9e990b2bcaf75779251%5E1...c2845bf86a5c1842d33bd9e990b2bcaf75779251,Promotion base
A-004,charlie12345/ROCmFPX,c2845bf86a5c1842d33bd9e990b2bcaf75779251,2,ccac6e55ec7c0fa8acdcb6e80b1a242e4f7d654e,PR #27 second parent,VERIFIED,https://api.github.com/repos/charlie12345/ROCmFPX/compare/c2845bf86a5c1842d33bd9e990b2bcaf75779251%5E2...c2845bf86a5c1842d33bd9e990b2bcaf75779251,Experimental topic head
A-005,charlie12345/ROCmFPX,2335e6a482b1601d71dff9e860c8feab108c3af2,1,221402af8574faf652b101b6afe225a3f329561f,remote-tracking merge first parent,VERIFIED,https://api.github.com/repos/charlie12345/ROCmFPX/compare/2335e6a482b1601d71dff9e860c8feab108c3af2%5E1...2335e6a482b1601d71dff9e860c8feab108c3af2,Pre-merge branch head
A-006,charlie12345/ROCmFPX,2335e6a482b1601d71dff9e860c8feab108c3af2,2,5b3956605309dd3e6beed49c8f3a41423ba71d25,remote-tracking merge second parent,VERIFIED,https://api.github.com/repos/charlie12345/ROCmFPX/compare/2335e6a482b1601d71dff9e860c8feab108c3af2%5E2...2335e6a482b1601d71dff9e860c8feab108c3af2,Local remote name upstream; historical URL unresolved
A-007,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,1,c8ead677a7fe42fb0a67e6e866fb254cc338e9fd,upstream merge first parent,VERIFIED,https://api.github.com/repos/fewtarius/CachyLLama/compare/6be745998f568e379ea197fcf827baec73ff9940%5E1...6be745998f568e379ea197fcf827baec73ff9940,Local fork line
A-008,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,2,92366df30d4eaa4b85139b5fd694360237731b19,upstream merge second parent,VERIFIED,https://api.github.com/repos/fewtarius/CachyLLama/compare/6be745998f568e379ea197fcf827baec73ff9940%5E2...6be745998f568e379ea197fcf827baec73ff9940,Exact object exists in ggml-org/llama.cpp
A-009,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,1,d8a07baad6ab175f8badbc4d496c9190b0cc3b2d,normal commit parent,VERIFIED,https://api.github.com/repos/fewtarius/llama-ai/compare/1017f3dfdce3ca2b06aa9007b23295db3bb35722%5E1...1017f3dfdce3ca2b06aa9007b23295db3bb35722,Only changed file is CachyLLama gitlink
A-010,ggml-org/llama.cpp,86d86ed4396b4130922f7b9af26e3d9fc11a591b,1,7d56da7e546f54fb1fa54ef2bc9ad9a872860ab0,normal commit parent,VERIFIED,https://api.github.com/repos/ggml-org/llama.cpp/compare/86d86ed4396b4130922f7b9af26e3d9fc11a591b%5E1...86d86ed4396b4130922f7b9af26e3d9fc11a591b,Cutoff-tip parent
