artifact_class,default_status,may_reference,may_independently_regenerate,may_copy_or_promote,blocking_condition
ROCmFPX/CachyLLama MIT-origin source files with no contrary file notice,CANDIDATE-WITH-NOTICE,yes,n/a,Only after exact-tree origin/license scan and notice preservation,Any unknown or contrary file-level provenance
MIT adaptations from identified upstream commits,CANDIDATE-WITH-DONOR-TRACE,yes,by clean re-port from pinned licensed source,After source/diff/license/copyright record,Unresolved donor commit or incompatible file exception
llama-ai GPL operational scripts and service/build files,GPL-SCOPE,yes,Potentially from behavior/spec under approved clean-room process,Only under a release model satisfying GPL obligations,Attempt to copy into non-GPL target without permission/compatible release model
"GPL operational behavior, interfaces, command semantics, facts, measurements",REFERENCE-ONLY-FOR-REQUIREMENTS,yes,"yes, with documented independent implementation and human approval",Do not copy expressive code/text as “facts”,Role contamination or expression-level similarity
llama-ai documentation,REFERENCE-ONLY-BY-DEFAULT,yes with attribution,Create new documentation from independently verified facts,Only under CC-BY-NC-SA-4.0-compatible distribution approved by reviewer,"Commercial/permissive release conflict, missing attribution/share-alike handling"
Schemas/grammars/protocol descriptions,CLASSIFY-BY-EXPRESSION,yes,facts/ideas and independently authored schemas may be regenerated,Copied schema text requires source/license evidence,Unidentified copied metaschema or prose/code expression
Generated Web UI bundle and embedded headers,INDEPENDENT-REGENERATION-CANDIDATE,yes,yes from exact source+lockfile+toolchain if all licenses allow,"Only with bundle hash map, source, notices, and SBOM",Mutable bucket/latest or incomplete dependency notices
Chat templates extracted from tokenizer_config.json,REFERENCE-ONLY,yes,only from exact pinned source with compatible license,Not approved on root-repo MIT assertion alone,Unknown source revision/license or version-sensitive publisher terms
Tokenizer snapshots and generated ggml-vocab GGUF,BLOCKED-PENDING-PROVENANCE,yes,yes after exact source/license/revision capture,Only with full source-to-output chain,Unknown tokenizer files/license/revision
Model weights and quantized GGUF fixtures,BLOCKED-PENDING-PERMISSION,yes,"only when base model, quantizer, terms, and transformation allow",No blanket approval,Unknown exact publisher/quantizer/revision/hash or use restrictions
Project Gutenberg benchmark corpus,REFERENCE-OR-REACQUIRE,yes,reacquire exact edition and record hash/terms,Only after jurisdiction/trademark/terms review,Unrecorded cache or non-US uncertainty
ROCm SDK/compiler/runtime/Vulkan/system packages,DISTRIBUTION-DEPENDENCY,yes,build from exact source packages where feasible,Only under each package license with SBOM/notices,Parent license assumption or missing package license inventory
