source_id,source_class,claim_label,repository_or_site,upstream_path_or_url,upstream_ref,upstream_object_sha,upstream_locator,accessed_at,snapshot_kind,completeness,license,local_path,local_sha256
SRC-ACTIVE-VERSION,source,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/makefiles/version.mk,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,a623ed8aa0ff402b2a66c8d916407b93217cadd9,lines 1-13,2026-07-18,verbatim complete file,complete,Apache-2.0 (per-file SPDX),evidence/source/active/version.mk.txt,a64f39d35b2cdb60513ac6e46b04447448aebb9b49b9bb06bcf241aa10619c8c
SRC-STABLE-VERSION,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,makefiles/version.mk,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,3b182d61bdab57ddbe66f4f1e8383095fd7917af,lines 1-6,2026-07-18,verbatim complete file,complete,RCCL LICENSE.txt,evidence/source/stable/version.mk.txt,1adea68697678b1af4e171ba7caae6ca669a9301719437d01f955fe351932334
SRC-ACTIVE-SOCKET,source,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/src/transport/net_socket.cc,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,cfd58c550421807a1ae240cb3a1f1abb1a6cb11a,"getProperties, regMr, iflush, ncclNetSocket initializer",2026-07-18,verbatim selected excerpts,selected relevant excerpts; not full file,Apache-2.0 (per-file SPDX),evidence/source/active/net_socket.cc.excerpt,baa05e0bcb4392a853fbb6cf32de9cd449a47acfe91db31dca43b21ad707486b
SRC-STABLE-SOCKET,source,[SOURCE_IMPLEMENTATION],ROCm/rccl,src/transport/net_socket.cc,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,985810c47fc87dc950193f4a0f200828e15ac91f,getProperties and lines 610-830,2026-07-18,verbatim selected excerpts,selected relevant excerpts; not full file,RCCL LICENSE.txt,evidence/source/stable/net_socket.cc.excerpt,b645c90fb609300e66df026262bac126e91756eee11bea8d08565b18dfc361e5
SRC-ACTIVE-INTERFACE,source,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/src/misc/socket.cc,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,9e38eef99d8fb3c2f7ef055aac9abb4c34511a16,lines 20-47 and 130-215,2026-07-18,verbatim selected excerpts,selected relevant excerpts; not full file,Apache-2.0 (per-file SPDX),evidence/source/active/socket_interface_selection.cc.excerpt,cc2991c231ef928d9af6ed70e04cca2e55078e4415f43cef0e3225ba293b8df6
DOC-ACTIVE-ENV,documentation,[NORMATIVE_DOC],ROCm/rocm-systems,projects/rccl/docs/api-reference/env-variables.rst,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,81ab66a55304f58122d8dba29ee1a0414112b973,NCCL_SOCKET_IFNAME and NCCL_SOCKET_FAMILY sections,2026-07-18,structured documentation excerpt preserving literal values,selected relevant excerpt; not full file,RCCL repository/documentation terms; file SPDX not captured,evidence/docs/active/environment-interface-selection.rst.excerpt,469d15423778cb5bfa81db1d16251973179627433cd09c3791d56d1daede0e9e
SRC-ACTIVE-PLUGIN-HEADER,source,[NORMATIVE_API],ROCm/rocm-systems,projects/rccl/src/include/plugin/nccl_net.h,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,c7c8d995ef05c771f6be9ff7edf8434e026b3d98,complete file,2026-07-18,verbatim complete file,complete,Apache-2.0 (per-file SPDX),evidence/source/active/nccl_net.h,9c9c13dfdb3a24455ab61c1af21fa0f237a68551324878fa924ae659cd2773e6
SRC-ACTIVE-PLUGIN-V12,source,[NORMATIVE_API],ROCm/rocm-systems,projects/rccl/src/include/plugin/net/net_v12.h,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,299fd32cbec1c9762ca4e458b3ee42420bd61040,v12 properties and function table,2026-07-18,structured selected source excerpt preserving ABI signatures,selected ABI properties and function signatures; comments and CollNet omitted,Apache-2.0 (per-file SPDX),evidence/source/active/net_v12.h.excerpt,91aa34d5c7e82bf35af0752d5faa494ed94184fcfe84eaa23b7960a4a8311331
SRC-STABLE-PLUGIN-HEADER,source,[NORMATIVE_API],ROCm/rccl,src/include/plugin/nccl_net.h,96a25b5fd6f73fba58c7d83eb57cf19a50230aa4,de271219b010a5d201113605e6a2a407fb5fafd7,complete file,2026-07-18,verbatim complete file,complete,RCCL LICENSE.txt,evidence/source/stable/nccl_net.h,5e1437fa43536e32d8d0a8ff94838fdb425c727507f0d9ac74345a3f05b92995
SRC-ACTIVE-PLUGIN-LOADER,source,[SOURCE_IMPLEMENTATION],ROCm/rocm-systems,projects/rccl/src/plugin/net.cc,801a9ca2ad8940ac7cd7d571163e003f3a3d6cab,b726fd6c86288e61051724d3ace2cd8370f62c54,"version probe, environment loading, internal fallbacks, provider selection",2026-07-18,structured selected source excerpt preserving literal identifiers,selected relevant excerpts; not full file,Apache-2.0 (per-file SPDX),evidence/source/active/plugin_loader.cc.excerpt,f3b5dc78b780f04b84ff5ca16d49c73f1b403bcdb1606a6a17abb248e42c7b1f
