source_id,title,publisher,document_revision,publication_or_release_date,access_date,upstream_url,immutable_or_versioned_url,local_path,local_size_bytes,local_sha256,hash_scope,license,archival_status,notes
LINUX-FSCRYPT-7.2RC3,Filesystem-level encryption (fscrypt),Linux kernel project,Linux documentation snapshot 7.2.0-rc3; source tag v7.2-rc3,2026-07 (release-candidate snapshot),2026-07-18,https://docs.kernel.org/filesystems/fscrypt.html,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/Documentation/filesystems/fscrypt.rst?h=v7.2-rc3,sources/raw/linux-kernel/fscrypt.rst.txt,73360,e3637b6c5d549c9d3eaee53add2a28ab5c9f6b7955984749725319510016d7fc,file bytes,Linux source-tree license notices; see copied COPYING and license-rules,byte-preserved local text snapshot,Current docs snapshot was a release candidate; use the recorded tag rather than an unversioned page for reproducibility.
LINUX-DMCRYPT-7.2RC3,dm-crypt target documentation,Linux kernel project,Linux documentation snapshot 7.2.0-rc3; source tag v7.2-rc3,2026-07 (release-candidate snapshot),2026-07-18,https://docs.kernel.org/admin-guide/device-mapper/dm-crypt.html,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/Documentation/admin-guide/device-mapper/dm-crypt.rst?h=v7.2-rc3,sources/raw/linux-kernel/dm-crypt.rst.txt,7860,31d61c55fae026bc95c7f4e9e08d8eaceeba64c1fb44e0efdba492f27d6a774d,file bytes,Linux source-tree license notices,byte-preserved local text snapshot,
LINUX-DMINTEGRITY-7.2RC3,dm-integrity target documentation,Linux kernel project,Linux documentation snapshot 7.2.0-rc3; source tag v7.2-rc3,2026-07 (release-candidate snapshot),2026-07-18,https://docs.kernel.org/admin-guide/device-mapper/dm-integrity.html,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/Documentation/admin-guide/device-mapper/dm-integrity.rst?h=v7.2-rc3,sources/raw/linux-kernel/dm-integrity.rst.txt,12577,c943546f0ed867587ef8182b9e4aee9bad18c4b1ac91a49d37e2acf8c8c8b5f4,file bytes,Linux source-tree license notices,byte-preserved local text snapshot,
LINUX-KEYS-7.2RC3,Kernel key retention service — core documentation,Linux kernel project,Linux documentation snapshot 7.2.0-rc3; source tag v7.2-rc3,2026-07 (release-candidate snapshot),2026-07-18,https://docs.kernel.org/security/keys/core.html,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/Documentation/security/keys/core.rst?h=v7.2-rc3,sources/raw/linux-kernel/key-retention-core.rst.txt,72604,863a379d48b4b7999183e7638c26b79b7aabc86fec813ee9b021795007ca258e,file bytes,Linux source-tree license notices,byte-preserved local text snapshot,
LUKS2-SPEC-1.1.4,LUKS2 On-Disk Format Specification,cryptsetup / LUKS2-docs project,version 1.1.4; repository commit a81aa2fef8d176debdbec297c1e0b74bb50cfee8,2025-06-16,2026-07-18,https://gitlab.com/cryptsetup/LUKS2-docs,https://gitlab.com/cryptsetup/LUKS2-docs/-/blob/a81aa2fef8d176debdbec297c1e0b74bb50cfee8/luks2_doc_wip.pdf,sources/raw/luks2/LUKS2-On-Disk-Format-1.1.4.pdf,373682,96726a86d0c28885d11e0c17a162d112b061e3d0561b1aaa269e37a155bc039f,file bytes,CC BY-SA 4.0 (stated in document and copied repository license),byte-preserved PDF plus text extract,Repository README calls the documentation work-in-progress; the PDF itself identifies version 1.1.4.
CRYPTSETUP-2.8.6,cryptsetup 2.8.6 selected release notes and manual sources,cryptsetup project,stable release 2.8.6; tag v2.8.6,2026-04-02,2026-07-18,https://www.kernel.org/pub/linux/utils/cryptsetup/v2.8/,https://gitlab.com/cryptsetup/cryptsetup/-/tree/v2.8.6/man,sources/raw/cryptsetup/,120262,78879ad06fc4fd6acb0072820951c8b54964217363819dfd47bf7c4c23217299,"SHA-256 of sorted ""sha256  relative-path\n"" directory manifest",cryptsetup COPYING retained in sources/licenses,selected byte-preserved manual sources; release tarball not embedded,Selected then-current stable 2.8.6. The official archive also listed 2.8.7-rc2 dated 2026-07-10; pre-release material was not used as the baseline.
SYSTEMD-CRYPTTAB-261.1,systemd crypttab(5) source,systemd project,v261.1; tag commit eff9446d505d62c075bed37d606860b38cfe51fb; man/crypttab.xml blob SHA-1 38ba4ceafbe80aead3025bc0866a3573a0a36ad5,2026-06-26,2026-07-18,https://www.freedesktop.org/software/systemd/man/261/crypttab.html,https://github.com/systemd/systemd/blob/v261.1/man/crypttab.xml,sources/raw/systemd/crypttab-v261.1-DERIVED-EXTRACT.txt,1949,277c1b28893476bfbb5bd5be874f11a57d452d019fd0531dcdc7b05196c9c2c1,file bytes,LGPL-2.1-or-later SPDX identifier in source; LGPL text retained,reference plus derivative extract; raw XML not byte-preserved,Material archival limitation; see derivative extract.
NIST-SP800-38D,NIST SP 800-38D — GCM and GMAC,National Institute of Standards and Technology,"NIST SP 800-38D, final",2007-11,2026-07-18,https://doi.org/10.6028/NIST.SP.800-38D,https://doi.org/10.6028/NIST.SP.800-38D,sources/raw/nist/NIST.SP.800-38D.pdf,271960,d99f3921ccebca049e7522426553aba071dae14ec3d5b6041e8c111a6cb57bba,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,The 2007 publication remains the final SP 800-38D. NIST listed a second pre-draft call for comments for Rev. 1 dated 2026-06-01; it is not treated as a final standard here.
NIST-SP800-38E,NIST SP 800-38E — XTS-AES for confidentiality on storage devices,National Institute of Standards and Technology,"NIST SP 800-38E, final",2010-01,2026-07-18,https://doi.org/10.6028/NIST.SP.800-38E,https://doi.org/10.6028/NIST.SP.800-38E,sources/raw/nist/NIST.SP.800-38E.pdf,68990,b43ed11fd9f85bf06aa3a6e54206da361a3d02eb09da6974b80eb1b3e1803342,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-SP800-57P1R5,NIST SP 800-57 Part 1 Revision 5 — Key Management,National Institute of Standards and Technology,"NIST SP 800-57 Part 1 Rev. 5, final",2020-05,2026-07-18,https://doi.org/10.6028/NIST.SP.800-57pt1r5,https://doi.org/10.6028/NIST.SP.800-57pt1r5,sources/raw/nist/NIST.SP.800-57pt1r5.pdf,1688080,cc32391022c1382ac7c91490f6bcc8838e0f889925270da23ef4e800e2ecb7ad,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-SP800-88R2,NIST SP 800-88 Revision 2 — Guidelines for Media Sanitization,National Institute of Standards and Technology,"NIST SP 800-88 Rev. 2, final",2025-09,2026-07-18,https://doi.org/10.6028/NIST.SP.800-88r2,https://doi.org/10.6028/NIST.SP.800-88r2,sources/raw/nist/NIST.SP.800-88r2.pdf,983677,39bb805c72723ed74f08e5806cd8463ca2554a62abb4f97b9d19c0398a8a7c55,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-SP800-108R1U1,NIST SP 800-108 Revision 1 Update 1 — KDFs using PRFs,National Institute of Standards and Technology,NIST SP 800-108 Rev. 1 Update 1; updates through 2024-02-02,2022-08 / updated 2024-02-02,2026-07-18,https://doi.org/10.6028/NIST.SP.800-108r1-upd1,https://doi.org/10.6028/NIST.SP.800-108r1-upd1,sources/raw/nist/NIST.SP.800-108r1-upd1.pdf,745462,7f7603e92a69590acd4330a5c6193b6b3093b87a5387b124a1050f4d25a10e07,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-SP800-90AR1,NIST SP 800-90A Revision 1 — Deterministic Random Bit Generators,National Institute of Standards and Technology,"NIST SP 800-90A Rev. 1, final",2015-06,2026-07-18,https://doi.org/10.6028/NIST.SP.800-90Ar1,https://doi.org/10.6028/NIST.SP.800-90Ar1,sources/raw/nist/NIST.SP.800-90Ar1.pdf,2417007,d58e3dac4aaa5971c9a6a20a9bd5c13e2f1930cd1a199c0c00f768e7327355e2,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-SP800-111,NIST SP 800-111 — Guide to Storage Encryption Technologies for End User Devices,National Institute of Standards and Technology,"NIST SP 800-111, final",2007-11,2026-07-18,https://doi.org/10.6028/NIST.SP.800-111,https://doi.org/10.6028/NIST.SP.800-111,sources/raw/nist/NIST.SP.800-111.pdf,224366,cbee78e499681f636f5021cd1ef5f55968ed7000af402189ed330ee7591cfb48,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-SP800-133R2,NIST SP 800-133 Revision 2 — Cryptographic Key Generation,National Institute of Standards and Technology,"NIST SP 800-133 Rev. 2, final",2020-06,2026-07-18,https://doi.org/10.6028/NIST.SP.800-133r2,https://doi.org/10.6028/NIST.SP.800-133r2,sources/raw/nist/NIST.SP.800-133r2.pdf,543589,11384a58e3036382b7d7bd45d6e9e8dec5c8c3de43c73ed18edcb59cea3f8bbb,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
NIST-FIPS180-4,FIPS 180-4 — Secure Hash Standard,National Institute of Standards and Technology,FIPS 180-4,2015-08,2026-07-18,https://doi.org/10.6028/NIST.FIPS.180-4,https://doi.org/10.6028/NIST.FIPS.180-4,sources/raw/nist/NIST.FIPS.180-4.pdf,833315,0455b406d89648d20cbde375561e19c245b9815e894164c2670772e3d54deb82,file bytes,Document-embedded NIST notices; no blanket relicensing claim by this bundle,byte-preserved final publication PDF plus text extract,
