claim_id,claim_label,literal_claim,evidence,confidence,human_decision
CL-001,PRIMARY-REPO-LICENSE-TEXT,ROCmFPX and CachyLLama root LICENSE blobs are byte-identical MIT texts at the exact commits.,LICENSE blob e7dca554... exact-byte captures,high,Determine file exceptions and scope over exact local tree.
CL-002,PRIMARY-REPO-LICENSE-TEXT,llama-ai root LICENSE blob is GPLv3 text; sampled operational files say GPL-3.0-or-later.,LICENSE f288702d...; sampled SPDX blobs,high,Determine release combination and corresponding-source method.
CL-003,PRIMARY-REPOSITORY-ASSERTION,llama-ai README separately labels documentation CC-BY-NC-SA-4.0.,README cb8f9dee...,high for assertion; file-level scope not exhaustively tested,Classify exact proposed documentation files and intended distribution context.
CL-004,PRIMARY-GITLINK-PIN,llama-ai at 1017f3d pins CachyLLama commit 6be7459 via a gitlink and .gitmodules entry.,commit diff + .gitmodules c73a9ad...,high,Determine combined/aggregate release treatment.
CL-005,PRIMARY-FILE-SPDX,Both MIT repositories contain representative Apache-2.0 and Apache-2.0 WITH LLVM-exception file sections.,SYCL/OpenVINO exact file blobs,high,Complete full-tree scan and notice bundle.
CL-006,UNRESOLVED-NOTICE-GAP,CachyLLama lacks a root THIRD_PARTY_NOTICES.md at the exact commit.,exact path lookup returned absent,high,Generate a complete notice file before release.
CL-007,PRIMARY-GENERATION-RECIPE,ROCmFPX Web UI assets can be built or downloaded and embedded into generated C++ headers.,CMake/workflow/xxd/package blobs,high,Choose pinned local build vs blocked bucket binary and complete dependency notices.
CL-008,UNRESOLVED-LICENSE,Checked-in chat templates and generated tokenizer assets are not proven MIT by repository location alone.,"mutable-main extraction script, missing template source header, external tokenizer inputs",high as a provenance gap,Identify exact sources/licenses and permission.
CL-009,BLOCKED-HUMAN-PERMISSION,Local model fixture paths do not identify exact publisher/quantizer/revision/license/hash.,fixture scripts and path names,high,Obtain permission or exact licensed source record.
CL-010,REFERENCE-ONLY,"GPL behavior, command names, interfaces, performance facts, and requirements may be documented separately from copying GPL expression, subject to human clean-room design.",operational scripts + clean-room protocol in this dossier,"methodological, not a legal conclusion",Approve role separation and admissibility.
CL-011,REGENERATE-WITH-PINNED-SOURCE,"Generated files may be independently regenerated only when all inputs, licenses, revisions, tools, and output hashes are recorded.",generation recipes + SLSA/SPDX guidance,high as release control,Approve exact inputs and build.
CL-012,NOASSERTION,"This dossier is an external-evidence seed, not the local full-tree or proposed-artifact scan.",scope and limitations,high,Perform local twelve-package/exact release scan.
