id,category,feature,decision,portability,maturity,source_repositories,source_commits,target_overlap,rationale,risks,evidence,evidence_urls
F-001,Persistent SSD-backed KV cache,Process-restart-persistent sequence cache,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,"ROCmFPX has disk prompt-cache spill, but its owned namespace is deliberately removed on shutdown.",Add an explicit persistent mode to the existing ROCmFPX cache engine rather than replacing its tested run-scoped mode.,"Crash consistency, stale format detection, tenant confidentiality, and restart index integrity.",E-030 | E-031 | E-068,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/include/llama.h
F-002,Persistent SSD-backed KV cache,Hot/warm/cold checkpoint tiers,REDESIGN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,"ROCmFPX currently has RAM plus bounded disk entries, not the same three-tier policy.","Preserve the policy objective but implement one budgeted cache with explicit residency state, pressure feedback, and testable promotion/demotion.",Source defaults and parent overrides disagree; auto budgeting is not cgroup-aware.,E-030 | E-037 | E-039,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-003,Persistent SSD-backed KV cache,Target + draft + speculative state record,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already persists target/draft pairs and stateful MTP metadata.,Unify record metadata and validation with ROCmFPX's existing target/draft/state_spec representation.,Partial component restores must never be treated as a complete hit.,E-030 | E-063 | E-067,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-ssd-cache.cpp
F-004,Persistent SSD-backed KV cache,Bounded chunk I/O,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has robust file commit handling but can reuse a bounded transfer helper where its serialization path benefits.,Port the chunk-loop concept behind the target's current I/O abstraction and preserve its fault injection.,Short reads/writes and cancellation paths require tests.,E-032 | E-033,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h
F-005,Persistent SSD-backed KV cache,Optional fsync durability,REDESIGN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already flushes files and directories in its tested commit path.,Represent durability as an explicit strict/relaxed policy and retain ROCmFPX's atomic pair commit.,"CachyLlama writes directly to final names, so fsync alone does not make metadata publication atomic.",E-023 | E-034,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-006,Persistent SSD-backed KV cache,Checkpoint compatibility fingerprint,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already validates state shape and file integrity but needs a stable restart-persistence namespace key.,"Define a versioned fingerprint covering model identity, context layout, KV types, backend-relevant serialization version, and draft/MTP shape.",Under-specified fingerprints can load semantically incompatible state.,E-038 | E-040 | E-060,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h
F-007,Persistent SSD-backed KV cache,Checkpoint token-prefix metadata,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX's in-memory disk index already tracks complete prompt token vectors for the current run.,"Persist a compact, versioned token index or manifest in persistent mode; verify candidate tokens against the loaded file before accepting.",A 4096-token metadata prefix cannot prove equality for longer prompts by itself.,E-030 | E-040,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h
F-008,Persistent SSD-backed KV cache,Cold checkpoint count limit,RETAIN,High,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already enforces a byte limit and LRU eviction.,Retain count as a secondary guard only; use byte quotas as the primary policy.,Count-only limits behave poorly across models with very different state sizes.,E-037 | E-037,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-009,Persistent SSD-backed KV cache,Automatic hot/warm RAM sizing,REDESIGN,Medium,M1,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX already has an explicit RAM cache limit.,Keep explicit limits authoritative; optional auto mode must use MemAvailable/cgroup limits and reserve headroom for model/runtime pressure.,Current free-RAM calculation can overcommit and is not container-aware.,E-039,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
F-010,Persistent SSD-backed KV cache,Platform read-ahead/prefetch,RETAIN,Medium,M2,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,ROCmFPX has no documented persistent prefetch layer.,Add as an optional optimization after correctness and persistence land; measure hit rate and I/O amplification.,Prefetch may evict useful page cache or waste I/O on low-confidence candidates.,E-033 | E-042,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-posix.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp
