CAPTURE_TYPE: normalized rendered model-card option table
CLAIM_LABEL: [CONVERTER]
ACCESS_DATE: 2026-07-18
REPOSITORY: unsloth/MiniMax-M2.7-GGUF
REVISION: 04ab68de18da5486aa9869e3bc72f0249ef51f89
IMMUTABLE_URL: https://huggingface.co/unsloth/MiniMax-M2.7-GGUF/blob/04ab68de18da5486aa9869e3bc72f0249ef51f89/README.md
SIZE_SEMANTICS: rounded converter UI values; not exact bytes
SELECTED: UD-Q6_K_XL

QUANTIZATION	DISPLAY_SIZE	SELECTED
UD-IQ1_M	60.7 GB	FALSE
UD-IQ2_XXS	65.4 GB	FALSE
UD-IQ2_M	70.1 GB	FALSE
UD-Q2_K_XL	75.3 GB	FALSE
UD-IQ3_XXS	80.1 GB	FALSE
UD-IQ3_S	83.6 GB	FALSE
UD-Q3_K_S	93.6 GB	FALSE
UD-Q3_K_M	101 GB	FALSE
UD-Q3_K_XL	102 GB	FALSE
UD-IQ4_XS	108 GB	FALSE
UD-Q4_K_S	131 GB	FALSE
MXFP4_MOE	136 GB	FALSE
UD-IQ4_NL	111 GB	FALSE
UD-Q4_K_M	140 GB	FALSE
UD-Q4_K_XL	141 GB	FALSE
UD-Q5_K_S	159 GB	FALSE
UD-Q5_K_M	169 GB	FALSE
UD-Q5_K_XL	169 GB	FALSE
UD-Q6_K	188 GB	FALSE
UD-Q6_K_XL	207 GB	TRUE
Q8_0	243 GB	FALSE
UD-Q8_K_XL	247 GB	FALSE
BF16	457 GB	FALSE

NOTE: Availability in the converter repository is not evidence of target-machine loadability, operator correctness, quality, or performance.
