claim_id,label,lane,claim,status,source_ids,decision_effect
C001,[DOCUMENTED_SUPPORT],7.14-core-sdk,gfx1151 Ryzen APUs are listed in the ROCm 7.14.0 hardware selector.,supported-by-source,"[""S001"", ""S004""]",candidate hardware identity established
C002,[DOCUMENTED_SUPPORT],7.14-core-sdk,The current Ubuntu bounds for Ryzen APUs are Ubuntu 26.04 with GA kernel 7.0 or Ubuntu 24.04.4 with HWE kernel 6.17.,supported-by-source,"[""S001""]",candidate OS/kernel boundary
C003,[DOCUMENTED_SUPPORT],7.14-core-sdk,The supported Ryzen driver is the inbox kernel driver supplied by the supported Ubuntu release.,supported-by-source,"[""S001"", ""S003""]",do not substitute a data-center amdgpu package version
C004,[PREVIEW_AVAILABILITY],7.14-core-sdk,AMD explicitly describes Core SDK 7.14.0 as a preview release built with TheRock.,supported-by-source,"[""S002""]","candidate lane, not control baseline"
C005,[NOT_RELEASE_READY],7.14-core-sdk,TheRock gfx1151 status records build and sanity success but no Release Ready mark.,supported-by-source,"[""S008""]",promotion gate remains closed
C006,[MATURITY_CONFLICT],7.14-core-sdk,The compatibility matrix documents supported devices while TheRock project status remains preview/not-release-ready; both statements must be retained.,reasoned-from-sources,"[""S001"", ""S002"", ""S008""]",support availability does not imply production maturity
C007,[LANE_BOUNDARY],cross-lane,Legacy ROCm installs under /opt/rocm with rocm-/roc-/hip- package names; Core SDK uses /opt/rocm/core and amdrocm- names.,supported-by-source,"[""S002""]",prevent path and package mixing
C008,[DOCUMENTED_SUPPORT],cross-lane,AMD states Core SDK 7.14.0 maintains ABI and API compatibility with legacy 7.2 releases.,supported-by-source,"[""S002""]",compatibility claim does not waive lane isolation
C009,[SOURCE_PIN],7.14-core-sdk,TheRock therock-7.14 resolves to commit 418cd5f63abb7a604bad5874cd7b2e29334e640f.,supported-by-source,"[""S007""]",candidate source root pin
C010,[SOURCE_PIN],7.14-core-sdk,TheRock top-level rocm-libraries gitlink is cd9574023093742434e8c992d13b89ab9a6c1cf8 and rocm-systems gitlink is 2b22ab0195cc1461cd9abf3b969e9dd7c10af350.,supported-by-source,"[""S007""]",candidate component super-repository pins
C011,[UNVERIFIED_SIGNATURE_STATUS],7.14-core-sdk,The cryptographic signature status of the TheRock tag/commit was not verified in this capture.,open-gap,"[""S007""]",verify tag/commit provenance before promotion
C012,[DOCUMENTED_SUPPORT],7.14-core-sdk,The exact gfx1151 tarball URL is https://repo.amd.com/rocm/tarball-multi-arch/therock-dist-linux-gfx1151-7.14.0.tar.gz.,supported-by-source,"[""S003""]",candidate fetch target frozen
C013,[PROVENANCE_GAP],7.14-core-sdk,No AMD-published detached checksum or detached signature for the stable gfx1151 tarball was located in the captured install/index material.,open-gap,"[""S003"", ""S020""]",raw tarball is non-promotable until independently authenticated
C014,[SIGNED_REPOSITORY_METADATA],7.14-core-sdk,AMD documents a GPG key and signed-by APT repository configuration for stable multi-architecture packages.,supported-by-source,"[""S003""]",prefer native packages for a signed-metadata candidate
C015,[SBOM_NOT_LOCATED],7.14-core-sdk,The embedded therock_manifest.json records source pins and patches; it is not a complete SBOM. No AMD artifact SBOM was located for the stable tarball.,open-gap,"[""S009"", ""S011""]",generate and retain an acquisition-time SBOM
C016,[DOCUMENTED_SUPPORT],7.14-core-sdk,"The tarball is a flattened SDK with bin, lib, include, share and .kpack content and requires explicit environment setup.",supported-by-source,"[""S009"", ""S003""]",capture root-relative compiler/device-library paths
C017,[SOURCE_PIN],7.2-legacy,ROCm/ROCm rocm-7.2.4 resolves to e0b62c25d8ea39473a7208c1c8995f1b5c2e277c.,supported-by-source,"[""S014""]",legacy source umbrella pin
C018,[SOURCE_PIN],7.2-legacy,"rocm-systems, rocm-libraries and llvm-project 7.2.4 source roots are pinned to 97f5574fe2fdc7bef44fb01545347912ee9f1779, dabb6df2b988f8eabed1e2fecefaaf4e818bc7ef and f58b06dce1f9c15707c5f808fd002e18c2accf7e.",supported-by-source,"[""S014""]",legacy component source roots
C019,[PROVENANCE_GAP],7.2-legacy,The rocm-7.2.4 default.xml still defaults projects to rocm-7.2.0 and is not a patch-level 7.2.4 lockfile.,supported-by-source,"[""S014""]",do not reproduce 7.2.4 from default.xml alone
C020,[PREVIEW_AVAILABILITY],7.2-legacy,The 7.2 Ryzen matrix marks Ubuntu 24.04.3 support as preliminary via the Ubuntu 24.04.2 installer.,supported-by-source,"[""S005""]",legacy control has platform qualification caveat
C021,[DOCUMENTED_SUPPORT],7.2-legacy,"The 7.2 Ryzen matrix lists gfx1151 and a PyTorch 2.9 / ROCm 7.2 / Python 3.12 configuration as official production support, with only FP16 officially validated.",supported-by-source,"[""S005""]",framework statement is narrower than blanket stack maturity
C022,[LANE_BOUNDARY],7.2-legacy,ROCm 7.2.4 is an Instinct-focused quality patch and does not independently re-qualify the Ryzen platform matrix.,reasoned-from-sources,"[""S005"", ""S006""]",use 7.2 Ryzen matrix for APU platform claims
C023,[LOCAL_COMPARISON_ONLY],local,"The installed two-node tuple captured 2026-07-17 is ROCm packages 7.2.4, Mesa 26.1.4 and kernel 7.1.3.",user-provided,"[""S021""]",comparison only; no official qualification inference
C024,[UNVERIFIED_COMBINATION],local,Kernel 7.1.3 is outside the documented 7.14 Ryzen Ubuntu matrix and the local tuple is not an official 7.14 qualification.,reasoned-from-sources,"[""S001"", ""S021""]",do not promote local tuple as baseline
C025,[DOCUMENTATION_DRIFT],7.14-core-sdk,A 7.14 release-note minimum referring to Ubuntu 24.04 OEM kernel 6.14.0-1018 or newer differs from the current compatibility matrix requirement of Ubuntu 24.04.4 HWE 6.17.,source-conflict,"[""S001"", ""S004""]",matrix governs qualification; retain drift record
C026,[PROVENANCE_GAP],kernel-firmware,No gfx1151-specific linux-firmware package version or per-blob digest is fixed by the current ROCm Ryzen matrix.,open-gap,"[""S001"", ""S003""]",capture distro package and firmware blob hashes locally
C027,[KNOWN_ISSUE],kernel-firmware,Incorrect gfx1151 KFD CWSR sizing can hang ROCm; fixes were upstreamed in 6.19-rc1 and backported to OEM/HWE lines.,supported-by-source,"[""S017"", ""S018""]",verify both KFD fixes in any selected kernel
C028,[SOURCE_PIN],kernel-firmware,The matching ROCm userspace commit cited by the KFD SRU is 0a2ea9ef55403341a43df4c96dd946c4641a7f79.,supported-by-source,"[""S017""]",retain kernel/userspace coupling evidence
C029,[LANE_BOUNDARY],mesa-radv,Mesa/RADV is a graphics/Vulkan overlay and is not the HIP/HSA compute qualification source of truth.,architectural-classification,"[""S001"", ""S019""]",pin and test separately
C030,[SOURCE_PIN],mesa-radv,Mesa 26.1.4 source tarball SHA-256 is 072705caa9adf4740f1489194b13e278ad959166863b5271fe423a86353c9ab6.,supported-by-source,"[""S019""]",local graphics overlay source can be reproduced
C031,[KNOWN_ISSUE],7.14-core-sdk,Some gfx1151 profiler counters/derived metrics are zero or incorrect because TCP_REQ_sum is zero and max_mclk is not auto-populated.,supported-by-source,"[""S004""]",exclude affected metrics or apply documented correction
C032,[KNOWN_ISSUE],7.14-core-sdk,RDNA3/Ryzen AI MAX LLM inference can underperform; AMD documents TORCH_BLAS_PREFER_HIPBLASLT=1 as a workaround for affected PyTorch versions.,supported-by-source,"[""S004""]",record performance environment explicitly
C033,[KNOWN_ISSUE],7.14-core-sdk,RCCL 64–512 MB multi-node operations can underperform and AMD documents disabling fault injection as a workaround.,supported-by-source,"[""S004""]",multi-node qualification must include affected message sizes
C034,[DOCUMENTED_SUPPORT],7.14-core-sdk,"RCCL 2.30.4 is listed for Linux on Instinct, Radeon and Ryzen.",supported-by-source,"[""S001"", ""S004""]",RCCL belongs in candidate component set
C035,[LANE_BOUNDARY],7.14-core-sdk,"amdrocm-ccl packages primitives (rocPRIM, rocThrust, hipCUB); RCCL is separately packaged as amdrocm-rccl.",supported-by-source,"[""S002"", ""S012""]",avoid collective package-name confusion
C036,[DOCUMENTED_SUPPORT],usb4stream,"linux-next documentation describes USB4STREAM through thunderbolt-stream, ConfigFS and /dev/tbstreamX, with multiple streams and coexistence with thunderbolt-net.",supported-by-source,"[""S016""]",feature has an upstream candidate interface
C037,[PLAUSIBLE_SEPARATE_CANDIDATE],usb4stream,"At capture, stable Linux was 7.1.3 while 7.2 was at rc3 and linux-next was next-20260717; a Linux 7.2 USB4STREAM lane is therefore candidate-only.",reasoned-from-sources,"[""S015"", ""S016""]","test as a kernel overlay, not baseline"
C038,[UNVERIFIED_COMBINATION],usb4stream,No official AMD qualification was located for gfx1151 ROCm with a Linux 7.2-rc/USB4STREAM kernel.,open-gap,"[""S001"", ""S015"", ""S016""]",local two-node qualification required
C039,[DO_NOT_MIX],cross-lane,"Do not combine 7.2 legacy packages, 7.14 amdrocm packages, tarball libraries, compilers or device-library/resource trees in one runtime namespace.",control-rule,"[""S002"", ""S003""]",fail build on mixed provenance
C040,[LICENSE_INVENTORY_PARTIAL_UNTIL_ARTIFACT_SCAN],7.14-core-sdk,A complete license/notice inventory cannot be closed without the acquired package/tarball bytes and exact bundled system-dependency set.,open-gap,"[""S009"", ""S012"", ""S013""]",artifact scan is a promotion gate
