claim_id,label,claim,scope,evidence_ids,applicability,machine_evidence,confidence
C001,[SOURCE_IMPLEMENTATION],Active RCCL authority is the `projects/rccl` subtree of `ROCm/rocm-systems`; the standalone repository is retired for active development but retains release tags.,authority,AUTHORITY,Use monorepo for current source semantics; use tags for historical lanes.,No,high
C002,[SOURCE_IMPLEMENTATION],The final observed active head is `801a9ca2…`; critical RCCL blobs were identical to the fully inspected base `3dddea138…`.,active develop,AUTHORITY; SRC-ACTIVE-VERSION; SRC-ACTIVE-SOCKET; SRC-ACTIVE-API; DOC-ACTIVE-FAULT,Makes the snapshot internally consistent despite a moving monorepo branch.,No,high
C003,[SOURCE_IMPLEMENTATION],Active RCCL identifies itself as version 2.30.4 with package revision 1.,active develop,SRC-ACTIVE-VERSION,Do not project this API surface onto release 2.27.7.,No,high
C004,[NORMATIVE_DOC],ROCm 7.2.1 through 7.2.4 map to RCCL 2.27.7 in the audited release documentation.,ROCm 7.2.x,DOC-ROCM-LANES,Treat 7.2.x failure semantics and plugin ABI as 2.27.7 unless the installed library proves otherwise.,Verify installed library,high
C005,[SOURCE_IMPLEMENTATION],"The `rocm-7.2.1`, `rocm-7.2.2`, `rocm-7.2.3`, and `rocm-7.2.4` standalone tags resolve to commit `96a25b5…` in the captured tag lookup.",ROCm 7.2.x,DOC-ROCM-LANES,Exact source pin for release-line audit.,No,high
C006,[NORMATIVE_DOC],ROCm 7.1.1 maps to RCCL 2.27.7 and tag commit `bf3ebf54…`.,ROCm 7.1.1,DOC-ROCM-LANES,Same component version does not imply identical tag commit or packaging.,Verify installed library,high
C007,[NORMATIVE_DOC],ROCm 7.0.2 maps to RCCL 2.26.6 and tag commit `01dfdacf…`.,ROCm 7.0.2,DOC-ROCM-LANES,Older ABI/API behavior requires separate validation.,Verify installed library,high
C008,[NORMATIVE_DOC],ROCm 6.4.3 maps to RCCL 2.22.3 and tag commit `2f7ac66c…`.,ROCm 6.4.3,DOC-ROCM-LANES,Older lane; do not assume 2.27/2.30 features.,Verify installed library,high
C009,[NORMATIVE_DOC],"ROCm 7.2 lists gfx1151/Ryzen AI Max+ 395 platform and PyTorch support, but that matrix is not an RCCL multi-node validation.",platform,DOC-RYZEN-GFX1151,Platform enablement is necessary but insufficient for this experiment.,Yes,high
C010,[MAINTAINER_STATEMENT],"Merged PR #3415 added gfx1151 support, but its stated validation was one gfx1151 GPU and explicitly left multi-GPU/multi-node validation pending.",active develop,PR-3415,Strong enablement evidence; explicit distributed-test gap.,Yes,high
C011,[MAINTAINER_REPORTED_MACHINE_EVIDENCE],Merged PR #4875 reports 1–4 Strix Halo nodes over a 10 Gbps Ethernet switch executing RCCL without failure.,active develop,PR-4875,"Relevant to generic Ethernet, not the requested USB4 socket topology.",Independent reproduction required,medium
C012,[NEGATIVE_EVIDENCE],No audited upstream test or maintainer report exactly identifies two Strix Halo hosts using Linux Ethernet-over-USB4 sockets.,target topology,TEST-RCCL-TESTS-MPI; TEST-NET-SOCKET-UNIT; ISSUE-2788; PR-4875,Absence in audited sources is not proof of impossibility.,Yes,medium
C013,[NORMATIVE_DOC],RCCL exposes standard multi-node collectives and direct send/receive over TCP/IP sockets.,cross-version,DOC-ROCM-LANES; TEST-RCCL-TESTS-MPI,Provides the standard collective baseline.,Yes for target pair,high
C014,[SOURCE_IMPLEMENTATION],Stock Socket advertises only `NCCL_PTR_HOST` and identifies itself as a host network device.,active and 2.27.7,SRC-ACTIVE-SOCKET; SRC-STABLE-SOCKET,Data reaching the socket path is host-addressable/staged under the inspected implementation.,No,high
C015,[SOURCE_IMPLEMENTATION],Stock Socket memory registration rejects pointer types other than `NCCL_PTR_HOST`.,active and 2.27.7,SRC-ACTIVE-SOCKET; SRC-STABLE-SOCKET,A device pointer cannot be registered directly with stock Socket.,No,high
C016,[SOURCE_IMPLEMENTATION],Stock Socket exports a null DMA-BUF registration callback and a flush routine that says device pointers are unsupported.,active and 2.27.7,SRC-ACTIVE-SOCKET; SRC-STABLE-SOCKET,DMA-BUF core support does not activate a Socket DMA-BUF path.,No,high
C017,[MACHINE_EVIDENCE_REQUIRED],There is no source or documentation basis to claim GPU-direct over ordinary Ethernet-over-USB4 using stock Socket.,target topology,SRC-ACTIVE-SOCKET; SRC-STABLE-SOCKET,Any direct path would require a different provider/plugin and measurement.,Yes,high
C018,[NORMATIVE_API],"`NCCL_SOCKET_IFNAME` can force, include, or exclude interfaces; exact matching and prefix rules are documented.",socket,SRC-ACTIVE-INTERFACE; DOC-ACTIVE-ENV,Use exact interface selection in the experiment harness.,Verify log,high
C019,[NORMATIVE_API],`NCCL_SOCKET_FAMILY` can force IPv4 or IPv6.,socket,SRC-ACTIVE-INTERFACE; DOC-ACTIVE-ENV,Remove address-family ambiguity.,Verify log,high
C020,[SOURCE_IMPLEMENTATION],"Without an explicit interface, auto-selection tries IB, a `NCCL_COMM_ID` subnet hint, non-docker/non-loopback/non-virbr interfaces, then docker, loopback, and virbr.",active socket,SRC-ACTIVE-INTERFACE,Auto-selection can choose an unintended interface; pin it.,Verify log,high
C021,[SOURCE_IMPLEMENTATION],A remote socket close is translated to `ncclRemoteError` in the inspected socket progress path.,active socket,SRC-ACTIVE-INTERFACE,Suitable failure-injection assertion.,Yes,high
C022,[SOURCE_IMPLEMENTATION],Socket retry count/sleep/poll parameters govern connection/progress behavior; they are not a documented universal collective deadline.,active socket,SRC-ACTIVE-INTERFACE; TEST-ACTIVE-TIMEOUT,Do not equate setup retry settings with end-to-end operation timeout.,Yes,high
C023,[NEGATIVE_EVIDENCE],No transparent reconnection of an already failed RCCL peer connection was found in the audited API/docs/source.,cross-version,DOC-ACTIVE-FAULT; SRC-ACTIVE-API; SRC-STABLE-API,Recovery is application-driven abort/recreate or active-version shrink/grow/revoke.,Failure test required,medium-high
C024,[SOURCE_IMPLEMENTATION],RCCL topology discovery builds a node-local graph from GPU/PCI/CPU/NIC/NET data and plugin properties such as `pciPath`.,topology,SRC-STABLE-TOPOLOGY; DOC-ACTIVE-NET-PLUGIN,Linux device ancestry affects transport scoring.,Inspect XML/logs,high
C025,[INFERENCE],"An Ethernet-over-USB4 interface may expose useful sysfs ancestry or no PCI path, but RCCL does not infer the physical remote USB4 cable topology from the IP interface.",target topology,SRC-STABLE-TOPOLOGY; DOC-ACTIVE-NET-PLUGIN,Expect local NIC/topology metadata only.,Inspect both hosts,medium-high
C026,[SOURCE_IMPLEMENTATION],"In 2.27.7, public communicator registration exists, but `NCCL_LOCAL_REGISTER` defaults off and the implementation returns a null handle when disabled.",2.27.7,SRC-STABLE-REGISTER,Do not treat `ncclCommRegister` presence as proof of an active optimized path.,Verify runtime config,high
C027,[SOURCE_IMPLEMENTATION],"2.27.7 contains conditional ROCr DMA-BUF export plumbing gated by environment, ROCr capability/symbol checks, and kernel support.",2.27.7,SRC-STABLE-DMABUF,"This is core capability plumbing, not a transport-specific success statement.",Yes,high
C028,[SOURCE_IMPLEMENTATION],Enabling `NCCL_DMABUF_ENABLE` alone cannot make stock Socket use DMA-BUF because the Socket registration callback is null.,2.27.7,SRC-STABLE-DMABUF; SRC-STABLE-SOCKET,Separates environment enablement from actual provider path.,No,high
C029,[NORMATIVE_API],Active RCCL’s current Net ABI is v12 and its header carries compatibility definitions for v6 through v12.,active develop,SRC-ACTIVE-PLUGIN-HEADER,A new plugin should target the exact built RCCL ABI and exported symbol.,ABI test required,high
C030,[NORMATIVE_API],RCCL 2.27.7’s current Net ABI is v10 and its header carries v6 through v10.,2.27.7,SRC-STABLE-PLUGIN-HEADER,A v12-only plugin is not a valid 2.27.7 assumption.,ABI test required,high
C031,[SOURCE_IMPLEMENTATION],"The loader probes versioned plugin symbols, loads libraries selected by `NCCL_NET_PLUGIN`, and can select the network name through communicator config/`NCCL_NET`.",active and 2.27.7,SRC-ACTIVE-PLUGIN-LOADER; SRC-STABLE-PLUGIN-LOADER,Adapter must control both library and network-name selection and capture logs.,Yes,high
C032,[NORMATIVE_API],"The v12 Net ABI defines properties, nonblocking connect/accept, memory registration including DMA-BUF, asynchronous send/receive/test, flush, teardown, and optional device-offload hooks.",active develop,SRC-ACTIVE-PLUGIN-V12,This is the documented abstraction boundary for a custom transport.,Conformance tests required,high
C033,[INFERENCE],"A hypothetical USB4STREAM plugin must implement the exact ABI lifecycle, progress, registration, visibility/flush, ordering, error, and teardown contract for the target RCCL version.",custom transport,SRC-ACTIVE-PLUGIN-V12; SRC-ACTIVE-PLUGIN-HEADER; SRC-STABLE-PLUGIN-HEADER,Transport bandwidth alone is insufficient.,Yes,high
C034,[NORMATIVE_API],Multi-process communicator creation uses a unique ID generated once and distributed out of band to every rank before `ncclCommInitRank`.,cross-version,SRC-ACTIVE-API; SRC-STABLE-API,Adapter needs an explicit rendezvous/control channel.,Yes,high
C035,[NORMATIVE_API],Active 2.30.4 has `ncclTimeout`; stable 2.27.7 does not define that result code.,version boundary,SRC-ACTIVE-API; SRC-STABLE-API,Do not backport active timeout expectations to 7.2.x.,No,high
C036,[NORMATIVE_API],Nonblocking communicator progress and failures are polled through `ncclCommGetAsyncError`.,cross-version,SRC-ACTIVE-API; SRC-STABLE-API; DOC-ACTIVE-FAULT,Harness should avoid an unbounded stream synchronize after peer failure.,Yes,high
C037,[NORMATIVE_API],`ncclCommAbort` aborts in-progress calls and destroys the communicator; active docs require nonblocking mode and no thread inside RCCL when abort is invoked.,cross-version / active guidance,SRC-ACTIVE-API; SRC-STABLE-API; DOC-ACTIVE-FAULT,Test coordinated teardown and resource cleanup.,Yes,high
C038,[NORMATIVE_API],"Active 2.30.4 adds communicator revoke, preserving a parent for later recovery while making aborted outputs undefined.",active develop,SRC-ACTIVE-API; DOC-ACTIVE-FAULT; TEST-ACTIVE-REVOKE,Potential active-lane failure experiment only.,Yes,high
C039,[NORMATIVE_API],"Active 2.30.4 documents shrink and grow, with single-use out-of-band grow IDs and quiescence requirements.",active develop,SRC-ACTIVE-API; DOC-ACTIVE-FAULT; TEST-ACTIVE-GROW,Application still coordinates survivor/replacement membership.,Yes,high
C040,[NORMATIVE_API],Stable 2.27.7 has shrink but no revoke or grow declaration in the audited public header.,2.27.7,SRC-STABLE-API,7.2.x recovery matrix is smaller than active develop.,Yes,high
C041,[INFERENCE],RCCL does not provide automatic rank replacement or transparent communicator resurrection; the application must create a new usable communicator.,cross-version,DOC-ACTIVE-FAULT; SRC-ACTIVE-API; SRC-STABLE-API,Design an explicit reinitialization state machine.,Yes,high
C042,[UPSTREAM_TEST],"RCCL Tests can run multi-node through MPI and sweep standard collectives, but the suite is topology-agnostic.",tests,TEST-RCCL-TESTS-MPI,Use it for correctness/performance after bring-up.,Yes,high
C043,[UPSTREAM_TEST],"`NetSocketTests.cpp` validates local threaded Socket behavior, not two physical hosts.",tests,TEST-NET-SOCKET-UNIT,Do not count it as target topology evidence.,No,high
