id,title,publisher,url,type,classification,scope,key_claims,accessed
AMD-CORE-714,ROCm 7.14 compatibility matrix,AMD ROCm Documentation,https://rocm.docs.amd.com/en/latest/compatibility/compatibility-matrix.html,official-support-matrix,official,"ROCm Core SDK hardware, OS, and component compatibility",gfx1151 is listed as a supported Ryzen GPU target for ROCm 7.14 Core SDK.; Ubuntu 26.04 GA kernel 7.0 and Ubuntu 24.04.4 HWE kernel 6.17 are listed with the inbox kernel driver.; ROCm/HIP 7.14 pairs with LLVM 23.0.0 and ROCr 1.21.0.,2026-07-17
AMD-INSTALL-714,ROCm 7.14 installation guide and gfx1151 tarball,AMD ROCm Documentation,https://rocm.docs.amd.com/en/latest/install/rocm.html,official-install-guide,official,ROCm SDK installation,"Provides the versioned gfx1151 TheRock tarball URL.; Documents ROCM_PATH, PATH, and LD_LIBRARY_PATH setup for tarball installs.",2026-07-17
AMD-RDNA35,RDNA 3.5 / gfx115x system optimization and release support table,AMD ROCm Documentation,https://rocm.docs.amd.com/en/latest/reference/system-optimization/rdna3-5.html,official-target-support-table,official,"gfx1150/gfx1151 kernel requirements, release status, unified memory","Fixed minimum kernels are Ubuntu HWE 6.17.0-19.19~24.04.2, Ubuntu OEM 6.14.0-1018, or 6.18.4 on other distributions.; ROCm 7.2.1 through 7.2.3 are marked stable on qualifying kernels; 7.1.x and 6.4.x are not supported there.; Documents amd-ttm and GTT/TTM memory tuning guidance.",2026-07-17
AMD-CORE-724,ROCm 7.2.4 compatibility matrix,AMD ROCm Documentation,https://rocm.docs.amd.com/en/docs-7.2.4/compatibility/compatibility-matrix.html,official-release-matrix,official,General ROCm 7.2.4 components and operating systems,"HIP 7.2.53211, LLVM 22.0.0.26084, ROCr 1.18.0, and ROCm CMake 0.14.0 are the 7.2.4 component line.; This general matrix does not itself establish gfx1151 application validation.",2026-07-17
AMD-RYZEN-72,ROCm 7.2 native Linux compatibility for Radeon and Ryzen,AMD ROCm Documentation,https://rocm.docs.amd.com/projects/radeon-ryzen/en/docs-7.2/docs/compatibility/compatibilityryz/native_linux/native_linux_compatibility.html,official-application-support,official,Ryzen gfx1150/gfx1151 application validation,gfx1151 is included in the ROCm 7.2 Ryzen application-support line.; Ubuntu 24.04.3 support is described as preliminary through the 24.04.2 installer path.; PyTorch 2.9 with ROCm 7.2 and Python 3.12 is listed as production-supported.,2026-07-17
AMD-RYZEN-INDEX,ROCm on Radeon and Ryzen documentation index,AMD ROCm Documentation,https://rocm.docs.amd.com/projects/radeon-ryzen/en/latest/index.html,official-application-index,official,Radeon/Ryzen application use cases,llama.cpp is included among Radeon/Ryzen application use cases.,2026-07-17
AMD-LLAMA-711,Historical AMD llama.cpp package for ROCm 7.1.1,AMD ROCm Documentation,https://rocm.docs.amd.com/projects/radeon-ryzen/en/docs-7.1.1/docs/advanced/advancedryz/linux/llm/llamacpp.html,official-historical-recipe,official-historical,Historical prebuilt gfx1150/gfx1151 llama.cpp bundle,"Documents llama-b7146 for Ubuntu 24.04, ROCm 7.1.1, gfx1150/gfx1151.",2026-07-17
LLAMA-RELEASE-B10064,llama.cpp release b10064,ggml-org,https://github.com/ggml-org/llama.cpp/releases/tag/b10064,upstream-release,official-upstream,Current pinned llama.cpp release and ROCm 7.2 binary asset,Release b10064 corresponds to source commit 86d86ed4396b4130922f7b9af26e3d9fc11a591b.; Includes a Linux Ubuntu ROCm 7.2 x64 binary archive.,2026-07-17
LLAMA-HIP-CMAKE-86D86ED,llama.cpp HIP backend CMake at 86d86ed,ggml-org,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/ggml/src/ggml-hip/CMakeLists.txt,upstream-source,official-upstream,HIP compiler and target selection behavior,HIP 6.1 or newer is required.; The native HIP-language path requires CMake 3.21 or newer.; GPU_TARGETS and AMDGPU_TARGETS can be forwarded to CMAKE_HIP_ARCHITECTURES; direct CMAKE_HIP_ARCHITECTURES is preferred.,2026-07-17
LLAMA-GGML-CMAKE-86D86ED,llama.cpp backend options at 86d86ed,ggml-org,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/ggml/CMakeLists.txt,upstream-source,official-upstream,Current ggml HIP and Vulkan option defaults,GGML_HIP_GRAPHS defaults ON.; GGML_HIP_NO_VMM defaults ON.; GGML_HIP_ROCWMMA_FATTN defaults OFF.,2026-07-17
LLAMA-ROCM-DOCKER-86D86ED,llama.cpp upstream ROCm Dockerfile at 86d86ed,ggml-org,https://github.com/ggml-org/llama.cpp/blob/86d86ed4396b4130922f7b9af26e3d9fc11a591b/.devops/rocm.Dockerfile,upstream-container-recipe,official-upstream,Upstream ROCm build container,Defaults to Ubuntu 24.04 and ROCm 7.2.1.; Uses the ROCm-bundled Clang and enables ROCm/HIP through CMake.,2026-07-17
LLAMA-ISSUE-24437,gfx1151 rocWMMA FlashAttention prefill regression,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/24437,community-reproducible-regression,community,"ROCm 7.2.1, gfx1151, long-context prefill",Enabling GGML_HIP_ROCWMMA_FATTN produced up to approximately 41% lower long-context prefill in the reported test.,2026-07-17
LLAMA-ISSUE-24438,gfx1151 HIP versus Vulkan decode benchmark,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/24438,community-benchmark,community,ROCm 7.2.1 and Mesa 26.0.3 on Strix Halo,"The reported Qwen3.6 35B-A3B Q8_0 decode workload favored Vulkan over HIP; this is workload-specific, not universal.",2026-07-17
LLAMA-ISSUE-22375,RADV prompt-processing regression between llama.cpp builds,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/22375,community-reproducible-regression,community,"Mesa 26.0.2 RADV, Linux 6.19.4",A reported b8460 to b8933 change reduced pp512 by roughly 39% while token generation remained stable.,2026-07-17
LLAMA-ISSUE-18741,RADV model-load failure and direct-I/O workaround,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/18741,community-workaround,community,Vulkan/RADV model loading,--no-direct-io enabled model loading in the reported failure; --no-mmap is a common paired diagnostic.,2026-07-17
LLAMA-ISSUE-15054,AMDVLK large single-allocation limitation,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/15054,community-driver-limitation,community,AMDVLK large-model loading,The report identifies an approximately 2 GiB single-buffer allocation limitation; the same model loaded under RADV.,2026-07-17
LLAMA-ISSUE-17014,Historical ROCm 7.1 MoE performance and crash regression,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/17014,community-historical-regression,community,ROCm 7.1 and MoE workloads,Documents a ROCm 7.1-era performance/crash regression relevant to avoiding the obsolete stack.,2026-07-17
LLAMA-ISSUE-24961,Related RDNA4 graph workaround,ggml-org issue tracker,https://github.com/ggml-org/llama.cpp/issues/24961,community-related-diagnostic,community,"RDNA4, not gfx1151-specific",GGML_CUDA_DISABLE_GRAPHS=1 is a related diagnostic only; it must not be treated as a default gfx1151 setting.,2026-07-17
MESA-2615,Mesa 26.1.5 release notes,Mesa Project,https://docs.mesa3d.org/relnotes/26.1.5.html,upstream-release,official-upstream,Current Mesa bugfix release,Mesa 26.1.5 was released 2026-07-15.; The release tarball SHA-256 is 79e421c7ce18cd9e790b8375920325779f10798630bf30e0b22f1a21c8617122.,2026-07-17
CMAKE-HIP-ARCH,CMAKE_HIP_ARCHITECTURES variable,Kitware CMake Documentation,https://cmake.org/cmake/help/latest/variable/CMAKE_HIP_ARCHITECTURES.html,upstream-build-documentation,official-upstream,HIP target selection,CMAKE_HIP_ARCHITECTURES was added in CMake 3.21.,2026-07-17
CMAKE-RELEASE-434,CMake v4.3.4 release,Kitware,https://github.com/Kitware/CMake/releases/tag/v4.3.4,upstream-release,official-upstream,Current CMake patch release,"CMake 4.3.4 is current as of the wiki snapshot, but is not assumed validated with every ROCm 7.2 recipe.",2026-07-17
VULKAN-LOADER-ICD,Vulkan loader driver discovery interface,KhronosGroup,https://github.com/KhronosGroup/Vulkan-Loader/blob/main/docs/LoaderDriverInterface.md,upstream-runtime-documentation,official-upstream,Vulkan ICD selection and diagnostics,VK_DRIVER_FILES selects manifest files; VK_ICD_FILENAMES is the older deprecated form.; VK_LOADER_DEBUG enables loader diagnostics.,2026-07-17
LINUX-THUNDERBOLT-DOC,Linux Thunderbolt and USB4 administration guide,Linux Kernel Documentation,https://docs.kernel.org/admin-guide/thunderbolt.html,upstream-kernel-documentation,official-upstream,Thunderbolt/USB4 networking,Linux supports ThunderboltIP; thunderbolt-net can be manually loaded on one Linux peer.,2026-07-17
LINUX-USB4-NET-KCONFIG,Linux CONFIG_USB4_NET definition,Linux Kernel,https://github.com/torvalds/linux/blob/af5e34a41cd607c00ef752e00331736570992354/drivers/net/thunderbolt/Kconfig,upstream-kernel-source,official-upstream,USB4 networking kernel configuration,CONFIG_USB4_NET depends on USB4 and INET.; The module is named thunderbolt_net and implements Apple ThunderboltIP interoperability.,2026-07-17
ROCMFPX-A5605,ROCmFPX repository at a5605a7,charlie12345,https://github.com/charlie12345/ROCmFPX/tree/a5605a72768c6562241b248e268e33dc92787394,community-experimental-source,experimental-community,Experimental ROCmFP3/4/6/8 llama.cpp fork,"ROCmFPX is explicitly experimental.; The fork contains CPU, HIP/ROCm, and Vulkan paths and reports local gfx1151 validation.",2026-07-17
ROCMFPX-BUILD-A5605,ROCmFPX Strix Halo build script at a5605a7,charlie12345,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/scripts/build-strix-rocmfp4-mtp.sh,community-experimental-build-recipe,experimental-community,Exact gfx1151 build flags,"Builds HIP and Vulkan for gfx1151, disables rocWMMA FlashAttention by default, and forces the fork MMQ path.",2026-07-17
ROCMFPX-DOCKER-A5605,ROCmFPX Dockerfile at a5605a7,charlie12345,https://github.com/charlie12345/ROCmFPX/blob/a5605a72768c6562241b248e268e33dc92787394/.devops/strix-rocmfp4.Dockerfile,community-experimental-container,experimental-community,ROCm 7.2.1 Ubuntu 24.04 reproducible container baseline,Pins the base stack to rocm/dev-ubuntu-24.04:7.2.1-complete and gfx1151.,2026-07-17
KYUZ0-TOOLBOX-A7C71E9,AMD Strix Halo toolboxes at a7c71e9,kyuz0,https://github.com/kyuz0/amd-strix-halo-toolboxes/tree/a7c71e91917234c44eb81b7fc64dc704db14879c,maintained-community-profile,community,Current community host and container validation,"Reports Fedora 42/43, kernel 6.18.9, and linux-firmware 20260110 as a stable baseline.; Provides ROCm 7.2.4, RADV, AMDVLK, and ROCmFP4 toolbox profiles.; Recommends RADV for broad compatibility and warns about AMDVLK large allocations.",2026-07-17
ROCM-ISSUE-5724,MES 0x83 firmware GPU hang and page fault on Strix Halo,ROCm issue tracker,https://github.com/ROCm/ROCm/issues/5724,community-reproducible-regression,community,late-2025 amdgpu firmware regression,Documents GPU hangs and memory-access faults associated with the 20251125/MES 0x83 firmware era.,2026-07-17
ROCM-ISSUE-5590,CWSR-related MES 0x80 hang on ROCm 7.1,ROCm issue tracker,https://github.com/ROCm/ROCm/issues/5590,community-reproducible-regression,community,ROCm 7.1 legacy stack,Documents amdgpu.cwsr_enable=0 as a legacy workaround for a separate ROCm 7.1/MES 0x80 hang.,2026-07-17
ROCM-ISSUE-5824,"Strix Halo failures across old kernel, firmware, and ROCm combinations",ROCm issue tracker,https://github.com/ROCm/ROCm/issues/5824,community-reproducible-regression,community,known-bad combination evidence,HSA_OVERRIDE_GFX_VERSION=11.0.0 or 11.0.3 did not repair the reported old-stack failures.,2026-07-17
ROCM-ISSUE-5745,ROCm SMI and process D-state after HIP error,ROCm issue tracker,https://github.com/ROCm/ROCm/issues/5745,community-regression,community,post-fault recovery diagnostics,"Documents a post-error state where management tools or processes can block, motivating kernel-log collection before reset.",2026-07-17
ROCM-ISSUE-5444,Historical Strix Halo visible-memory cap,ROCm issue tracker,https://github.com/ROCm/ROCm/issues/5444,community-historical-regression,community,kernel <=6.15 era memory visibility,Documents the historical approximately 15.5 GiB visible-memory cap; the issue is closed and should not be confused with current TTM sizing.,2026-07-17
FEDORA-BUG-2420062,Fedora linux-firmware regression affecting Strix Halo ROCm,Fedora / Red Hat Bugzilla,https://bugzilla.redhat.com/show_bug.cgi?id=2420062,distribution-regression-record,community-distribution,linux-firmware 20251125 regression and 20260110 fix line,Tracks the bad 20251125 firmware and fixed 20260110 Fedora package line.,2026-07-17
LINUX-FW-REVERT-C092,linux-firmware amdgpu firmware revert c092c748,linux-firmware project,https://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git/commit/?id=c092c7487eb7c3d58697f490ff605bc38f4cc947,upstream-firmware-commit,official-upstream,Firmware regression response,Upstream reverted the implicated amdgpu firmware update.,2026-07-17
THUNDERBOLT-IBVERBS-76BA39B,thunderbolt-ibverbs at 76ba39b,hellas-ai,https://github.com/hellas-ai/thunderbolt-ibverbs/tree/76ba39b630a70accb72f19388eefe48844b50eb8,experimental-community-driver,experimental-community,InfiniBand verbs over USB4/Thunderbolt DMA rings,"The project explicitly labels itself buggy, insecure, and not for production.; Requires Linux 6.14 or newer unless using its patched kernel.; Provides DKMS, a libibverbs provider, Nix outputs, and container integration.",2026-07-17
STRIXHALO-WIKI-CLUSTERING,Strix Halo community clustering notes,Strix Halo Wiki,https://strixhalo.wiki/AI/Clustering,community-guide,community,Thunderbolt networking throughput and clustering,Reports system-specific thunderbolt-net throughput around 9 Gbit/s per link; treat as indicative rather than guaranteed.,2026-07-17
HIP-ENV-VARS,HIP environment variables reference,AMD HIP Documentation,https://rocm.docs.amd.com/projects/HIP/en/latest/reference/env_variables.html,official-runtime-documentation,official,"GPU visibility, debugging, and runtime behavior",Documents HIP_VISIBLE_DEVICES and debugging-oriented HIP environment controls.,2026-07-17
AMD-PYTORCH-721-AOTRITON,Install PyTorch for Ryzen on ROCm 7.2.1,AMD ROCm Documentation,https://rocm.docs.amd.com/projects/radeon-ryzen/en/docs-7.2.1/docs/install/installryz/native_linux/install-pytorch.html,official-application-install-guide,official,PyTorch runtime configuration for ROCm 7.2.1 on supported Ryzen systems,"The native PyTorch recipe exports TORCH_ROCM_AOTRITON_ENABLE_EXPERIMENTAL=1.; The documented container line is ROCm 7.2.1 with Ubuntu 24.04, Python 3.12, and PyTorch 2.9.1.",2026-07-17
COMM-STRIX-GUIDE-2026,Strix Halo Linux and ROCm community guide,hogeheer499-commits,https://github.com/hogeheer499-commits/strix-halo-guide,community-guide,community,Measured troubleshooting notes for a kernel 6.19.x Strix Halo setup,Reports HSA_OVERRIDE_GFX_VERSION=11.5.1 together with HSA_ENABLE_SDMA=0 as a local workaround for a measured kernel 6.19.x setup.; The workaround is system-specific evidence and is not an AMD support requirement or a general current-stack default.,2026-07-17
