component_id,component,legacy_7_2_4_version,core_sdk_7_14_0_version,core_sdk_package_group,authoritative_source_root,gfx1151_status,notes,source_ids
COMP-001,Composable Kernel,1.2.0,1.2.0,amdrocm-ck,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,math/ML kernels,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-002,hipBLAS,3.2.0,3.5.0,amdrocm-blas,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,BLAS API front end,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-003,hipBLASLt,1.2.2,1.4.1,amdrocm-blas,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,GEMM/Lt back end; performance-sensitive,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-004,hipCUB,4.2.0,4.5.0,amdrocm-ccl,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,device primitives; not RCCL,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-005,hipFFT,1.0.22,1.0.24,amdrocm-fft,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,FFT front end,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-006,hipRAND,3.1.0,3.4.0,amdrocm-rand,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,random API front end,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-007,hipSOLVER,3.2.0,3.5.0,amdrocm-solver,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,solver front end,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-008,hipSPARSE,4.2.0,4.6.0,amdrocm-sparse,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,sparse front end,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-009,hipSPARSELt,0.2.6,0.2.9,amdrocm-blas,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,7.14 release table limits to Instinct; do not assume gfx1151,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-010,MIOpen,3.5.1,3.5.2,amdrocm-dnn,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,deep learning primitives,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-011,rocBLAS,5.2.0,5.5.0,amdrocm-blas,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,BLAS implementation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-012,rocFFT,1.0.36,1.0.38,amdrocm-fft,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,FFT implementation,"[""S001"", ""S004"", ""S006"", ""S002""]"
COMP-013,rocPRIM,4.2.0,4.5.0,amdrocm-ccl,rocm-libraries,documented where listed; component applicability must follow 7.14 release table,device primitives; not RCCL,"[""S001"", ""S004"", ""S006"", ""S002""]"
