path,category,classification,must_preserve,pr27,pr28,pr31,pr32,rationale
.github/FUNDING.yml,Housekeeping,RETIRE,no,,yes,,,Non-technical funding metadata; exclude from the technical delta.
.github/workflows/build-and-test-snapdragon.yml,Build / CI,REFRESH,yes,yes,,,,Build/CI integration must track current upstream while retaining ROCmFPX-specific jobs and gfx1151 coverage.
.github/workflows/build.yml,Build / CI,REFRESH,yes,yes,,,,Build/CI integration must track current upstream while retaining ROCmFPX-specific jobs and gfx1151 coverage.
.github/workflows/check-rocmfpx.yml,Build / CI,RETAIN,yes,yes,,,yes,Fork-specific correctness gate; update implementation details but preserve the gate.
.github/workflows/hip-quality-check.yml,Build / CI,REFRESH,yes,yes,,,,Build/CI integration must track current upstream while retaining ROCmFPX-specific jobs and gfx1151 coverage.
.gitignore,Other,REFRESH,yes,yes,,,,Project documentation/housekeeping should be regenerated after the upstream refresh.
AI_CHANGES.md,Documentation / recipes,REFRESH,yes,yes,,,,Project documentation/housekeeping should be regenerated after the upstream refresh.
CMakePresets.json,Build / CI,REFRESH,yes,yes,,,,Build/CI integration must track current upstream while retaining ROCmFPX-specific jobs and gfx1151 coverage.
README.md,Documentation / recipes,REFRESH,yes,yes,,,,Project documentation/housekeeping should be regenerated after the upstream refresh.
build-xcframework.sh,Build / CI,RETIRE,no,yes,,,,Generic upstream packaging script; use the current upstream copy.
common/arg.cpp,Common / parser / sampling,REFRESH,yes,yes,,,yes,Shared common/server infrastructure: use current upstream and preserve only fork-specific policy/state behavior.
common/chat-auto-parser-generator.cpp,Common / parser / sampling,RETIRE,no,yes,,,yes,Generic parser/Jinja backport; use current upstream.
common/chat-auto-parser.h,Common / parser / sampling,RETIRE,no,,,,yes,Generic parser/Jinja backport; use current upstream.
common/chat-diff-analyzer.cpp,Common / parser / sampling,RETIRE,no,yes,,,yes,Generic parser/Jinja backport; use current upstream.
common/chat-peg-parser.cpp,Common / parser / sampling,RETIRE,no,yes,,,,Generic parser/Jinja backport; use current upstream.
common/chat-peg-parser.h,Common / parser / sampling,RETIRE,no,yes,,,,Generic parser/Jinja backport; use current upstream.
common/chat.cpp,Common / parser / sampling,RETIRE,no,yes,,,,Generic parser/Jinja backport; use current upstream.
common/common.cpp,Common / parser / sampling,REFRESH,yes,yes,,,,Shared common/server infrastructure: use current upstream and preserve only fork-specific policy/state behavior.
common/common.h,Common / parser / sampling,REFRESH,yes,yes,,,yes,Shared common/server infrastructure: use current upstream and preserve only fork-specific policy/state behavior.
common/jinja/value.cpp,Common / parser / sampling,RETIRE,no,,,,yes,Generic parser/Jinja backport; use current upstream.
common/peg-parser.cpp,Common / parser / sampling,RETIRE,no,yes,,,,Generic parser/Jinja backport; use current upstream.
common/sampling.cpp,Common / parser / sampling,REFRESH,yes,yes,,,,Shared common/server infrastructure: use current upstream and preserve only fork-specific policy/state behavior.
common/speculative.cpp,MTP / speculative decoding,REFRESH,yes,yes,,,yes,Shared common/server infrastructure: use current upstream and preserve only fork-specific policy/state behavior.
common/speculative.h,MTP / speculative decoding,REFRESH,yes,,,,yes,Shared common/server infrastructure: use current upstream and preserve only fork-specific policy/state behavior.
conversion/deepseek.py,Conversion / GGUF,RETIRE,no,yes,,,,Generic model-conversion snapshot; replace with current upstream conversion architecture.
convert_hf_to_gguf.py,Conversion / GGUF,REFRESH,yes,yes,,,yes,"Shared GGUF/converter surface: use current upstream and re-add ROCmFPX IDs, quant mapping, and tests."
docs/ROCmFP6-COMPETITIVE-EXPERIMENT.md,Documentation / recipes,REFRESH,yes,yes,,,,Shared or mixed file; inspect hunks and re-port only ROCmFPX-owned behavior.
docs/ROCmFP6-DECODE-FOLLOWUP.md,Documentation / recipes,REFRESH,yes,yes,,,,Shared or mixed file; inspect hunks and re-port only ROCmFPX-owned behavior.
docs/ROCmFPX-EXPERIMENT.md,Documentation / recipes,RETAIN,yes,yes,,,,ROCmFPX-owned operational or experimental documentation.
docs/ROCmFPX-SERVING.md,Documentation / recipes,RETAIN,yes,yes,,,,ROCmFPX-owned operational or experimental documentation.
docs/ROCmFPX-UPSTREAM-CREDITS.md,Documentation / recipes,RETAIN,yes,yes,,,,ROCmFPX-owned operational or experimental documentation.
docs/ROCmFPX-VLLM-FOLLOWUP.md,Documentation / recipes,RETAIN,yes,yes,,,,ROCmFPX-owned operational or experimental documentation.
docs/UPSTREAM-ATTRIBUTION.md,Documentation / recipes,REFRESH,yes,yes,,,,Shared or mixed file; inspect hunks and re-port only ROCmFPX-owned behavior.
docs/recipes/README.md,Documentation / recipes,RETAIN,yes,,,,yes,ROCmFPX-owned quantization recipe or model-quality evidence.
docs/recipes/qwable-ultraquality-7p61bpw-attention-rank.csv,Documentation / recipes,RETAIN,yes,,,,yes,ROCmFPX-owned quantization recipe or model-quality evidence.
docs/recipes/qwable-ultraquality-7p61bpw-rankleave32.md,Documentation / recipes,RETAIN,yes,,,,yes,ROCmFPX-owned quantization recipe or model-quality evidence.
docs/recipes/qwen35-moe-rocmfpx-moequality.md,Documentation / recipes,RETAIN,yes,,,,yes,ROCmFPX-owned quantization recipe or model-quality evidence.
docs/recipes/release-recipe-map.tsv,Documentation / recipes,RETAIN,yes,,,,yes,ROCmFPX-owned quantization recipe or model-quality evidence.
docs/recipes/step35-rocmfpx-q3-qualityplus.md,Documentation / recipes,RETAIN,yes,,,,yes,ROCmFPX-owned quantization recipe or model-quality evidence.
docs/rocmfpx/qwable-27b-chadrock-rocmfpx-ultraquality-761bpw.md,Documentation / recipes,RETAIN,yes,yes,,,,ROCmFPX-owned quantization recipe or model-quality evidence.
emergencyundo/PROMOTE-EXPERIMENTAL-TO-MAIN.md,Other,RETIRE,no,yes,,,,Historical promotion rollback note; archive outside the maintained patch layer.
ggml/include/ggml.h,Other,REFRESH,yes,,,,yes,Shared ggml registry/dispatch: preserve ROCmFPX type behavior while rebasing onto current upstream.
ggml/rocmfp4/rocmfp4.c,Quantization formats,RETAIN,yes,yes,,,,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/README.md,Quantization formats,RETAIN,yes,yes,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
ggml/rocmfpx/rocmfp2_reference.c,Quantization formats,RETAIN,yes,,,,yes,"ROCmFPX-owned format contract, CPU reference, codebook, and deterministic tests."
