CAPTURE_TYPE: normalized rendered model-card option table
CLAIM_LABEL: [CONVERTER]
ACCESS_DATE: 2026-07-18
REPOSITORY: unsloth/GLM-4.7-GGUF
REVISION: a030db4a327b2dece3f0e5c4ff82c5f4feab4f26
IMMUTABLE_URL: https://huggingface.co/unsloth/GLM-4.7-GGUF/blob/a030db4a327b2dece3f0e5c4ff82c5f4feab4f26/README.md
SIZE_SEMANTICS: rounded converter UI values; not exact bytes
SELECTED: Q4_K_M

QUANTIZATION	DISPLAY_SIZE	SELECTED
UD-IQ1_S	97.2 GB	FALSE
UD-TQ1_0	84.5 GB	FALSE
UD-IQ1_M	108 GB	FALSE
UD-IQ2_XXS	116 GB	FALSE
Q2_K	131 GB	FALSE
UD-IQ2_M	122 GB	FALSE
Q2_K_L	131 GB	FALSE
UD-Q2_K_XL	135 GB	FALSE
UD-IQ3_XXS	145 GB	FALSE
Q3_K_S	155 GB	FALSE
Q3_K_M	171 GB	FALSE
UD-Q3_K_XL	159 GB	FALSE
IQ4_XS	192 GB	FALSE
Q4_K_S	204 GB	FALSE
IQ4_NL	202 GB	FALSE
Q4_0	203 GB	FALSE
Q4_1	225 GB	FALSE
Q4_K_M	216 GB	TRUE
UD-Q4_K_XL	205 GB	FALSE
Q5_K_S	247 GB	FALSE
Q5_K_M	254 GB	FALSE
UD-Q5_K_XL	254 GB	FALSE
Q6_K	294 GB	FALSE
UD-Q6_K_XL	301 GB	FALSE
Q8_0	381 GB	FALSE
UD-Q8_K_XL	395 GB	FALSE
BF16	717 GB	FALSE

NOTE: Availability in the converter repository is not evidence of target-machine loadability, operator correctness, quality, or performance.
