CAPTURE_TYPE: normalized rendered model-card option table
CLAIM_LABEL: [CONVERTER]
ACCESS_DATE: 2026-07-18
REPOSITORY: unsloth/Qwen3.5-397B-A17B-GGUF
REVISION: 0b7386368898883d58d445525ba8fa45e3f7289f
IMMUTABLE_URL: https://huggingface.co/unsloth/Qwen3.5-397B-A17B-GGUF/blob/0b7386368898883d58d445525ba8fa45e3f7289f/README.md
SIZE_SEMANTICS: rounded converter UI values; not exact bytes
SELECTED: UD-Q4_K_S

QUANTIZATION	DISPLAY_SIZE	SELECTED
UD-IQ1_M	107 GB	FALSE
UD-IQ2_XXS	115 GB	FALSE
UD-IQ2_M	123 GB	FALSE
UD-IQ3_XXS	140 GB	FALSE
Q3_K_S	164 GB	FALSE
UD-IQ3_S	146 GB	FALSE
UD-Q3_K_S	164 GB	FALSE
Q3_K_M	177 GB	FALSE
UD-Q3_K_M	177 GB	FALSE
UD-Q3_K_XL	179 GB	FALSE
UD-IQ4_XS	190 GB	FALSE
Q4_K_S	228 GB	FALSE
UD-Q4_K_S	228 GB	TRUE
MXFP4_MOE	237 GB	FALSE
UD-IQ4_NL	194 GB	FALSE
Q4_K_M	244 GB	FALSE
UD-Q4_K_M	244 GB	FALSE
UD-Q4_K_XL	245 GB	FALSE
Q5_K_S	277 GB	FALSE
UD-Q5_K_S	277 GB	FALSE
Q5_K_M	294 GB	FALSE
UD-Q5_K_M	294 GB	FALSE
UD-Q5_K_XL	295 GB	FALSE
Q6_K	327 GB	FALSE
UD-Q6_K	327 GB	FALSE
UD-Q6_K_XL	362 GB	FALSE
Q8_0	422 GB	FALSE
UD-Q8_K_XL	428 GB	FALSE
BF16	793 GB	FALSE

NOTE: Availability in the converter repository is not evidence of target-machine loadability, operator correctness, quality, or performance.
