claim_id,literal_label,class,status,topic,claim_text,source_or_basis,qualification_or_note
PFIR07-C001,[CLAIM:PFIR07-C001][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Introduction],SOURCE,SUPPORTED,Option boundary,fscrypt operates at filesystem level and can protect different directory trees with distinct key domains.,LINUX-FSCRYPT-7.2RC3 §Introduction,Direct source characterization.
PFIR07-C002,[CLAIM:PFIR07-C002][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Threat model],SOURCE,SUPPORTED,Threat boundary,"fscrypt protects file contents and filenames for an offline point-in-time view, while most filesystem metadata remains visible.",LINUX-FSCRYPT-7.2RC3 §Threat model,Do not generalize to full metadata secrecy.
PFIR07-C003,[CLAIM:PFIR07-C003][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Threat model],SOURCE,SUPPORTED,Integrity,fscrypt does not provide authenticity against an adversary that can modify encrypted storage while it is offline.,LINUX-FSCRYPT-7.2RC3 §Threat model,Direct source limitation.
PFIR07-C004,[CLAIM:PFIR07-C004][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Threat model],SOURCE,SUPPORTED,Threat boundary,"After an fscrypt key is installed, normal operating-system access controls govern access; privileged online compromise is outside its storage-at-rest boundary.",LINUX-FSCRYPT-7.2RC3 §Threat model,"Inference phrased at source boundary, not a root-resistance claim."
PFIR07-C005,[CLAIM:PFIR07-C005][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Removing keys],SOURCE,SUPPORTED,Busy files,"Removing an fscrypt master key does not immediately remove per-file keys for files still in use, including open files and certain active references.",LINUX-FSCRYPT-7.2RC3 §Removing keys,Operationally material revocation caveat.
PFIR07-C006,[CLAIM:PFIR07-C006][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Removing keys],SOURCE,SUPPORTED,Process retention,Userspace must separately erase its own copies of fscrypt key material.,LINUX-FSCRYPT-7.2RC3 §Removing keys,Direct source requirement.
PFIR07-C007,[CLAIM:PFIR07-C007][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Memory wiping],SOURCE,SUPPORTED,Memory retention,"fscrypt key removal does not guarantee that every plaintext or key-derived copy in VFS caches, process memory, registers, or other layers has been erased.",LINUX-FSCRYPT-7.2RC3 §Memory wiping,No secure-wipe guarantee.
PFIR07-C008,[CLAIM:PFIR07-C008][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Encryption policy enforcement],SOURCE,SUPPORTED,Configuration,fscrypt v2 policies are recommended over v1 for new deployments because v2 strengthens policy and key semantics.,LINUX-FSCRYPT-7.2RC3 §Encryption policy enforcement,Use kernel-supported current policy versions.
PFIR07-C009,[CLAIM:PFIR07-C009][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-FSCRYPT-7.2RC3 §Encryption modes and usage],SOURCE,SUPPORTED,Integrity,The documented fscrypt modes do not provide authenticated encryption for file contents; ciphertext expansion and filesystem semantics are cited constraints.,LINUX-FSCRYPT-7.2RC3 §Encryption modes and usage,Do not label fscrypt object-authenticating.
PFIR07-C010,[CLAIM:PFIR07-C010][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LUKS2-SPEC-1.1.4 §Introduction],SOURCE,SUPPORTED,Key storage,LUKS2 is a generic key store for a volume key with multiple credentials/keyslots and extensible metadata.,LUKS2-SPEC-1.1.4 §Introduction,Volume-key wrapping is distinct from object identity.
PFIR07-C011,"[CLAIM:PFIR07-C011][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LUKS2-SPEC-1.1.4 §§1.1,2]",SOURCE,SUPPORTED,Metadata integrity,LUKS2 header redundancy and checksums detect corruption but are not a general malicious-metadata authentication guarantee; metadata remains observable unless detached.,"LUKS2-SPEC-1.1.4 §§1.1,2",Do not conflate checksum with adversarial authenticity.
PFIR07-C012,[CLAIM:PFIR07-C012][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LUKS2-SPEC-1.1.4 §5.4; CRYPTSETUP-2.8.6 manual],SOURCE,SUPPORTED,Option maturity,Authenticated disk-encryption support through dm-crypt/dm-integrity is optional and documented as experimental in the selected stack.,LUKS2-SPEC-1.1.4 §5.4; CRYPTSETUP-2.8.6 manual,Not the minimum portable baseline.
PFIR07-C013,[CLAIM:PFIR07-C013][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LUKS2-SPEC-1.1.4 §7; CRYPTSETUP-2.8.6 cryptsetup-reencrypt],SOURCE,SUPPORTED,Crash recovery,LUKS2 reencryption has resilience modes with different crash-recovery behavior; partial or resilience-none operations carry explicit recovery risk.,LUKS2-SPEC-1.1.4 §7; CRYPTSETUP-2.8.6 cryptsetup-reencrypt,Runbook must pin resilience and backup behavior.
PFIR07-C014,[CLAIM:PFIR07-C014][CLASS:SOURCE][STATUS:SUPPORTED][SRC:CRYPTSETUP-2.8.6 cryptsetup-luksHeaderBackup],SOURCE,SUPPORTED,Backup,A LUKS header backup contains key material sufficient to unlock data with valid credentials and must be protected as sensitive key-bearing backup material.,CRYPTSETUP-2.8.6 cryptsetup-luksHeaderBackup,Header backups participate in erasure and revocation analysis.
PFIR07-C015,[CLAIM:PFIR07-C015][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-DMCRYPT-7.2RC3; CRYPTSETUP-2.8.6 common options],SOURCE,SUPPORTED,Discard,Passing discard through an encrypted mapping can reveal allocation or filesystem-use patterns and has security implications.,LINUX-DMCRYPT-7.2RC3; CRYPTSETUP-2.8.6 common options,"Performance option, not deletion primitive."
PFIR07-C016,[CLAIM:PFIR07-C016][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-DMINTEGRITY-7.2RC3 §Introduction],SOURCE,SUPPORTED,Integrity,"dm-integrity can store integrity tags and, when combined with dm-crypt authenticated modes, can convert detected tampering into I/O failure.",LINUX-DMINTEGRITY-7.2RC3 §Introduction,"Block-level, not HaloKV principal binding."
PFIR07-C017,[CLAIM:PFIR07-C017][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-DMINTEGRITY-7.2RC3 §Modes],SOURCE,SUPPORTED,Crash recovery,"dm-integrity journal mode provides atomicity for data and integrity tags, while direct mode can expose tag/data mismatch after a crash.",LINUX-DMINTEGRITY-7.2RC3 §Modes,Configuration materially affects recovery semantics.
PFIR07-C018,[CLAIM:PFIR07-C018][CLASS:SOURCE][STATUS:SUPPORTED][SRC:LINUX-DMINTEGRITY-7.2RC3 §Security considerations],SOURCE,SUPPORTED,Metadata leakage,An unencrypted integrity journal may expose recent write patterns or data unless protected by the selected authenticated-encryption construction.,LINUX-DMINTEGRITY-7.2RC3 §Security considerations,Residual leakage requires review.
PFIR07-C019,[CLAIM:PFIR07-C019][CLASS:SOURCE][STATUS:SUPPORTED][SRC:CRYPTSETUP-2.8.6 cryptsetup-close],SOURCE,SUPPORTED,Busy mapping,Closing a dm-crypt mapping removes the active mapping and key only when the mapping is no longer in use.,CRYPTSETUP-2.8.6 cryptsetup-close,Unmount and drain first.
PFIR07-C020,[CLAIM:PFIR07-C020][CLASS:SOURCE][STATUS:SUPPORTED][SRC:CRYPTSETUP-2.8.6 cryptsetup-close],SOURCE,SUPPORTED,Busy mapping,Deferred close schedules mapping removal after the last user releases it rather than providing immediate revocation.,CRYPTSETUP-2.8.6 cryptsetup-close,"Deferred is availability-oriented, not instant key eviction."
PFIR07-C021,[CLAIM:PFIR07-C021][CLASS:SOURCE][STATUS:SUPPORTED][SRC:CRYPTSETUP-2.8.6 cryptsetup-erase and luksKillSlot],SOURCE,SUPPORTED,Cryptographic erasure,"Erasing LUKS keyslots does not overwrite payload data, and an extant LUKS header backup can restore access.",CRYPTSETUP-2.8.6 cryptsetup-erase and luksKillSlot,All key-bearing copies must be considered.
PFIR07-C022,[CLAIM:PFIR07-C022][CLASS:SOURCE][STATUS:SUPPORTED][SRC:CRYPTSETUP-2.8.6 luksChangeKey and reencrypt],SOURCE,SUPPORTED,Rotation,Changing a passphrase or keyslot wrapper is not the same operation as reencrypting payload data under a new volume key.,CRYPTSETUP-2.8.6 luksChangeKey and reencrypt,Separate credential rotation from data-key rotation.
PFIR07-C023,[CLAIM:PFIR07-C023][CLASS:SOURCE][STATUS:SUPPORTED][SRC:SYSTEMD-CRYPTTAB-261.1 §Description],SOURCE,SUPPORTED,Boot,systemd crypttab configures encrypted block devices that are activated during boot.,SYSTEMD-CRYPTTAB-261.1 §Description,Reference exact tagged source.
PFIR07-C024,[CLAIM:PFIR07-C024][CLASS:SOURCE][STATUS:SUPPORTED][SRC:SYSTEMD-CRYPTTAB-261.1 §Key Acquisition],SOURCE,SUPPORTED,Unlock,"systemd supports interactive, file, AF_UNIX, PKCS#11, FIDO2, and TPM2-related unlock mechanisms for encrypted volumes.",SYSTEMD-CRYPTTAB-261.1 §Key Acquisition,Mechanism choice does not by itself establish tenant identity.
PFIR07-C025,[CLAIM:PFIR07-C025][CLASS:SOURCE][STATUS:SUPPORTED][SRC:SYSTEMD-CRYPTTAB-261.1 password-cache option],SOURCE,SUPPORTED,Process retention,systemd password-agent infrastructure may temporarily cache interactively supplied passwords or PINs when configured to do so.,SYSTEMD-CRYPTTAB-261.1 password-cache option,Disable or account for caching in threat model.
PFIR07-C026,[CLAIM:PFIR07-C026][CLASS:SOURCE][STATUS:SUPPORTED][SRC:SYSTEMD-CRYPTTAB-261.1 link-volume-key option],SOURCE,SUPPORTED,Key retention,A LUKS2 volume key linked into a kernel keyring is not automatically removed merely because the encrypted device is detached.,SYSTEMD-CRYPTTAB-261.1 link-volume-key option,Explicit unlink/revoke lifecycle required.
