layer,dependency,required_for,fork_binding,migration,decision,sources
Source baseline,llama.cpp current upstream,All shared ggml/llama/server code,Fork carries older snapshots and backports across many shared files.,"Pin a new upstream commit, rebase, then apply a small extension series.",REFRESH,S-UP-HEAD;S-BASELINE;S-COMPARE
GPU compiler/runtime,ROCm/HIP toolchain,HIP kernels and gfx1151 code generation,Strix script selects HIP and gfx1151; some local paths assume a specific LLVM/ROCm layout.,Use discoverable toolchain paths and CI matrix; retain gfx1151 target.,REFRESH,S-BUILD-STRIX;S-AMD-STRIX
GPU backend,Shared ggml CUDA/HIP backend,"MMVQ, MMQ, copy, dequant, FlashAttention",ROCmFPX templates are embedded in rapidly changing upstream files.,Isolate format-specific headers/templates and minimize dispatch hunks.,REFRESH,S-MMVQ;S-MMQ;S-CUDA-DISPATCH;S-UP-HEAD
GPU backend,Vulkan backend and shader generator,Strix Vulkan decode and ROCmFPX shaders,Custom types and packed FP6 transforms are integrated into shared backend code.,Keep format/shader modules; port generator registrations onto upstream.,REFRESH,S-VULKAN;S-VULKAN-TYPES;S-C-62F
Optional matrix API,rocWMMA headers,Experimental WMMA paths,Local optional include path; official list omits gfx1151.,Opt-in only; require detection and benchmark superiority.,RETIRE,S-BUILD-STRIX;S-AMD-ROCWMMA
File format,GGUF/GGML type registry,Loading and writing ROCmFPX GGUFs,Custom numeric type IDs and Python/C mappings.,Preserve IDs and introduce a single extension manifest/test.,RETAIN,S-QT-ENUM-FORK;S-GGUF-CONSTANTS;S-QUANTIZER
Correctness oracle,CPU reference quant/dequant,Cross-backend conformance,ROCmFPX-owned C implementations.,Keep independent from optimized kernels and make it the test oracle.,RETAIN,S-ROCMFP4-C;S-ROCMFPX-C;S-ROCMFP2-C
Model graph,Upstream HY3/MTP APIs,HY3 inference and native MTP,Fork implementation predates merged upstream HY3 and uses different private APIs.,Adopt upstream model and APIs; remove fork graph clone.,RETIRE,S-HYV3-FORK;S-HYV3-UP;S-EXT-FORK;S-EXT-UP;S-UP-PR25395
Speculative decoding,Upstream common/speculative engine,Draft-MTP lifecycle and acceptance,Fork carries state/limit changes in a copied implementation.,"Rebase first, then port strict verification and cache-state hooks.",REFRESH,S-SPEC-FORK;S-SPEC-UP;S-C-EFF;S-C-7D7
Server persistence,Filesystem and llama state serialization,SSD prompt cache,"Private run directory, target/draft state, speculative state, accounting, cleanup.",Version cache entries; validate model/config fingerprint; atomic writes; permissions; integrity tests.,REFRESH,S-C-C81;S-C-BB7;S-C-756;S-SERVER-TEST
Distributed execution,Upstream ggml RPC,Remote devices and mixed local/remote execution,No intentional recent protocol fork; custom type IDs rely on same-build semantics.,Use upstream RPC and add build/version/type compatibility probes.,REFRESH,S-RPC-FORK;S-RPC-UP;S-RPC-MTP-FIX;S-RPC-IGPU-FIX
Quality gates,ROCmFPX CI and real-device tests,"Format ABI, kernel correctness, register use, and performance stability",Fork-specific scripts/workflows and local benchmark recipes.,Preserve as release gates; record hardware/driver/compiler fingerprints.,RETAIN,S-ROCMFPX-CI;S-HIP-QUALITY;S-SWEEP-BACKEND;S-AMD-STRIX
